Year,Units,sex,age group,form of exploitation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,number,male,,sexual exploitation,,,,12.0
2010,number,unknown,,sexual exploitation,,,,5.0
2011,number,unknown,,sexual exploitation,,,,6.0
2012,number,unknown,,sexual exploitation,,,,3.0
2013,number,unknown,,sexual exploitation,,,,1.0
2014,number,unknown,,sexual exploitation,,,,0.0
2015,number,unknown,,sexual exploitation,,,,6.0
2016,number,unknown,,sexual exploitation,,,,5.0
2017,number,unknown,,sexual exploitation,,,,1.0
2018,number,unknown,,sexual exploitation,,,,3.0
2019,number,unknown,,sexual exploitation,,,,0.0
2020,number,unknown,,sexual exploitation,,,,2.0
2021,number,unknown,,sexual exploitation,,,,7.0
2022,number,unknown,,sexual exploitation,,,,7.0
2023,number,unknown,,sexual exploitation,,,,8.0
2024,number,unknown,,sexual exploitation,,,,4.0
2010,number,female,,,,,,598.0
2011,number,female,,,,,,623.0
2012,number,female,,,,,,597.0
2013,number,female,,,,,,531.0
2014,number,female,,,,,,535.0
2015,number,female,,,,,,407.0
2016,number,female,,,,,,479.0
2017,number,female,,,,,,509.0
2018,number,female,,,,,,421.0
2019,number,female,,,,,,424.0
2020,number,female,,,,,,399.0
2021,number,female,,,,,,459.0
2022,number,female,,,,,,719.0
2023,number,female,,,,,,460.0
2024,number,female,,,,,,474.0
2010,number,male,,,,,,48.0
2011,number,male,,,,,,42.0
2012,number,male,,,,,,24.0
2013,number,male,,,,,,70.0
2014,number,male,,,,,,48.0
2015,number,male,,,,,,55.0
2016,number,male,,,,,,51.0
2017,number,male,,,,,,158.0
2018,number,male,,,,,,68.0
2019,number,male,,,,,,46.0
2020,number,male,,,,,,78.0
2021,number,male,,,,,,97.0
2022,number,male,,,,,,763.0
2023,number,male,,,,,,142.0
2024,number,male,,,,,,157.0
