Year,Art der Gewalt,Geschlecht,Altersklasse,Art der physischen Gewalt,Art der psychischen Gewalt,Art der sexuellen Gewalt,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,b) Psychische Gewalt,,,,Persönliche Beleidigung im Internet,,,,,5.2
2010,b) Psychische Gewalt,Weiblich,,,Persönliche Beleidigung im Internet,,.,,,
2011,b) Psychische Gewalt,Weiblich,,,Persönliche Beleidigung im Internet,,.,,,
2012,b) Psychische Gewalt,Weiblich,,,Persönliche Beleidigung im Internet,,.,,,
2013,b) Psychische Gewalt,Weiblich,,,Persönliche Beleidigung im Internet,,.,,,
2014,b) Psychische Gewalt,Weiblich,,,Persönliche Beleidigung im Internet,,.,,,
2015,b) Psychische Gewalt,Weiblich,,,Persönliche Beleidigung im Internet,,.,,,
2016,b) Psychische Gewalt,Weiblich,,,Persönliche Beleidigung im Internet,,.,,,
2017,b) Psychische Gewalt,Weiblich,,,Persönliche Beleidigung im Internet,,.,,,
2018,b) Psychische Gewalt,Weiblich,,,Persönliche Beleidigung im Internet,,.,,,
2019,b) Psychische Gewalt,Weiblich,,,Persönliche Beleidigung im Internet,,.,,,
2020,b) Psychische Gewalt,Weiblich,,,Persönliche Beleidigung im Internet,,,,,4.5
2021,b) Psychische Gewalt,Weiblich,,,Persönliche Beleidigung im Internet,,.,,,
2022,b) Psychische Gewalt,Weiblich,,,Persönliche Beleidigung im Internet,,.,,,
2023,b) Psychische Gewalt,Weiblich,,,Persönliche Beleidigung im Internet,,.,,,
2024,b) Psychische Gewalt,Weiblich,,,Persönliche Beleidigung im Internet,,,,,3.9
2010,b) Psychische Gewalt,Männlich,,,Persönliche Beleidigung im Internet,,.,,,
2011,b) Psychische Gewalt,Männlich,,,Persönliche Beleidigung im Internet,,.,,,
2012,b) Psychische Gewalt,Männlich,,,Persönliche Beleidigung im Internet,,.,,,
2013,b) Psychische Gewalt,Männlich,,,Persönliche Beleidigung im Internet,,.,,,
2014,b) Psychische Gewalt,Männlich,,,Persönliche Beleidigung im Internet,,.,,,
2015,b) Psychische Gewalt,Männlich,,,Persönliche Beleidigung im Internet,,.,,,
2016,b) Psychische Gewalt,Männlich,,,Persönliche Beleidigung im Internet,,.,,,
2017,b) Psychische Gewalt,Männlich,,,Persönliche Beleidigung im Internet,,.,,,
2018,b) Psychische Gewalt,Männlich,,,Persönliche Beleidigung im Internet,,.,,,
2019,b) Psychische Gewalt,Männlich,,,Persönliche Beleidigung im Internet,,.,,,
2020,b) Psychische Gewalt,Männlich,,,Persönliche Beleidigung im Internet,,,,,4.8
2021,b) Psychische Gewalt,Männlich,,,Persönliche Beleidigung im Internet,,.,,,
2022,b) Psychische Gewalt,Männlich,,,Persönliche Beleidigung im Internet,,.,,,
2023,b) Psychische Gewalt,Männlich,,,Persönliche Beleidigung im Internet,,.,,,
2024,b) Psychische Gewalt,Männlich,,,Persönliche Beleidigung im Internet,,,,,6.1
2010,b) Psychische Gewalt,,,,Gewaltandrohung offline,,.,,,
2011,b) Psychische Gewalt,,,,Gewaltandrohung offline,,.,,,
2012,b) Psychische Gewalt,,,,Gewaltandrohung offline,,.,,,
2013,b) Psychische Gewalt,,,,Gewaltandrohung offline,,.,,,
2014,b) Psychische Gewalt,,,,Gewaltandrohung offline,,.,,,
2015,b) Psychische Gewalt,,,,Gewaltandrohung offline,,.,,,
2016,b) Psychische Gewalt,,,,Gewaltandrohung offline,,.,,,
2017,b) Psychische Gewalt,,,,Gewaltandrohung offline,,.,,,
2018,b) Psychische Gewalt,,,,Gewaltandrohung offline,,.,,,
2019,b) Psychische Gewalt,,,,Gewaltandrohung offline,,.,,,
2020,b) Psychische Gewalt,,,,Gewaltandrohung offline,,,,,3.3
2021,b) Psychische Gewalt,,,,Gewaltandrohung offline,,.,,,
2022,b) Psychische Gewalt,,,,Gewaltandrohung offline,,.,,,
2023,b) Psychische Gewalt,,,,Gewaltandrohung offline,,.,,,
2024,b) Psychische Gewalt,,,,Gewaltandrohung offline,,,,,4.6
2010,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung offline,,.,,,
2011,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung offline,,.,,,
2012,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung offline,,.,,,
2013,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung offline,,.,,,
2014,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung offline,,.,,,
2015,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung offline,,.,,,
2016,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung offline,,.,,,
2017,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung offline,,.,,,
2018,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung offline,,.,,,
2019,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung offline,,.,,,
2020,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung offline,,,,,2.6
2021,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung offline,,.,,,
2022,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung offline,,.,,,
2023,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung offline,,.,,,
2024,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung offline,,,,,3.0
2010,b) Psychische Gewalt,Männlich,,,Gewaltandrohung offline,,.,,,
2011,b) Psychische Gewalt,Männlich,,,Gewaltandrohung offline,,.,,,
2012,b) Psychische Gewalt,Männlich,,,Gewaltandrohung offline,,.,,,
2013,b) Psychische Gewalt,Männlich,,,Gewaltandrohung offline,,.,,,
2014,b) Psychische Gewalt,Männlich,,,Gewaltandrohung offline,,.,,,
2015,b) Psychische Gewalt,Männlich,,,Gewaltandrohung offline,,.,,,
2016,b) Psychische Gewalt,Männlich,,,Gewaltandrohung offline,,.,,,
2017,b) Psychische Gewalt,Männlich,,,Gewaltandrohung offline,,.,,,
2018,b) Psychische Gewalt,Männlich,,,Gewaltandrohung offline,,.,,,
2019,b) Psychische Gewalt,Männlich,,,Gewaltandrohung offline,,.,,,
2020,b) Psychische Gewalt,Männlich,,,Gewaltandrohung offline,,,,,4.0
2021,b) Psychische Gewalt,Männlich,,,Gewaltandrohung offline,,.,,,
2022,b) Psychische Gewalt,Männlich,,,Gewaltandrohung offline,,.,,,
2023,b) Psychische Gewalt,Männlich,,,Gewaltandrohung offline,,.,,,
2024,b) Psychische Gewalt,Männlich,,,Gewaltandrohung offline,,,,,6.1
2010,b) Psychische Gewalt,,,,Gewaltandrohung online,,.,,,
2011,b) Psychische Gewalt,,,,Gewaltandrohung online,,.,,,
2012,b) Psychische Gewalt,,,,Gewaltandrohung online,,.,,,
2013,b) Psychische Gewalt,,,,Gewaltandrohung online,,.,,,
2014,b) Psychische Gewalt,,,,Gewaltandrohung online,,.,,,
2015,b) Psychische Gewalt,,,,Gewaltandrohung online,,.,,,
2016,b) Psychische Gewalt,,,,Gewaltandrohung online,,.,,,
2017,b) Psychische Gewalt,,,,Gewaltandrohung online,,.,,,
2018,b) Psychische Gewalt,,,,Gewaltandrohung online,,.,,,
2019,b) Psychische Gewalt,,,,Gewaltandrohung online,,.,,,
2020,b) Psychische Gewalt,,,,Gewaltandrohung online,,,,,1.6
2021,b) Psychische Gewalt,,,,Gewaltandrohung online,,.,,,
2022,b) Psychische Gewalt,,,,Gewaltandrohung online,,.,,,
2023,b) Psychische Gewalt,,,,Gewaltandrohung online,,.,,,
2024,b) Psychische Gewalt,,,,Gewaltandrohung online,,,,,3.0
2010,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung online,,.,,,
2011,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung online,,.,,,
2012,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung online,,.,,,
2013,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung online,,.,,,
2014,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung online,,.,,,
2015,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung online,,.,,,
2016,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung online,,.,,,
2017,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung online,,.,,,
2018,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung online,,.,,,
2019,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung online,,.,,,
2020,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung online,,,,,1.5
2021,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung online,,.,,,
2022,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung online,,.,,,
2023,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung online,,.,,,
2024,b) Psychische Gewalt,Weiblich,,,Gewaltandrohung online,,,,,2.2
2010,b) Psychische Gewalt,Männlich,,,Gewaltandrohung online,,.,,,
2011,b) Psychische Gewalt,Männlich,,,Gewaltandrohung online,,.,,,
2012,b) Psychische Gewalt,Männlich,,,Gewaltandrohung online,,.,,,
2013,b) Psychische Gewalt,Männlich,,,Gewaltandrohung online,,.,,,
2014,b) Psychische Gewalt,Männlich,,,Gewaltandrohung online,,.,,,
2015,b) Psychische Gewalt,Männlich,,,Gewaltandrohung online,,.,,,
2016,b) Psychische Gewalt,Männlich,,,Gewaltandrohung online,,.,,,
2017,b) Psychische Gewalt,Männlich,,,Gewaltandrohung online,,.,,,
2018,b) Psychische Gewalt,Männlich,,,Gewaltandrohung online,,.,,,
2019,b) Psychische Gewalt,Männlich,,,Gewaltandrohung online,,.,,,
2020,b) Psychische Gewalt,Männlich,,,Gewaltandrohung online,,,,,1.7
2021,b) Psychische Gewalt,Männlich,,,Gewaltandrohung online,,.,,,
2022,b) Psychische Gewalt,Männlich,,,Gewaltandrohung online,,.,,,
2023,b) Psychische Gewalt,Männlich,,,Gewaltandrohung online,,.,,,
2024,b) Psychische Gewalt,Männlich,,,Gewaltandrohung online,,,,,3.6
2010,c) Sexuelle Gewalt,,,,,,.,,,
2011,c) Sexuelle Gewalt,,,,,,.,,,
2012,c) Sexuelle Gewalt,,,,,,.,,,
2013,c) Sexuelle Gewalt,,,,,,.,,,
2014,c) Sexuelle Gewalt,,,,,,.,,,
2015,c) Sexuelle Gewalt,,,,,,.,,,
2016,c) Sexuelle Gewalt,,,,,,.,,,
2017,c) Sexuelle Gewalt,,,,,,.,,,
2018,c) Sexuelle Gewalt,,,,,,.,,,
2019,c) Sexuelle Gewalt,,,,,,.,,,
2020,c) Sexuelle Gewalt,,,,,,,,,2.1
2021,c) Sexuelle Gewalt,,,,,,…,,,
2022,c) Sexuelle Gewalt,,,,,,…,,,
2023,c) Sexuelle Gewalt,,,,,,…,,,
2024,c) Sexuelle Gewalt,,,,,,…,,,
2010,c) Sexuelle Gewalt,Weiblich,,,,,.,,,
2011,c) Sexuelle Gewalt,Weiblich,,,,,.,,,
2012,c) Sexuelle Gewalt,Weiblich,,,,,.,,,
2013,c) Sexuelle Gewalt,Weiblich,,,,,.,,,
2014,c) Sexuelle Gewalt,Weiblich,,,,,.,,,
2015,c) Sexuelle Gewalt,Weiblich,,,,,.,,,
2016,c) Sexuelle Gewalt,Weiblich,,,,,.,,,
2017,c) Sexuelle Gewalt,Weiblich,,,,,.,,,
2018,c) Sexuelle Gewalt,Weiblich,,,,,.,,,
2019,c) Sexuelle Gewalt,Weiblich,,,,,.,,,
2020,c) Sexuelle Gewalt,Weiblich,,,,,,,,3.6
2021,c) Sexuelle Gewalt,Weiblich,,,,,…,,,
2022,c) Sexuelle Gewalt,Weiblich,,,,,…,,,
2023,c) Sexuelle Gewalt,Weiblich,,,,,…,,,
2024,c) Sexuelle Gewalt,Weiblich,,,,,…,,,
2010,c) Sexuelle Gewalt,Männlich,,,,,.,,,
2011,c) Sexuelle Gewalt,Männlich,,,,,.,,,
2012,c) Sexuelle Gewalt,Männlich,,,,,.,,,
2013,c) Sexuelle Gewalt,Männlich,,,,,.,,,
2014,c) Sexuelle Gewalt,Männlich,,,,,.,,,
2015,c) Sexuelle Gewalt,Männlich,,,,,.,,,
2016,c) Sexuelle Gewalt,Männlich,,,,,.,,,
2017,c) Sexuelle Gewalt,Männlich,,,,,.,,,
2018,c) Sexuelle Gewalt,Männlich,,,,,.,,,
2019,c) Sexuelle Gewalt,Männlich,,,,,.,,,
2020,c) Sexuelle Gewalt,Männlich,,,,,,,,0.3
2021,c) Sexuelle Gewalt,Männlich,,,,,…,,,
2022,c) Sexuelle Gewalt,Männlich,,,,,…,,,
2023,c) Sexuelle Gewalt,Männlich,,,,,…,,,
2024,c) Sexuelle Gewalt,Männlich,,,,,…,,,
2010,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2011,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2012,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2013,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2014,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2015,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2016,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2017,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2018,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2019,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2020,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,,,,8.7
2021,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,…,,,
2022,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,…,,,
2023,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,…,,,
2024,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,…,,,
2010,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2011,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2012,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2013,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2014,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2015,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2016,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2017,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2018,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2019,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2020,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,,,,3.9
2021,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,…,,,
2022,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,…,,,
2023,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,…,,,
2024,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,…,,,
2010,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2011,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2012,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2013,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2014,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2015,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2016,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2017,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2018,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2019,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2020,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,,,,1.6
2021,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,…,,,
2022,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,…,,,
2023,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,…,,,
2024,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,…,,,
2010,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2011,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2012,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2013,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2014,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2015,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2016,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2017,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2018,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2019,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2020,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,,,,0.4
2021,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,…,,,
2022,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,…,,,
2023,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,…,,,
2024,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,…,,,
2010,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2011,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2012,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2013,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2014,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2015,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2016,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2017,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2018,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2019,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2020,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,,,,0.3
2021,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,…,,,
2022,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,…,,,
2023,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,…,,,
2024,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,…,,,
2010,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2011,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2012,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2013,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2014,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2015,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2016,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2017,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2018,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2019,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2020,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,,0,,,
2021,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,,…,,,
2022,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,,…,,,
2023,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,,…,,,
2024,c) Sexuelle Gewalt,,65 bis unter 75 Jahre,,,,…,,,
2010,c) Sexuelle Gewalt,,75 Jahre und älter,,,,.,,,
2011,c) Sexuelle Gewalt,,75 Jahre und älter,,,,.,,,
2012,c) Sexuelle Gewalt,,75 Jahre und älter,,,,.,,,
2013,c) Sexuelle Gewalt,,75 Jahre und älter,,,,.,,,
2014,c) Sexuelle Gewalt,,75 Jahre und älter,,,,.,,,
2015,c) Sexuelle Gewalt,,75 Jahre und älter,,,,.,,,
2016,c) Sexuelle Gewalt,,75 Jahre und älter,,,,.,,,
2017,c) Sexuelle Gewalt,,75 Jahre und älter,,,,.,,,
2018,c) Sexuelle Gewalt,,75 Jahre und älter,,,,.,,,
2019,c) Sexuelle Gewalt,,75 Jahre und älter,,,,.,,,
2020,c) Sexuelle Gewalt,,75 Jahre und älter,,,,0,,,
2021,c) Sexuelle Gewalt,,75 Jahre und älter,,,,…,,,
2022,c) Sexuelle Gewalt,,75 Jahre und älter,,,,…,,,
2023,c) Sexuelle Gewalt,,75 Jahre und älter,,,,…,,,
2024,c) Sexuelle Gewalt,,75 Jahre und älter,,,,…,,,
2010,c) Sexuelle Gewalt,,,,,Zeigen von Geschlechtsteilen,.,,,
2011,c) Sexuelle Gewalt,,,,,Zeigen von Geschlechtsteilen,.,,,
2012,c) Sexuelle Gewalt,,,,,Zeigen von Geschlechtsteilen,.,,,
2013,c) Sexuelle Gewalt,,,,,Zeigen von Geschlechtsteilen,.,,,
2014,c) Sexuelle Gewalt,,,,,Zeigen von Geschlechtsteilen,.,,,
2015,c) Sexuelle Gewalt,,,,,Zeigen von Geschlechtsteilen,.,,,
2016,c) Sexuelle Gewalt,,,,,Zeigen von Geschlechtsteilen,.,,,
2017,c) Sexuelle Gewalt,,,,,Zeigen von Geschlechtsteilen,.,,,
2018,c) Sexuelle Gewalt,,,,,Zeigen von Geschlechtsteilen,.,,,
2019,c) Sexuelle Gewalt,,,,,Zeigen von Geschlechtsteilen,.,,,
2020,c) Sexuelle Gewalt,,,,,Zeigen von Geschlechtsteilen,,,,2.3
2021,c) Sexuelle Gewalt,,,,,Zeigen von Geschlechtsteilen,,,,
2022,c) Sexuelle Gewalt,,,,,Zeigen von Geschlechtsteilen,,,,
2023,c) Sexuelle Gewalt,,,,,Zeigen von Geschlechtsteilen,,,,
2024,c) Sexuelle Gewalt,,,,,Zeigen von Geschlechtsteilen,,,,
2010,c) Sexuelle Gewalt,Weiblich,,,,Zeigen von Geschlechtsteilen,.,,,
2011,c) Sexuelle Gewalt,Weiblich,,,,Zeigen von Geschlechtsteilen,.,,,
2012,c) Sexuelle Gewalt,Weiblich,,,,Zeigen von Geschlechtsteilen,.,,,
2013,c) Sexuelle Gewalt,Weiblich,,,,Zeigen von Geschlechtsteilen,.,,,
2014,c) Sexuelle Gewalt,Weiblich,,,,Zeigen von Geschlechtsteilen,.,,,
2015,c) Sexuelle Gewalt,Weiblich,,,,Zeigen von Geschlechtsteilen,.,,,
2016,c) Sexuelle Gewalt,Weiblich,,,,Zeigen von Geschlechtsteilen,.,,,
2017,c) Sexuelle Gewalt,Weiblich,,,,Zeigen von Geschlechtsteilen,.,,,
2018,c) Sexuelle Gewalt,Weiblich,,,,Zeigen von Geschlechtsteilen,.,,,
2019,c) Sexuelle Gewalt,Weiblich,,,,Zeigen von Geschlechtsteilen,.,,,
2020,c) Sexuelle Gewalt,Weiblich,,,,Zeigen von Geschlechtsteilen,,,,3.4
2021,c) Sexuelle Gewalt,Weiblich,,,,Zeigen von Geschlechtsteilen,,,,
2022,c) Sexuelle Gewalt,Weiblich,,,,Zeigen von Geschlechtsteilen,,,,
2023,c) Sexuelle Gewalt,Weiblich,,,,Zeigen von Geschlechtsteilen,,,,
2024,c) Sexuelle Gewalt,Weiblich,,,,Zeigen von Geschlechtsteilen,,,,
2010,c) Sexuelle Gewalt,Männlich,,,,Zeigen von Geschlechtsteilen,.,,,
2011,c) Sexuelle Gewalt,Männlich,,,,Zeigen von Geschlechtsteilen,.,,,
2012,c) Sexuelle Gewalt,Männlich,,,,Zeigen von Geschlechtsteilen,.,,,
2013,c) Sexuelle Gewalt,Männlich,,,,Zeigen von Geschlechtsteilen,.,,,
2014,c) Sexuelle Gewalt,Männlich,,,,Zeigen von Geschlechtsteilen,.,,,
2015,c) Sexuelle Gewalt,Männlich,,,,Zeigen von Geschlechtsteilen,.,,,
2016,c) Sexuelle Gewalt,Männlich,,,,Zeigen von Geschlechtsteilen,.,,,
2017,c) Sexuelle Gewalt,Männlich,,,,Zeigen von Geschlechtsteilen,.,,,
2018,c) Sexuelle Gewalt,Männlich,,,,Zeigen von Geschlechtsteilen,.,,,
2019,c) Sexuelle Gewalt,Männlich,,,,Zeigen von Geschlechtsteilen,.,,,
2020,c) Sexuelle Gewalt,Männlich,,,,Zeigen von Geschlechtsteilen,,,,1.0
2021,c) Sexuelle Gewalt,Männlich,,,,Zeigen von Geschlechtsteilen,,,,
2022,c) Sexuelle Gewalt,Männlich,,,,Zeigen von Geschlechtsteilen,,,,
2023,c) Sexuelle Gewalt,Männlich,,,,Zeigen von Geschlechtsteilen,,,,
2024,c) Sexuelle Gewalt,Männlich,,,,Zeigen von Geschlechtsteilen,,,,
2010,c) Sexuelle Gewalt,,,,,Körperliche sexuelle Belästigung,.,,,
2011,c) Sexuelle Gewalt,,,,,Körperliche sexuelle Belästigung,.,,,
2012,c) Sexuelle Gewalt,,,,,Körperliche sexuelle Belästigung,.,,,
2013,c) Sexuelle Gewalt,,,,,Körperliche sexuelle Belästigung,.,,,
2014,c) Sexuelle Gewalt,,,,,Körperliche sexuelle Belästigung,.,,,
2015,c) Sexuelle Gewalt,,,,,Körperliche sexuelle Belästigung,.,,,
2016,c) Sexuelle Gewalt,,,,,Körperliche sexuelle Belästigung,.,,,
2017,c) Sexuelle Gewalt,,,,,Körperliche sexuelle Belästigung,.,,,
2018,c) Sexuelle Gewalt,,,,,Körperliche sexuelle Belästigung,.,,,
2019,c) Sexuelle Gewalt,,,,,Körperliche sexuelle Belästigung,.,,,
2020,c) Sexuelle Gewalt,,,,,Körperliche sexuelle Belästigung,,,,2.0
2021,c) Sexuelle Gewalt,,,,,Körperliche sexuelle Belästigung,.,,,
2022,c) Sexuelle Gewalt,,,,,Körperliche sexuelle Belästigung,.,,,
2023,c) Sexuelle Gewalt,,,,,Körperliche sexuelle Belästigung,.,,,
2024,c) Sexuelle Gewalt,,,,,Körperliche sexuelle Belästigung,,,,3.0
2010,c) Sexuelle Gewalt,Weiblich,,,,Körperliche sexuelle Belästigung,.,,,
2011,c) Sexuelle Gewalt,Weiblich,,,,Körperliche sexuelle Belästigung,.,,,
2012,c) Sexuelle Gewalt,Weiblich,,,,Körperliche sexuelle Belästigung,.,,,
2013,c) Sexuelle Gewalt,Weiblich,,,,Körperliche sexuelle Belästigung,.,,,
2014,c) Sexuelle Gewalt,Weiblich,,,,Körperliche sexuelle Belästigung,.,,,
2015,c) Sexuelle Gewalt,Weiblich,,,,Körperliche sexuelle Belästigung,.,,,
2016,c) Sexuelle Gewalt,Weiblich,,,,Körperliche sexuelle Belästigung,.,,,
2017,c) Sexuelle Gewalt,Weiblich,,,,Körperliche sexuelle Belästigung,.,,,
2018,c) Sexuelle Gewalt,Weiblich,,,,Körperliche sexuelle Belästigung,.,,,
2019,c) Sexuelle Gewalt,Weiblich,,,,Körperliche sexuelle Belästigung,.,,,
2020,c) Sexuelle Gewalt,Weiblich,,,,Körperliche sexuelle Belästigung,,,,3.6
2021,c) Sexuelle Gewalt,Weiblich,,,,Körperliche sexuelle Belästigung,.,,,
2022,c) Sexuelle Gewalt,Weiblich,,,,Körperliche sexuelle Belästigung,.,,,
2023,c) Sexuelle Gewalt,Weiblich,,,,Körperliche sexuelle Belästigung,.,,,
2024,c) Sexuelle Gewalt,Weiblich,,,,Körperliche sexuelle Belästigung,,,,4.8
2010,c) Sexuelle Gewalt,Männlich,,,,Körperliche sexuelle Belästigung,.,,,
2011,c) Sexuelle Gewalt,Männlich,,,,Körperliche sexuelle Belästigung,.,,,
