Year,Units,Sex,Age group,Form of exploitation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Number,,Unknown age,Sexual exploitation,,,,10.0
2014,Number,,Unknown age,Sexual exploitation,,,,12.0
2015,Number,,Unknown age,Sexual exploitation,,,,25.0
2016,Number,,Unknown age,Sexual exploitation,,,,23.0
2017,Number,,Unknown age,Sexual exploitation,,,,11.0
2018,Number,,Unknown age,Sexual exploitation,,,,13.0
2019,Number,,Unknown age,Sexual exploitation,,,,6.0
2020,Number,,Unknown age,Sexual exploitation,,,,15.0
2021,Number,,Unknown age,Sexual exploitation,,,,22.0
2022,Number,,Unknown age,Sexual exploitation,,,,10.0
2023,Number,,Unknown age,Sexual exploitation,,,,20.0
2024,Number,,Unknown age,Sexual exploitation,,,,20.0
2010,Number,Female,,Sexual exploitation,,,,588.0
2011,Number,Female,,Sexual exploitation,,,,599.0
2012,Number,Female,,Sexual exploitation,,,,590.0
2013,Number,Female,,Sexual exploitation,,,,518.0
2014,Number,Female,,Sexual exploitation,,,,531.0
2015,Number,Female,,Sexual exploitation,,,,399.0
2016,Number,Female,,Sexual exploitation,,,,466.0
2017,Number,Female,,Sexual exploitation,,,,484.0
2018,Number,Female,,Sexual exploitation,,,,413.0
2019,Number,Female,,Sexual exploitation,,,,405.0
2020,Number,Female,,Sexual exploitation,,,,381.0
2021,Number,Female,,Sexual exploitation,,,,387.0
2022,Number,Female,,Sexual exploitation,,,,453.0
2023,Number,Female,,Sexual exploitation,r,,,407.0
2024,Number,Female,,Sexual exploitation,,,,449.0
2010,Number,Male,,Sexual exploitation,,,,17.0
2011,Number,Male,,Sexual exploitation,,,,34.0
2012,Number,Male,,Sexual exploitation,,,,19.0
2013,Number,Male,,Sexual exploitation,,,,23.0
2014,Number,Male,,Sexual exploitation,,,,26.0
2015,Number,Male,,Sexual exploitation,,,,11.0
2016,Number,Male,,Sexual exploitation,,,,17.0
2017,Number,Male,,Sexual exploitation,,,,4.0
2018,Number,Male,,Sexual exploitation,,,,14.0
2019,Number,Male,,Sexual exploitation,,,,22.0
2020,Number,Male,,Sexual exploitation,,,,23.0
2021,Number,Male,,Sexual exploitation,,,,23.0
2022,Number,Male,,Sexual exploitation,,,,16.0
2023,Number,Male,,Sexual exploitation,,,,13.0
2024,Number,Male,,Sexual exploitation,,,,12.0
2010,Number,Unknown,,Sexual exploitation,,,,5.0
2011,Number,Unknown,,Sexual exploitation,,,,6.0
2012,Number,Unknown,,Sexual exploitation,,,,3.0
2013,Number,Unknown,,Sexual exploitation,,,,1.0
2014,Number,Unknown,,Sexual exploitation,,,,0.0
2015,Number,Unknown,,Sexual exploitation,,,,6.0
2016,Number,Unknown,,Sexual exploitation,,,,5.0
2017,Number,Unknown,,Sexual exploitation,,,,1.0
2018,Number,Unknown,,Sexual exploitation,,,,3.0
2019,Number,Unknown,,Sexual exploitation,,,,0.0
2020,Number,Unknown,,Sexual exploitation,,,,2.0
2021,Number,Unknown,,Sexual exploitation,,,,7.0
2022,Number,Unknown,,Sexual exploitation,,,,7.0
2023,Number,Unknown,,Sexual exploitation,,,,8.0
2024,Number,Unknown,,Sexual exploitation,,,,4.0
2010,Number,Female,,,,,,598.0
2011,Number,Female,,,,,,623.0
2012,Number,Female,,,,,,597.0
2013,Number,Female,,,,,,531.0
2014,Number,Female,,,,,,535.0
2015,Number,Female,,,,,,407.0
2016,Number,Female,,,,,,479.0
2017,Number,Female,,,,,,509.0
2018,Number,Female,,,,,,421.0
2019,Number,Female,,,,,,424.0
2020,Number,Female,,,,,,399.0
2021,Number,Female,,,,,,459.0
2022,Number,Female,,,,,,719.0
2023,Number,Female,,,,,,460.0
2024,Number,Female,,,,,,474.0
2010,Number,Male,,,,,,48.0
2011,Number,Male,,,,,,42.0
2012,Number,Male,,,,,,24.0
2013,Number,Male,,,,,,70.0
2014,Number,Male,,,,,,48.0
2015,Number,Male,,,,,,55.0
2016,Number,Male,,,,,,51.0
2017,Number,Male,,,,,,158.0
2018,Number,Male,,,,,,68.0
2019,Number,Male,,,,,,46.0
2020,Number,Male,,,,,,78.0
2021,Number,Male,,,,,,97.0
2022,Number,Male,,,,,,763.0
2023,Number,Male,,,,,,142.0
2024,Number,Male,,,,,,157.0
