Year,Type of violence,Sex,Age group,Type of physical violence,Type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,(c) Sexual violence,,55 to under 65 years,,,,,,0.6
2021,(c) Sexual violence,,55 to under 65 years,,,…,,,
2022,(c) Sexual violence,,55 to under 65 years,,,…,,,
2023,(c) Sexual violence,,55 to under 65 years,,,…,,,
2024,(c) Sexual violence,,55 to under 65 years,,,…,,,
2010,(c) Sexual violence,,65 to under 75 years,,,.,,,
2011,(c) Sexual violence,,65 to under 75 years,,,.,,,
2012,(c) Sexual violence,,65 to under 75 years,,,.,,,
2013,(c) Sexual violence,,65 to under 75 years,,,.,,,
2014,(c) Sexual violence,,65 to under 75 years,,,.,,,
2015,(c) Sexual violence,,65 to under 75 years,,,.,,,
2016,(c) Sexual violence,,65 to under 75 years,,,.,,,
2017,(c) Sexual violence,,65 to under 75 years,,,.,,,
2018,(c) Sexual violence,,65 to under 75 years,,,.,,,
2019,(c) Sexual violence,,65 to under 75 years,,,.,,,
2020,(c) Sexual violence,,65 to under 75 years,,,.,,,
2021,(c) Sexual violence,,65 to under 75 years,,,…,,,
2022,(c) Sexual violence,,65 to under 75 years,,,…,,,
2023,(c) Sexual violence,,65 to under 75 years,,,…,,,
2024,(c) Sexual violence,,65 to under 75 years,,,…,,,
2010,(c) Sexual violence,,75 years and older,,,.,,,
2011,(c) Sexual violence,,75 years and older,,,.,,,
2012,(c) Sexual violence,,75 years and older,,,.,,,
2013,(c) Sexual violence,,75 years and older,,,.,,,
2014,(c) Sexual violence,,75 years and older,,,.,,,
2015,(c) Sexual violence,,75 years and older,,,.,,,
2016,(c) Sexual violence,,75 years and older,,,.,,,
2017,(c) Sexual violence,,75 years and older,,,.,,,
2018,(c) Sexual violence,,75 years and older,,,.,,,
2019,(c) Sexual violence,,75 years and older,,,.,,,
2020,(c) Sexual violence,,75 years and older,,,.,,,
2021,(c) Sexual violence,,75 years and older,,,…,,,
2022,(c) Sexual violence,,75 years and older,,,…,,,
2023,(c) Sexual violence,,75 years and older,,,…,,,
2024,(c) Sexual violence,,75 years and older,,,…,,,
2010,(c) Sexual violence,,,,Physical sexual assault,.,,,
2011,(c) Sexual violence,,,,Physical sexual assault,.,,,
2012,(c) Sexual violence,,,,Physical sexual assault,.,,,
2013,(c) Sexual violence,,,,Physical sexual assault,.,,,
2014,(c) Sexual violence,,,,Physical sexual assault,.,,,
2015,(c) Sexual violence,,,,Physical sexual assault,.,,,
2016,(c) Sexual violence,,,,Physical sexual assault,.,,,
2017,(c) Sexual violence,,,,Physical sexual assault,.,,,
2018,(c) Sexual violence,,,,Physical sexual assault,.,,,
2019,(c) Sexual violence,,,,Physical sexual assault,.,,,
2020,(c) Sexual violence,,,,Physical sexual assault,,,,2.2
2021,(c) Sexual violence,,,,Physical sexual assault,.,,,
2022,(c) Sexual violence,,,,Physical sexual assault,.,,,
2023,(c) Sexual violence,,,,Physical sexual assault,.,,,
2024,(c) Sexual violence,,,,Physical sexual assault,,,,2.6
2010,(c) Sexual violence,Female,,,Physical sexual assault,.,,,
2011,(c) Sexual violence,Female,,,Physical sexual assault,.,,,
2012,(c) Sexual violence,Female,,,Physical sexual assault,.,,,
2013,(c) Sexual violence,Female,,,Physical sexual assault,.,,,
2014,(c) Sexual violence,Female,,,Physical sexual assault,.,,,
2015,(c) Sexual violence,Female,,,Physical sexual assault,.,,,
2016,(c) Sexual violence,Female,,,Physical sexual assault,.,,,
2017,(c) Sexual violence,Female,,,Physical sexual assault,.,,,
2018,(c) Sexual violence,Female,,,Physical sexual assault,.,,,
2019,(c) Sexual violence,Female,,,Physical sexual assault,.,,,
2020,(c) Sexual violence,Female,,,Physical sexual assault,,,,1.8
2021,(c) Sexual violence,Female,,,Physical sexual assault,.,,,
2022,(c) Sexual violence,Female,,,Physical sexual assault,.,,,
2023,(c) Sexual violence,Female,,,Physical sexual assault,.,,,
2024,(c) Sexual violence,Female,,,Physical sexual assault,,,,3.8
2010,(c) Sexual violence,Male,,,Physical sexual assault,.,,,
2011,(c) Sexual violence,Male,,,Physical sexual assault,.,,,
2012,(c) Sexual violence,Male,,,Physical sexual assault,.,,,
2013,(c) Sexual violence,Male,,,Physical sexual assault,.,,,
2014,(c) Sexual violence,Male,,,Physical sexual assault,.,,,
2015,(c) Sexual violence,Male,,,Physical sexual assault,.,,,
2016,(c) Sexual violence,Male,,,Physical sexual assault,.,,,
2017,(c) Sexual violence,Male,,,Physical sexual assault,.,,,
2018,(c) Sexual violence,Male,,,Physical sexual assault,.,,,
2019,(c) Sexual violence,Male,,,Physical sexual assault,.,,,
2020,(c) Sexual violence,Male,,,Physical sexual assault,,,,12.6
2021,(c) Sexual violence,Male,,,Physical sexual assault,.,,,
2022,(c) Sexual violence,Male,,,Physical sexual assault,.,,,
2023,(c) Sexual violence,Male,,,Physical sexual assault,.,,,
2024,(c) Sexual violence,Male,,,Physical sexual assault,,,,15.6
