Year,type of violence,sex,age group,type of physical violence,type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2017,(c) sexual violence,,75 years and older,,,.,,,
2018,(c) sexual violence,,75 years and older,,,.,,,
2019,(c) sexual violence,,75 years and older,,,.,,,
2020,(c) sexual violence,,75 years and older,,,.,,,
2021,(c) sexual violence,,75 years and older,,,…,,,
2022,(c) sexual violence,,75 years and older,,,…,,,
2023,(c) sexual violence,,75 years and older,,,…,,,
2024,(c) sexual violence,,75 years and older,,,…,,,
2010,(c) sexual violence,,,,physical sexual assault,.,,,
2011,(c) sexual violence,,,,physical sexual assault,.,,,
2012,(c) sexual violence,,,,physical sexual assault,.,,,
2013,(c) sexual violence,,,,physical sexual assault,.,,,
2014,(c) sexual violence,,,,physical sexual assault,.,,,
2015,(c) sexual violence,,,,physical sexual assault,.,,,
2016,(c) sexual violence,,,,physical sexual assault,.,,,
2017,(c) sexual violence,,,,physical sexual assault,.,,,
2018,(c) sexual violence,,,,physical sexual assault,.,,,
2019,(c) sexual violence,,,,physical sexual assault,.,,,
2020,(c) sexual violence,,,,physical sexual assault,,,,2.2
2021,(c) sexual violence,,,,physical sexual assault,.,,,
2022,(c) sexual violence,,,,physical sexual assault,.,,,
2023,(c) sexual violence,,,,physical sexual assault,.,,,
2024,(c) sexual violence,,,,physical sexual assault,,,,2.6
2010,(c) sexual violence,female,,,physical sexual assault,.,,,
2011,(c) sexual violence,female,,,physical sexual assault,.,,,
2012,(c) sexual violence,female,,,physical sexual assault,.,,,
2013,(c) sexual violence,female,,,physical sexual assault,.,,,
2014,(c) sexual violence,female,,,physical sexual assault,.,,,
2015,(c) sexual violence,female,,,physical sexual assault,.,,,
2016,(c) sexual violence,female,,,physical sexual assault,.,,,
2017,(c) sexual violence,female,,,physical sexual assault,.,,,
2018,(c) sexual violence,female,,,physical sexual assault,.,,,
2019,(c) sexual violence,female,,,physical sexual assault,.,,,
2020,(c) sexual violence,female,,,physical sexual assault,,,,1.8
2021,(c) sexual violence,female,,,physical sexual assault,.,,,
2022,(c) sexual violence,female,,,physical sexual assault,.,,,
2023,(c) sexual violence,female,,,physical sexual assault,.,,,
2024,(c) sexual violence,female,,,physical sexual assault,,,,3.8
2010,(c) sexual violence,male,,,physical sexual assault,.,,,
2011,(c) sexual violence,male,,,physical sexual assault,.,,,
2012,(c) sexual violence,male,,,physical sexual assault,.,,,
2013,(c) sexual violence,male,,,physical sexual assault,.,,,
2014,(c) sexual violence,male,,,physical sexual assault,.,,,
2015,(c) sexual violence,male,,,physical sexual assault,.,,,
2016,(c) sexual violence,male,,,physical sexual assault,.,,,
2017,(c) sexual violence,male,,,physical sexual assault,.,,,
2018,(c) sexual violence,male,,,physical sexual assault,.,,,
2019,(c) sexual violence,male,,,physical sexual assault,.,,,
2020,(c) sexual violence,male,,,physical sexual assault,,,,12.6
2021,(c) sexual violence,male,,,physical sexual assault,.,,,
2022,(c) sexual violence,male,,,physical sexual assault,.,,,
2023,(c) sexual violence,male,,,physical sexual assault,.,,,
2024,(c) sexual violence,male,,,physical sexual assault,,,,15.6
