Year,Type of violence,Sex,Age group,Type of physical violence,Type of psychological violence,Type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2017,(b) Psychological violence,Male,,,Threat of violence offline,,.,,,
2018,(b) Psychological violence,Male,,,Threat of violence offline,,.,,,
2019,(b) Psychological violence,Male,,,Threat of violence offline,,.,,,
2020,(b) Psychological violence,Male,,,Threat of violence offline,,,,,4.0
2021,(b) Psychological violence,Male,,,Threat of violence offline,,.,,,
2022,(b) Psychological violence,Male,,,Threat of violence offline,,.,,,
2023,(b) Psychological violence,Male,,,Threat of violence offline,,.,,,
2024,(b) Psychological violence,Male,,,Threat of violence offline,,,,,6.1
2010,(b) Psychological violence,,,,Threat of violence online,,.,,,
2011,(b) Psychological violence,,,,Threat of violence online,,.,,,
2012,(b) Psychological violence,,,,Threat of violence online,,.,,,
2013,(b) Psychological violence,,,,Threat of violence online,,.,,,
2014,(b) Psychological violence,,,,Threat of violence online,,.,,,
2015,(b) Psychological violence,,,,Threat of violence online,,.,,,
2016,(b) Psychological violence,,,,Threat of violence online,,.,,,
2017,(b) Psychological violence,,,,Threat of violence online,,.,,,
2018,(b) Psychological violence,,,,Threat of violence online,,.,,,
2019,(b) Psychological violence,,,,Threat of violence online,,.,,,
2020,(b) Psychological violence,,,,Threat of violence online,,,,,1.6
2021,(b) Psychological violence,,,,Threat of violence online,,.,,,
2022,(b) Psychological violence,,,,Threat of violence online,,.,,,
2023,(b) Psychological violence,,,,Threat of violence online,,.,,,
2024,(b) Psychological violence,,,,Threat of violence online,,,,,3.0
2010,(b) Psychological violence,Female,,,Threat of violence online,,.,,,
2011,(b) Psychological violence,Female,,,Threat of violence online,,.,,,
2012,(b) Psychological violence,Female,,,Threat of violence online,,.,,,
2013,(b) Psychological violence,Female,,,Threat of violence online,,.,,,
2014,(b) Psychological violence,Female,,,Threat of violence online,,.,,,
2015,(b) Psychological violence,Female,,,Threat of violence online,,.,,,
2016,(b) Psychological violence,Female,,,Threat of violence online,,.,,,
2017,(b) Psychological violence,Female,,,Threat of violence online,,.,,,
2018,(b) Psychological violence,Female,,,Threat of violence online,,.,,,
2019,(b) Psychological violence,Female,,,Threat of violence online,,.,,,
2020,(b) Psychological violence,Female,,,Threat of violence online,,,,,1.5
2021,(b) Psychological violence,Female,,,Threat of violence online,,.,,,
2022,(b) Psychological violence,Female,,,Threat of violence online,,.,,,
2023,(b) Psychological violence,Female,,,Threat of violence online,,.,,,
2024,(b) Psychological violence,Female,,,Threat of violence online,,,,,2.2
2010,(b) Psychological violence,Male,,,Threat of violence online,,.,,,
2011,(b) Psychological violence,Male,,,Threat of violence online,,.,,,
2012,(b) Psychological violence,Male,,,Threat of violence online,,.,,,
2013,(b) Psychological violence,Male,,,Threat of violence online,,.,,,
2014,(b) Psychological violence,Male,,,Threat of violence online,,.,,,
2015,(b) Psychological violence,Male,,,Threat of violence online,,.,,,
2016,(b) Psychological violence,Male,,,Threat of violence online,,.,,,
2017,(b) Psychological violence,Male,,,Threat of violence online,,.,,,
2018,(b) Psychological violence,Male,,,Threat of violence online,,.,,,
2019,(b) Psychological violence,Male,,,Threat of violence online,,.,,,
2020,(b) Psychological violence,Male,,,Threat of violence online,,,,,1.7
2021,(b) Psychological violence,Male,,,Threat of violence online,,.,,,
2022,(b) Psychological violence,Male,,,Threat of violence online,,.,,,
2023,(b) Psychological violence,Male,,,Threat of violence online,,.,,,
2024,(b) Psychological violence,Male,,,Threat of violence online,,,,,3.6
2010,(c) Sexual violence,,,,,,.,,,
2011,(c) Sexual violence,,,,,,.,,,
2012,(c) Sexual violence,,,,,,.,,,
2013,(c) Sexual violence,,,,,,.,,,
2014,(c) Sexual violence,,,,,,.,,,
2015,(c) Sexual violence,,,,,,.,,,
2016,(c) Sexual violence,,,,,,.,,,
2017,(c) Sexual violence,,,,,,.,,,
2018,(c) Sexual violence,,,,,,.,,,
2019,(c) Sexual violence,,,,,,.,,,
2020,(c) Sexual violence,,,,,,,,,2.1
2021,(c) Sexual violence,,,,,,…,,,
2022,(c) Sexual violence,,,,,,…,,,
2023,(c) Sexual violence,,,,,,…,,,
2024,(c) Sexual violence,,,,,,…,,,
2010,(c) Sexual violence,Female,,,,,.,,,
2011,(c) Sexual violence,Female,,,,,.,,,
2012,(c) Sexual violence,Female,,,,,.,,,
2013,(c) Sexual violence,Female,,,,,.,,,
2014,(c) Sexual violence,Female,,,,,.,,,
2015,(c) Sexual violence,Female,,,,,.,,,
2016,(c) Sexual violence,Female,,,,,.,,,
2017,(c) Sexual violence,Female,,,,,.,,,
2018,(c) Sexual violence,Female,,,,,.,,,
2019,(c) Sexual violence,Female,,,,,.,,,
2020,(c) Sexual violence,Female,,,,,,,,3.6
2021,(c) Sexual violence,Female,,,,,…,,,
2022,(c) Sexual violence,Female,,,,,…,,,
2023,(c) Sexual violence,Female,,,,,…,,,
2024,(c) Sexual violence,Female,,,,,…,,,
2010,(c) Sexual violence,Male,,,,,.,,,
2011,(c) Sexual violence,Male,,,,,.,,,
2012,(c) Sexual violence,Male,,,,,.,,,
2013,(c) Sexual violence,Male,,,,,.,,,
2014,(c) Sexual violence,Male,,,,,.,,,
2015,(c) Sexual violence,Male,,,,,.,,,
2016,(c) Sexual violence,Male,,,,,.,,,
2017,(c) Sexual violence,Male,,,,,.,,,
2018,(c) Sexual violence,Male,,,,,.,,,
2019,(c) Sexual violence,Male,,,,,.,,,
2020,(c) Sexual violence,Male,,,,,,,,0.3
2021,(c) Sexual violence,Male,,,,,…,,,
2022,(c) Sexual violence,Male,,,,,…,,,
2023,(c) Sexual violence,Male,,,,,…,,,
2024,(c) Sexual violence,Male,,,,,…,,,
2010,(c) Sexual violence,,16 to under 25 years,,,,.,,,
2011,(c) Sexual violence,,16 to under 25 years,,,,.,,,
2012,(c) Sexual violence,,16 to under 25 years,,,,.,,,
2013,(c) Sexual violence,,16 to under 25 years,,,,.,,,
2014,(c) Sexual violence,,16 to under 25 years,,,,.,,,
2015,(c) Sexual violence,,16 to under 25 years,,,,.,,,
2016,(c) Sexual violence,,16 to under 25 years,,,,.,,,
2017,(c) Sexual violence,,16 to under 25 years,,,,.,,,
2018,(c) Sexual violence,,16 to under 25 years,,,,.,,,
2019,(c) Sexual violence,,16 to under 25 years,,,,.,,,
2020,(c) Sexual violence,,16 to under 25 years,,,,,,,8.7
2021,(c) Sexual violence,,16 to under 25 years,,,,…,,,
2022,(c) Sexual violence,,16 to under 25 years,,,,…,,,
2023,(c) Sexual violence,,16 to under 25 years,,,,…,,,
2024,(c) Sexual violence,,16 to under 25 years,,,,…,,,
2010,(c) Sexual violence,,25 to under 35 years,,,,.,,,
2011,(c) Sexual violence,,25 to under 35 years,,,,.,,,
2012,(c) Sexual violence,,25 to under 35 years,,,,.,,,
2013,(c) Sexual violence,,25 to under 35 years,,,,.,,,
2014,(c) Sexual violence,,25 to under 35 years,,,,.,,,
2015,(c) Sexual violence,,25 to under 35 years,,,,.,,,
2016,(c) Sexual violence,,25 to under 35 years,,,,.,,,
2017,(c) Sexual violence,,25 to under 35 years,,,,.,,,
2018,(c) Sexual violence,,25 to under 35 years,,,,.,,,
2019,(c) Sexual violence,,25 to under 35 years,,,,.,,,
2020,(c) Sexual violence,,25 to under 35 years,,,,,,,3.9
2021,(c) Sexual violence,,25 to under 35 years,,,,…,,,
2022,(c) Sexual violence,,25 to under 35 years,,,,…,,,
2023,(c) Sexual violence,,25 to under 35 years,,,,…,,,
2024,(c) Sexual violence,,25 to under 35 years,,,,…,,,
2010,(c) Sexual violence,,35 to under 45 years,,,,.,,,
2011,(c) Sexual violence,,35 to under 45 years,,,,.,,,
2012,(c) Sexual violence,,35 to under 45 years,,,,.,,,
2013,(c) Sexual violence,,35 to under 45 years,,,,.,,,
2014,(c) Sexual violence,,35 to under 45 years,,,,.,,,
2015,(c) Sexual violence,,35 to under 45 years,,,,.,,,
2016,(c) Sexual violence,,35 to under 45 years,,,,.,,,
2017,(c) Sexual violence,,35 to under 45 years,,,,.,,,
2018,(c) Sexual violence,,35 to under 45 years,,,,.,,,
2019,(c) Sexual violence,,35 to under 45 years,,,,.,,,
2020,(c) Sexual violence,,35 to under 45 years,,,,,,,1.6
2021,(c) Sexual violence,,35 to under 45 years,,,,…,,,
2022,(c) Sexual violence,,35 to under 45 years,,,,…,,,
2023,(c) Sexual violence,,35 to under 45 years,,,,…,,,
2024,(c) Sexual violence,,35 to under 45 years,,,,…,,,
2010,(c) Sexual violence,,45 to under 55 years,,,,.,,,
2011,(c) Sexual violence,,45 to under 55 years,,,,.,,,
2012,(c) Sexual violence,,45 to under 55 years,,,,.,,,
2013,(c) Sexual violence,,45 to under 55 years,,,,.,,,
2014,(c) Sexual violence,,45 to under 55 years,,,,.,,,
2015,(c) Sexual violence,,45 to under 55 years,,,,.,,,
2016,(c) Sexual violence,,45 to under 55 years,,,,.,,,
2017,(c) Sexual violence,,45 to under 55 years,,,,.,,,
2018,(c) Sexual violence,,45 to under 55 years,,,,.,,,
2019,(c) Sexual violence,,45 to under 55 years,,,,.,,,
2020,(c) Sexual violence,,45 to under 55 years,,,,,,,0.4
2021,(c) Sexual violence,,45 to under 55 years,,,,…,,,
2022,(c) Sexual violence,,45 to under 55 years,,,,…,,,
2023,(c) Sexual violence,,45 to under 55 years,,,,…,,,
2024,(c) Sexual violence,,45 to under 55 years,,,,…,,,
2010,(c) Sexual violence,,55 to under 65 years,,,,.,,,
2011,(c) Sexual violence,,55 to under 65 years,,,,.,,,
2012,(c) Sexual violence,,55 to under 65 years,,,,.,,,
2013,(c) Sexual violence,,55 to under 65 years,,,,.,,,
2014,(c) Sexual violence,,55 to under 65 years,,,,.,,,
2015,(c) Sexual violence,,55 to under 65 years,,,,.,,,
2016,(c) Sexual violence,,55 to under 65 years,,,,.,,,
2017,(c) Sexual violence,,55 to under 65 years,,,,.,,,
2018,(c) Sexual violence,,55 to under 65 years,,,,.,,,
2019,(c) Sexual violence,,55 to under 65 years,,,,.,,,
2020,(c) Sexual violence,,55 to under 65 years,,,,,,,0.3
2021,(c) Sexual violence,,55 to under 65 years,,,,…,,,
2022,(c) Sexual violence,,55 to under 65 years,,,,…,,,
2023,(c) Sexual violence,,55 to under 65 years,,,,…,,,
2024,(c) Sexual violence,,55 to under 65 years,,,,…,,,
2010,(c) Sexual violence,,65 to under 75 years,,,,.,,,
2011,(c) Sexual violence,,65 to under 75 years,,,,.,,,
2012,(c) Sexual violence,,65 to under 75 years,,,,.,,,
2013,(c) Sexual violence,,65 to under 75 years,,,,.,,,
2014,(c) Sexual violence,,65 to under 75 years,,,,.,,,
2015,(c) Sexual violence,,65 to under 75 years,,,,.,,,
2016,(c) Sexual violence,,65 to under 75 years,,,,.,,,
2017,(c) Sexual violence,,65 to under 75 years,,,,.,,,
2018,(c) Sexual violence,,65 to under 75 years,,,,.,,,
2019,(c) Sexual violence,,65 to under 75 years,,,,.,,,
2020,(c) Sexual violence,,65 to under 75 years,,,,0,,,
2021,(c) Sexual violence,,65 to under 75 years,,,,…,,,
2022,(c) Sexual violence,,65 to under 75 years,,,,…,,,
2023,(c) Sexual violence,,65 to under 75 years,,,,…,,,
2024,(c) Sexual violence,,65 to under 75 years,,,,…,,,
2010,(c) Sexual violence,,75 years and older,,,,.,,,
2011,(c) Sexual violence,,75 years and older,,,,.,,,
2012,(c) Sexual violence,,75 years and older,,,,.,,,
2013,(c) Sexual violence,,75 years and older,,,,.,,,
2014,(c) Sexual violence,,75 years and older,,,,.,,,
2015,(c) Sexual violence,,75 years and older,,,,.,,,
2016,(c) Sexual violence,,75 years and older,,,,.,,,
2017,(c) Sexual violence,,75 years and older,,,,.,,,
2018,(c) Sexual violence,,75 years and older,,,,.,,,
2019,(c) Sexual violence,,75 years and older,,,,.,,,
2020,(c) Sexual violence,,75 years and older,,,,0,,,
2021,(c) Sexual violence,,75 years and older,,,,…,,,
2022,(c) Sexual violence,,75 years and older,,,,…,,,
2023,(c) Sexual violence,,75 years and older,,,,…,,,
2024,(c) Sexual violence,,75 years and older,,,,…,,,
2010,(c) Sexual violence,,,,,Exposure of genitals,.,,,
2011,(c) Sexual violence,,,,,Exposure of genitals,.,,,
2012,(c) Sexual violence,,,,,Exposure of genitals,.,,,
2013,(c) Sexual violence,,,,,Exposure of genitals,.,,,
2014,(c) Sexual violence,,,,,Exposure of genitals,.,,,
2015,(c) Sexual violence,,,,,Exposure of genitals,.,,,
2016,(c) Sexual violence,,,,,Exposure of genitals,.,,,
2017,(c) Sexual violence,,,,,Exposure of genitals,.,,,
2018,(c) Sexual violence,,,,,Exposure of genitals,.,,,
2019,(c) Sexual violence,,,,,Exposure of genitals,.,,,
2020,(c) Sexual violence,,,,,Exposure of genitals,,,,2.3
2021,(c) Sexual violence,,,,,Exposure of genitals,,,,
2022,(c) Sexual violence,,,,,Exposure of genitals,,,,
2023,(c) Sexual violence,,,,,Exposure of genitals,,,,
2024,(c) Sexual violence,,,,,Exposure of genitals,,,,
2010,(c) Sexual violence,Female,,,,Exposure of genitals,.,,,
2011,(c) Sexual violence,Female,,,,Exposure of genitals,.,,,
2012,(c) Sexual violence,Female,,,,Exposure of genitals,.,,,
2013,(c) Sexual violence,Female,,,,Exposure of genitals,.,,,
2014,(c) Sexual violence,Female,,,,Exposure of genitals,.,,,
2015,(c) Sexual violence,Female,,,,Exposure of genitals,.,,,
2016,(c) Sexual violence,Female,,,,Exposure of genitals,.,,,
2017,(c) Sexual violence,Female,,,,Exposure of genitals,.,,,
2018,(c) Sexual violence,Female,,,,Exposure of genitals,.,,,
2019,(c) Sexual violence,Female,,,,Exposure of genitals,.,,,
2020,(c) Sexual violence,Female,,,,Exposure of genitals,,,,3.4
2021,(c) Sexual violence,Female,,,,Exposure of genitals,,,,
2022,(c) Sexual violence,Female,,,,Exposure of genitals,,,,
2023,(c) Sexual violence,Female,,,,Exposure of genitals,,,,
2024,(c) Sexual violence,Female,,,,Exposure of genitals,,,,
2010,(c) Sexual violence,Male,,,,Exposure of genitals,.,,,
2011,(c) Sexual violence,Male,,,,Exposure of genitals,.,,,
2012,(c) Sexual violence,Male,,,,Exposure of genitals,.,,,
2013,(c) Sexual violence,Male,,,,Exposure of genitals,.,,,
2014,(c) Sexual violence,Male,,,,Exposure of genitals,.,,,
2015,(c) Sexual violence,Male,,,,Exposure of genitals,.,,,
2016,(c) Sexual violence,Male,,,,Exposure of genitals,.,,,
2017,(c) Sexual violence,Male,,,,Exposure of genitals,.,,,
2018,(c) Sexual violence,Male,,,,Exposure of genitals,.,,,
2019,(c) Sexual violence,Male,,,,Exposure of genitals,.,,,
2020,(c) Sexual violence,Male,,,,Exposure of genitals,,,,1.0
2021,(c) Sexual violence,Male,,,,Exposure of genitals,,,,
2022,(c) Sexual violence,Male,,,,Exposure of genitals,,,,
2023,(c) Sexual violence,Male,,,,Exposure of genitals,,,,
2024,(c) Sexual violence,Male,,,,Exposure of genitals,,,,
2010,(c) Sexual violence,,,,,Physical sexual assault,.,,,
2011,(c) Sexual violence,,,,,Physical sexual assault,.,,,
2012,(c) Sexual violence,,,,,Physical sexual assault,.,,,
2013,(c) Sexual violence,,,,,Physical sexual assault,.,,,
2014,(c) Sexual violence,,,,,Physical sexual assault,.,,,
2015,(c) Sexual violence,,,,,Physical sexual assault,.,,,
2016,(c) Sexual violence,,,,,Physical sexual assault,.,,,
2017,(c) Sexual violence,,,,,Physical sexual assault,.,,,
2018,(c) Sexual violence,,,,,Physical sexual assault,.,,,
2019,(c) Sexual violence,,,,,Physical sexual assault,.,,,
2020,(c) Sexual violence,,,,,Physical sexual assault,,,,2.0
2021,(c) Sexual violence,,,,,Physical sexual assault,.,,,
2022,(c) Sexual violence,,,,,Physical sexual assault,.,,,
2023,(c) Sexual violence,,,,,Physical sexual assault,.,,,
2024,(c) Sexual violence,,,,,Physical sexual assault,,,,3.0
2010,(c) Sexual violence,Female,,,,Physical sexual assault,.,,,
2011,(c) Sexual violence,Female,,,,Physical sexual assault,.,,,
2012,(c) Sexual violence,Female,,,,Physical sexual assault,.,,,
2013,(c) Sexual violence,Female,,,,Physical sexual assault,.,,,
2014,(c) Sexual violence,Female,,,,Physical sexual assault,.,,,
2015,(c) Sexual violence,Female,,,,Physical sexual assault,.,,,
2016,(c) Sexual violence,Female,,,,Physical sexual assault,.,,,
2017,(c) Sexual violence,Female,,,,Physical sexual assault,.,,,
2018,(c) Sexual violence,Female,,,,Physical sexual assault,.,,,
2019,(c) Sexual violence,Female,,,,Physical sexual assault,.,,,
2020,(c) Sexual violence,Female,,,,Physical sexual assault,,,,3.6
2021,(c) Sexual violence,Female,,,,Physical sexual assault,.,,,
2022,(c) Sexual violence,Female,,,,Physical sexual assault,.,,,
2023,(c) Sexual violence,Female,,,,Physical sexual assault,.,,,
2024,(c) Sexual violence,Female,,,,Physical sexual assault,,,,4.8
2010,(c) Sexual violence,Male,,,,Physical sexual assault,.,,,
2011,(c) Sexual violence,Male,,,,Physical sexual assault,.,,,
2012,(c) Sexual violence,Male,,,,Physical sexual assault,.,,,
2013,(c) Sexual violence,Male,,,,Physical sexual assault,.,,,
2014,(c) Sexual violence,Male,,,,Physical sexual assault,.,,,
2015,(c) Sexual violence,Male,,,,Physical sexual assault,.,,,
2016,(c) Sexual violence,Male,,,,Physical sexual assault,.,,,
2017,(c) Sexual violence,Male,,,,Physical sexual assault,.,,,
2018,(c) Sexual violence,Male,,,,Physical sexual assault,.,,,
2019,(c) Sexual violence,Male,,,,Physical sexual assault,.,,,
2020,(c) Sexual violence,Male,,,,Physical sexual assault,,,,0.3
2021,(c) Sexual violence,Male,,,,Physical sexual assault,.,,,
2022,(c) Sexual violence,Male,,,,Physical sexual assault,.,,,
2023,(c) Sexual violence,Male,,,,Physical sexual assault,.,,,
2024,(c) Sexual violence,Male,,,,Physical sexual assault,,,,1.2
2010,(c) Sexual violence,,,,,Sexual abuse or rape,.,,,
2011,(c) Sexual violence,,,,,Sexual abuse or rape,.,,,
2012,(c) Sexual violence,,,,,Sexual abuse or rape,.,,,
2013,(c) Sexual violence,,,,,Sexual abuse or rape,.,,,
2014,(c) Sexual violence,,,,,Sexual abuse or rape,.,,,
2015,(c) Sexual violence,,,,,Sexual abuse or rape,.,,,
2016,(c) Sexual violence,,,,,Sexual abuse or rape,.,,,
2017,(c) Sexual violence,,,,,Sexual abuse or rape,.,,,
2018,(c) Sexual violence,,,,,Sexual abuse or rape,.,,,
2019,(c) Sexual violence,,,,,Sexual abuse or rape,.,,,
2020,(c) Sexual violence,,,,,Sexual abuse or rape,,,,0.3
2021,(c) Sexual violence,,,,,Sexual abuse or rape,.,,,
2022,(c) Sexual violence,,,,,Sexual abuse or rape,.,,,
2023,(c) Sexual violence,,,,,Sexual abuse or rape,.,,,
2024,(c) Sexual violence,,,,,Sexual abuse or rape,,,,0.4
2010,(c) Sexual violence,Female,,,,Sexual abuse or rape,.,,,
2011,(c) Sexual violence,Female,,,,Sexual abuse or rape,.,,,
2012,(c) Sexual violence,Female,,,,Sexual abuse or rape,.,,,
2013,(c) Sexual violence,Female,,,,Sexual abuse or rape,.,,,
2014,(c) Sexual violence,Female,,,,Sexual abuse or rape,.,,,
2015,(c) Sexual violence,Female,,,,Sexual abuse or rape,.,,,
2016,(c) Sexual violence,Female,,,,Sexual abuse or rape,.,,,
2017,(c) Sexual violence,Female,,,,Sexual abuse or rape,.,,,
2018,(c) Sexual violence,Female,,,,Sexual abuse or rape,.,,,
2019,(c) Sexual violence,Female,,,,Sexual abuse or rape,.,,,
2020,(c) Sexual violence,Female,,,,Sexual abuse or rape,,,,0.3
2021,(c) Sexual violence,Female,,,,Sexual abuse or rape,.,,,
2022,(c) Sexual violence,Female,,,,Sexual abuse or rape,.,,,
2023,(c) Sexual violence,Female,,,,Sexual abuse or rape,.,,,
2024,(c) Sexual violence,Female,,,,Sexual abuse or rape,,,,0.6
2010,(c) Sexual violence,Male,,,,Sexual abuse or rape,.,,,
2011,(c) Sexual violence,Male,,,,Sexual abuse or rape,.,,,
2012,(c) Sexual violence,Male,,,,Sexual abuse or rape,.,,,
2013,(c) Sexual violence,Male,,,,Sexual abuse or rape,.,,,
2014,(c) Sexual violence,Male,,,,Sexual abuse or rape,.,,,
2015,(c) Sexual violence,Male,,,,Sexual abuse or rape,.,,,
2016,(c) Sexual violence,Male,,,,Sexual abuse or rape,.,,,
2017,(c) Sexual violence,Male,,,,Sexual abuse or rape,.,,,
2018,(c) Sexual violence,Male,,,,Sexual abuse or rape,.,,,
2019,(c) Sexual violence,Male,,,,Sexual abuse or rape,.,,,
2020,(c) Sexual violence,Male,,,,Sexual abuse or rape,,,,0.1
2021,(c) Sexual violence,Male,,,,Sexual abuse or rape,.,,,
2022,(c) Sexual violence,Male,,,,Sexual abuse or rape,.,,,
2023,(c) Sexual violence,Male,,,,Sexual abuse or rape,.,,,
2024,(c) Sexual violence,Male,,,,Sexual abuse or rape,,,,0.1
