Year,Units,Time series,Type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2020,Cumulative number,[a] Germany as receiver,INCREASE project,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2021,Cumulative number,[a] Germany as receiver,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),226.0
2022,Cumulative number,[a] Germany as receiver,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),706.0
2023,Cumulative number,[a] Germany as receiver,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),2396.0
2024,Cumulative number,[a] Germany as receiver,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),4291.0
2025,Cumulative number,[a] Germany as receiver,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),5655.0
2026,Cumulative number,[a] Germany as receiver,INCREASE project,p,,,(5) Standard Material Transfer Agreements (SMTAs),5758.0
2007,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),33.0
2008,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),386.0
2009,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),851.0
2010,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),1411.0
2011,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),2305.0
2012,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),2617.0
2013,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),2927.0
2014,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),3244.0
2015,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),3703.0
2016,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),4140.0
2017,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),4408.0
2018,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),4681.0
2019,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),4900.0
2020,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),5169.0
2021,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),5480.0
2022,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),5757.0
2023,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),5884.0
2024,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),5901.0
2025,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),5901.0
2026,Cumulative number,[a] Germany as receiver,Unknown,p,,,(5) Standard Material Transfer Agreements (SMTAs),5901.0
2007,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),42.0
2008,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),591.0
2009,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),1295.0
2010,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),2132.0
2011,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),3566.0
2012,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),5022.0
2013,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),6314.0
2014,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),7675.0
2015,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),9241.0
2016,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),10567.0
2017,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),11135.0
2018,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),11709.0
2019,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),12296.0
2020,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),12812.0
2021,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),13415.0
2022,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),13908.0
2023,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),14176.0
2024,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),14332.0
2025,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),14490.0
2026,Cumulative number,[b] Germany as provider,,p,,,(5) Standard Material Transfer Agreements (SMTAs),14610.0
2007,Cumulative number,[b] Germany as provider,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2008,Cumulative number,[b] Germany as provider,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2009,Cumulative number,[b] Germany as provider,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2010,Cumulative number,[b] Germany as provider,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2011,Cumulative number,[b] Germany as provider,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2012,Cumulative number,[b] Germany as provider,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2013,Cumulative number,[b] Germany as provider,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2014,Cumulative number,[b] Germany as provider,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2015,Cumulative number,[b] Germany as provider,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2016,Cumulative number,[b] Germany as provider,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2017,Cumulative number,[b] Germany as provider,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2018,Cumulative number,[b] Germany as provider,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2019,Cumulative number,[b] Germany as provider,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2020,Cumulative number,[b] Germany as provider,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2021,Cumulative number,[b] Germany as provider,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2022,Cumulative number,[b] Germany as provider,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2023,Cumulative number,[b] Germany as provider,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2024,Cumulative number,[b] Germany as provider,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2025,Cumulative number,[b] Germany as provider,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2026,Cumulative number,[b] Germany as provider,Commercial company,p,,,(5) Standard Material Transfer Agreements (SMTAs),4.0
2007,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),42.0
2008,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),591.0
2009,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),1295.0
2010,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),2132.0
2011,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),3566.0
2012,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),5022.0
2013,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),6314.0
2014,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),7675.0
2015,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),9241.0
2016,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),10560.0
2017,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),11126.0
2018,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),11685.0
2019,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),12256.0
2020,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),12761.0
2021,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),13364.0
2022,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),13850.0
2023,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),14100.0
2024,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),14100.0
2025,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),14100.0
2026,Cumulative number,[b] Germany as provider,Gene bank,p,,,(5) Standard Material Transfer Agreements (SMTAs),14100.0
2007,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2008,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2009,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2010,Cumulative number,[b] Germany as provider,National agricultural research centre,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2011,Cumulative number,[b] Germany as provider,National agricultural research centre,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2012,Cumulative number,[b] Germany as provider,National agricultural research centre,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2013,Cumulative number,[b] Germany as provider,National agricultural research centre,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2014,Cumulative number,[b] Germany as provider,National agricultural research centre,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2015,Cumulative number,[b] Germany as provider,National agricultural research centre,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2016,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),3.0
2017,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),3.0
2018,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),18.0
2019,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),34.0
2020,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),44.0
2021,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),44.0
2022,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),44.0
2023,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),44.0
2024,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),44.0
2025,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),44.0
2026,Cumulative number,[b] Germany as provider,National agricultural research centre,p,,,(5) Standard Material Transfer Agreements (SMTAs),44.0
2007,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2008,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2009,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2010,Cumulative number,[b] Germany as provider,Other,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2011,Cumulative number,[b] Germany as provider,Other,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2012,Cumulative number,[b] Germany as provider,Other,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2013,Cumulative number,[b] Germany as provider,Other,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2014,Cumulative number,[b] Germany as provider,Other,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2015,Cumulative number,[b] Germany as provider,Other,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2016,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),4.0
2017,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6.0
2018,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6.0
2019,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6.0
2020,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6.0
2021,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6.0
2022,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6.0
2023,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6.0
2024,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6.0
2025,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6.0
2026,Cumulative number,[b] Germany as provider,Other,p,,,(5) Standard Material Transfer Agreements (SMTAs),6.0
2007,Cumulative number,[b] Germany as provider,Regional organization,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2008,Cumulative number,[b] Germany as provider,Regional organization,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2009,Cumulative number,[b] Germany as provider,Regional organization,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2010,Cumulative number,[b] Germany as provider,Regional organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2011,Cumulative number,[b] Germany as provider,Regional organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2012,Cumulative number,[b] Germany as provider,Regional organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2013,Cumulative number,[b] Germany as provider,Regional organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2014,Cumulative number,[b] Germany as provider,Regional organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2015,Cumulative number,[b] Germany as provider,Regional organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2016,Cumulative number,[b] Germany as provider,Regional organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2017,Cumulative number,[b] Germany as provider,Regional organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2018,Cumulative number,[b] Germany as provider,Regional organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2019,Cumulative number,[b] Germany as provider,Regional organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2020,Cumulative number,[b] Germany as provider,Regional organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2021,Cumulative number,[b] Germany as provider,Regional organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2022,Cumulative number,[b] Germany as provider,Regional organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2023,Cumulative number,[b] Germany as provider,Regional organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2024,Cumulative number,[b] Germany as provider,Regional organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2025,Cumulative number,[b] Germany as provider,Regional organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2026,Cumulative number,[b] Germany as provider,Regional organization,p,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2007,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2008,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2009,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2010,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2011,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2012,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2013,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2014,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2015,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2016,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2017,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2018,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2019,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2020,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2021,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2022,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),7.0
2023,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),25.0
2024,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),181.0
2025,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),338.0
2026,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),455.0
