Year,Units,type of harassment,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2016,"per 100,000 inhabitants",sexual harassment,13 years and younger,male,‒,,,0.0
2017,"per 100,000 inhabitants",sexual harassment,13 years and younger,male,‒,,,0.0
2018,"per 100,000 inhabitants",sexual harassment,13 years and younger,male,‒,,,0.0
2019,"per 100,000 inhabitants",sexual harassment,13 years and younger,male,‒,,,0.0
2020,"per 100,000 inhabitants",sexual harassment,13 years and younger,male,‒,,,0.0
2021,"per 100,000 inhabitants",sexual harassment,13 years and younger,male,|,,,0.3
2022,"per 100,000 inhabitants",sexual harassment,13 years and younger,male,,,,0.5
2023,"per 100,000 inhabitants",sexual harassment,13 years and younger,male,,,,0.4
2024,"per 100,000 inhabitants",sexual harassment,13 years and younger,male,|,,,0.9
2010,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,,.,,,
2011,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,,.,,,
2012,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,,,,,42.3
2013,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,,|,,,43.2
2014,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,,,,,42.5
2015,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,,,,,38.8
2016,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,,,,,35.8
2017,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,,,,,34.8
2018,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,,,,,35.6
2019,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,,,,,30.4
2020,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,,,,,35.2
2021,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,,|,,,35.7
2022,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,,,,,41.3
2023,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,,,,,38.9
2024,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,,|,,,44.1
2010,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,female,.,,,
2011,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,female,.,,,
2012,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,female,,,,59.3
2013,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,female,|,,,79.2
2014,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,female,,,,78.4
2015,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,female,,,,73.8
2016,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,female,,,,66.3
2017,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,female,,,,62.7
2018,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,female,,,,63.8
2019,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,female,,,,54.8
2020,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,female,,,,63.2
2021,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,female,|,,,64.3
2022,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,female,,,,73.8
2023,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,female,,,,68.0
2024,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,female,|,,,77.1
2010,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,male,.,,,
2011,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,male,.,,,
2012,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,male,,,,6.2
2013,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,male,|,,,9.1
2014,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,male,,,,8.5
2015,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,male,,,,5.7
2016,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,male,,,,7.5
2017,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,male,,,,9.0
2018,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,male,,,,9.4
2019,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,male,,,,7.6
2020,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,male,,,,8.9
2021,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,male,|,,,8.7
2022,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,male,,,,10.8
2023,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,male,,,,11.6
2024,"per 100,000 inhabitants",sexual harassment,14 to under 18 years,male,|,,,13.4
2010,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,,.,,,
2011,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,,.,,,
2012,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,,,,,31.1
2013,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,,|,,,30.5
2014,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,,,,,33.3
2015,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,,,,,32.4
2016,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,,,,,29.7
2017,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,,,,,35.2
2018,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,,,,,33.4
2019,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,,,,,28.0
2020,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,,,,,38.3
2021,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,,|,,,35.9
2022,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,,,,,38.5
2023,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,,,,,38.2
2024,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,,|,,,42.9
2010,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,female,.,,,
2011,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,female,.,,,
2012,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,female,,,,59.4
2013,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,female,|,,,57.7
2014,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,female,,,,63.9
2015,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,female,,,,61.6
2016,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,female,,,,56.7
2017,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,female,,,,68.5
2018,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,female,,,,62.9
2019,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,female,,,,52.0
2020,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,female,,,,72.5
2021,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,female,|,,,66.8
2022,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,female,,,,71.3
2023,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,female,,,,69.9
2024,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,female,|,,,77.5
2010,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,male,.,,,
2011,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,male,.,,,
2012,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,male,,,,4.2
2013,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,male,|,,,4.6
2014,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,male,,,,4.4
2015,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,male,,,,4.9
2016,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,male,,,,5.4
2017,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,male,,,,5.2
2018,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,male,,,,6.8
2019,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,male,,,,6.3
2020,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,male,,,,7.0
2021,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,male,|,,,7.4
2022,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,male,,,,8.0
2023,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,male,,,,8.6
2024,"per 100,000 inhabitants",sexual harassment,18 to under 21 years,male,|,,,11.0
2010,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,,.,,,
2011,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,,.,,,
2012,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,,,,,12.3
2013,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,,|,,,12.2
2014,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,,,,,12.6
2015,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,,,,,11.9
2016,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,,,,,13.5
2017,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,,,,,12.8
2018,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,,,,,13.8
2019,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,,,,,13.0
2020,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,,,,,15.0
2021,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,,|,,,14.6
2022,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,,,,,15.4
2023,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,,,,,16.3
2024,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,,|,,,17.4
2010,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,female,.,,,
2011,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,female,.,,,
2012,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,female,,,,22.0
2013,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,female,|,,,21.7
2014,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,female,,,,22.2
2015,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,female,,,,20.9
2016,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,female,,,,23.7
2017,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,female,,,,22.4
2018,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,female,,,,24.3
2019,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,female,,,,22.1
2020,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,female,,,,25.8
2021,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,female,|,,,24.8
2022,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,female,,,,26.1
2023,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,female,,,,27.3
2024,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,female,|,,,28.8
2010,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,male,.,,,
2011,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,male,.,,,
2012,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,male,,,,2.8
2013,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,male,|,,,2.8
2014,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,male,,,,3.2
2015,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,male,,,,3.1
2016,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,male,,,,3.6
2017,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,male,,,,3.4
2018,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,male,,,,3.7
2019,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,male,,,,4.1
2020,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,male,,,,4.5
2021,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,male,|,,,4.7
2022,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,male,,,,5.0
2023,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,male,,,,5.7
2024,"per 100,000 inhabitants",sexual harassment,21 to under 60 years,male,|,,,6.4
2010,"per 100,000 inhabitants",sexual harassment,60 years and older,,.,,,
2011,"per 100,000 inhabitants",sexual harassment,60 years and older,,.,,,
2012,"per 100,000 inhabitants",sexual harassment,60 years and older,,,,,3.2
2013,"per 100,000 inhabitants",sexual harassment,60 years and older,,|,,,3.4
2014,"per 100,000 inhabitants",sexual harassment,60 years and older,,,,,3.3
2015,"per 100,000 inhabitants",sexual harassment,60 years and older,,,,,3.5
2016,"per 100,000 inhabitants",sexual harassment,60 years and older,,,,,3.5
2017,"per 100,000 inhabitants",sexual harassment,60 years and older,,,,,3.3
2018,"per 100,000 inhabitants",sexual harassment,60 years and older,,,,,3.5
2019,"per 100,000 inhabitants",sexual harassment,60 years and older,,,,,3.2
2020,"per 100,000 inhabitants",sexual harassment,60 years and older,,,,,3.4
2021,"per 100,000 inhabitants",sexual harassment,60 years and older,,|,,,3.3
2022,"per 100,000 inhabitants",sexual harassment,60 years and older,,,,,3.2
2023,"per 100,000 inhabitants",sexual harassment,60 years and older,,,,,3.7
2024,"per 100,000 inhabitants",sexual harassment,60 years and older,,|,,,3.7
2010,"per 100,000 inhabitants",sexual harassment,60 years and older,female,.,,,
2011,"per 100,000 inhabitants",sexual harassment,60 years and older,female,.,,,
2012,"per 100,000 inhabitants",sexual harassment,60 years and older,female,,,,5.2
2013,"per 100,000 inhabitants",sexual harassment,60 years and older,female,|,,,5.5
2014,"per 100,000 inhabitants",sexual harassment,60 years and older,female,,,,5.2
2015,"per 100,000 inhabitants",sexual harassment,60 years and older,female,,,,5.4
2016,"per 100,000 inhabitants",sexual harassment,60 years and older,female,,,,5.6
2017,"per 100,000 inhabitants",sexual harassment,60 years and older,female,,,,5.2
2018,"per 100,000 inhabitants",sexual harassment,60 years and older,female,,,,5.4
2019,"per 100,000 inhabitants",sexual harassment,60 years and older,female,,,,5.1
2020,"per 100,000 inhabitants",sexual harassment,60 years and older,female,,,,5.2
2021,"per 100,000 inhabitants",sexual harassment,60 years and older,female,|,,,5.2
2022,"per 100,000 inhabitants",sexual harassment,60 years and older,female,,,,5.0
2023,"per 100,000 inhabitants",sexual harassment,60 years and older,female,,,,5.5
2024,"per 100,000 inhabitants",sexual harassment,60 years and older,female,|,,,5.5
2010,"per 100,000 inhabitants",sexual harassment,60 years and older,male,.,,,
2011,"per 100,000 inhabitants",sexual harassment,60 years and older,male,.,,,
2012,"per 100,000 inhabitants",sexual harassment,60 years and older,male,,,,0.8
2013,"per 100,000 inhabitants",sexual harassment,60 years and older,male,|,,,0.7
2014,"per 100,000 inhabitants",sexual harassment,60 years and older,male,,,,0.8
2015,"per 100,000 inhabitants",sexual harassment,60 years and older,male,,,,1.0
2016,"per 100,000 inhabitants",sexual harassment,60 years and older,male,,,,0.8
2017,"per 100,000 inhabitants",sexual harassment,60 years and older,male,,,,0.9
2018,"per 100,000 inhabitants",sexual harassment,60 years and older,male,,,,1.2
2019,"per 100,000 inhabitants",sexual harassment,60 years and older,male,,,,0.7
2020,"per 100,000 inhabitants",sexual harassment,60 years and older,male,,,,1.1
2021,"per 100,000 inhabitants",sexual harassment,60 years and older,male,|,,,0.9
2022,"per 100,000 inhabitants",sexual harassment,60 years and older,male,,,,1.0
2023,"per 100,000 inhabitants",sexual harassment,60 years and older,male,,,,1.5
2024,"per 100,000 inhabitants",sexual harassment,60 years and older,male,|,,,1.5
2010,number,non-sexual harassment,,,,,,28870.0
2011,number,non-sexual harassment,,,,,,26876.0
2012,number,non-sexual harassment,,,,,,26360.0
2013,number,non-sexual harassment,,,,,,25517.0
2014,number,non-sexual harassment,,,,,,23303.0
2015,number,non-sexual harassment,,,,,,21070.0
2016,number,non-sexual harassment,,,,,,19949.0
2017,number,non-sexual harassment,,,r,,,19750.0
2018,number,non-sexual harassment,,,r,,,20280.0
2019,number,non-sexual harassment,,,r,,,20204.0
2020,number,non-sexual harassment,,,r,,,20997.0
2021,number,non-sexual harassment,,,r,,,22091.0
2022,number,non-sexual harassment,,,r,,,23082.0
2023,number,non-sexual harassment,,,r,,,25138.0
2024,number,non-sexual harassment,,,,,,26703.0
2010,number,non-sexual harassment,,female,,,,22909.0
2011,number,non-sexual harassment,,female,,,,21414.0
2012,number,non-sexual harassment,,female,,,,21217.0
2013,number,non-sexual harassment,,female,,,,20455.0
2014,number,non-sexual harassment,,female,,,,18682.0
2015,number,non-sexual harassment,,female,,,,16941.0
2016,number,non-sexual harassment,,female,,,,16115.0
2017,number,non-sexual harassment,,female,r,,,15999.0
2018,number,non-sexual harassment,,female,r,,,16456.0
2019,number,non-sexual harassment,,female,r,,,16432.0
2020,number,non-sexual harassment,,female,r,,,16974.0
2021,number,non-sexual harassment,,female,r,,,17693.0
2022,number,non-sexual harassment,,female,r,,,18628.0
2023,number,non-sexual harassment,,female,r,,,20089.0
2024,number,non-sexual harassment,,female,,,,21382.0
2010,number,non-sexual harassment,,male,,,,5961.0
2011,number,non-sexual harassment,,male,,,,5462.0
2012,number,non-sexual harassment,,male,,,,5143.0
2013,number,non-sexual harassment,,male,,,,5062.0
2014,number,non-sexual harassment,,male,,,,4621.0
2015,number,non-sexual harassment,,male,,,,4129.0
2016,number,non-sexual harassment,,male,,,,3834.0
2017,number,non-sexual harassment,,male,r,,,3751.0
2018,number,non-sexual harassment,,male,r,,,3824.0
2019,number,non-sexual harassment,,male,r,,,3772.0
2020,number,non-sexual harassment,,male,r,,,4023.0
2021,number,non-sexual harassment,,male,r,,,4398.0
2022,number,non-sexual harassment,,male,r,,,4454.0
2023,number,non-sexual harassment,,male,r,,,5049.0
2024,number,non-sexual harassment,,male,,,,5321.0
2010,number,non-sexual harassment,13 years and younger,,,,,443.0
2011,number,non-sexual harassment,13 years and younger,,,,,416.0
2012,number,non-sexual harassment,13 years and younger,,,,,432.0
2013,number,non-sexual harassment,13 years and younger,,,,,427.0
2014,number,non-sexual harassment,13 years and younger,,,,,377.0
2015,number,non-sexual harassment,13 years and younger,,,,,343.0
2016,number,non-sexual harassment,13 years and younger,,,,,336.0
2017,number,non-sexual harassment,13 years and younger,,r,,,338.0
2018,number,non-sexual harassment,13 years and younger,,r,,,346.0
2019,number,non-sexual harassment,13 years and younger,,r,,,398.0
2020,number,non-sexual harassment,13 years and younger,,r,,,380.0
2021,number,non-sexual harassment,13 years and younger,,r,,,404.0
2022,number,non-sexual harassment,13 years and younger,,r,,,460.0
2023,number,non-sexual harassment,13 years and younger,,r,,,579.0
2024,number,non-sexual harassment,13 years and younger,,,,,681.0
2010,number,non-sexual harassment,13 years and younger,female,,,,272.0
2011,number,non-sexual harassment,13 years and younger,female,,,,263.0
2012,number,non-sexual harassment,13 years and younger,female,,,,310.0
2013,number,non-sexual harassment,13 years and younger,female,,,,273.0
2014,number,non-sexual harassment,13 years and younger,female,,,,260.0
2015,number,non-sexual harassment,13 years and younger,female,,,,221.0
2016,number,non-sexual harassment,13 years and younger,female,,,,221.0
2017,number,non-sexual harassment,13 years and younger,female,r,,,212.0
2018,number,non-sexual harassment,13 years and younger,female,r,,,239.0
2019,number,non-sexual harassment,13 years and younger,female,r,,,241.0
2020,number,non-sexual harassment,13 years and younger,female,r,,,226.0
2021,number,non-sexual harassment,13 years and younger,female,r,,,264.0
2022,number,non-sexual harassment,13 years and younger,female,r,,,313.0
2023,number,non-sexual harassment,13 years and younger,female,r,,,353.0
2024,number,non-sexual harassment,13 years and younger,female,,,,404.0
2010,number,non-sexual harassment,13 years and younger,male,,,,171.0
2011,number,non-sexual harassment,13 years and younger,male,,,,153.0
2012,number,non-sexual harassment,13 years and younger,male,,,,122.0
2013,number,non-sexual harassment,13 years and younger,male,,,,154.0
2014,number,non-sexual harassment,13 years and younger,male,,,,117.0
2015,number,non-sexual harassment,13 years and younger,male,,,,122.0
2016,number,non-sexual harassment,13 years and younger,male,,,,115.0
2017,number,non-sexual harassment,13 years and younger,male,r,,,126.0
2018,number,non-sexual harassment,13 years and younger,male,r,,,107.0
2019,number,non-sexual harassment,13 years and younger,male,r,,,157.0
2020,number,non-sexual harassment,13 years and younger,male,r,,,154.0
2021,number,non-sexual harassment,13 years and younger,male,r,,,140.0
2022,number,non-sexual harassment,13 years and younger,male,r,,,147.0
2023,number,non-sexual harassment,13 years and younger,male,r,,,226.0
2024,number,non-sexual harassment,13 years and younger,male,,,,277.0
2010,number,non-sexual harassment,14 to under 18 years,,,,,1289.0
2011,number,non-sexual harassment,14 to under 18 years,,,,,1227.0
2012,number,non-sexual harassment,14 to under 18 years,,,,,1101.0
2013,number,non-sexual harassment,14 to under 18 years,,,,,1143.0
2014,number,non-sexual harassment,14 to under 18 years,,,,,1063.0
2015,number,non-sexual harassment,14 to under 18 years,,,,,817.0
2016,number,non-sexual harassment,14 to under 18 years,,,,,806.0
2017,number,non-sexual harassment,14 to under 18 years,,r,,,829.0
2018,number,non-sexual harassment,14 to under 18 years,,r,,,798.0
2019,number,non-sexual harassment,14 to under 18 years,,r,,,821.0
2020,number,non-sexual harassment,14 to under 18 years,,r,,,751.0
2021,number,non-sexual harassment,14 to under 18 years,,r,,,803.0
2022,number,non-sexual harassment,14 to under 18 years,,r,,,822.0
2023,number,non-sexual harassment,14 to under 18 years,,r,,,928.0
2024,number,non-sexual harassment,14 to under 18 years,,,,,1019.0
2010,number,non-sexual harassment,14 to under 18 years,female,,,,1132.0
2011,number,non-sexual harassment,14 to under 18 years,female,,,,1087.0
2012,number,non-sexual harassment,14 to under 18 years,female,,,,991.0
2013,number,non-sexual harassment,14 to under 18 years,female,,,,1015.0
2014,number,non-sexual harassment,14 to under 18 years,female,,,,943.0
2015,number,non-sexual harassment,14 to under 18 years,female,,,,716.0
2016,number,non-sexual harassment,14 to under 18 years,female,,,,710.0
2017,number,non-sexual harassment,14 to under 18 years,female,r,,,718.0
2018,number,non-sexual harassment,14 to under 18 years,female,r,,,724.0
2019,number,non-sexual harassment,14 to under 18 years,female,r,,,704.0
2020,number,non-sexual harassment,14 to under 18 years,female,r,,,624.0
2021,number,non-sexual harassment,14 to under 18 years,female,r,,,672.0
2022,number,non-sexual harassment,14 to under 18 years,female,r,,,686.0
2023,number,non-sexual harassment,14 to under 18 years,female,r,,,786.0
2024,number,non-sexual harassment,14 to under 18 years,female,,,,820.0
2010,number,non-sexual harassment,14 to under 18 years,male,,,,157.0
2011,number,non-sexual harassment,14 to under 18 years,male,,,,140.0
2012,number,non-sexual harassment,14 to under 18 years,male,,,,110.0
2013,number,non-sexual harassment,14 to under 18 years,male,,,,128.0
2014,number,non-sexual harassment,14 to under 18 years,male,,,,120.0
2015,number,non-sexual harassment,14 to under 18 years,male,,,,101.0
2016,number,non-sexual harassment,14 to under 18 years,male,,,,96.0
2017,number,non-sexual harassment,14 to under 18 years,male,r,,,111.0
2018,number,non-sexual harassment,14 to under 18 years,male,r,,,74.0
2019,number,non-sexual harassment,14 to under 18 years,male,r,,,117.0
2020,number,non-sexual harassment,14 to under 18 years,male,r,,,127.0
2021,number,non-sexual harassment,14 to under 18 years,male,r,,,131.0
2022,number,non-sexual harassment,14 to under 18 years,male,r,,,136.0
2023,number,non-sexual harassment,14 to under 18 years,male,r,,,142.0
2024,number,non-sexual harassment,14 to under 18 years,male,,,,199.0
2010,number,non-sexual harassment,18 to under 21 years,,,,,2467.0
2011,number,non-sexual harassment,18 to under 21 years,,,,,2202.0
2012,number,non-sexual harassment,18 to under 21 years,,,,,2036.0
2013,number,non-sexual harassment,18 to under 21 years,,,,,1769.0
2014,number,non-sexual harassment,18 to under 21 years,,,,,1654.0
2015,number,non-sexual harassment,18 to under 21 years,,,,,1402.0
2016,number,non-sexual harassment,18 to under 21 years,,,,,1253.0
2017,number,non-sexual harassment,18 to under 21 years,,r,,,1340.0
2018,number,non-sexual harassment,18 to under 21 years,,r,,,1462.0
2019,number,non-sexual harassment,18 to under 21 years,,r,,,1279.0
2020,number,non-sexual harassment,18 to under 21 years,,r,,,1385.0
2021,number,non-sexual harassment,18 to under 21 years,,r,,,1393.0
2022,number,non-sexual harassment,18 to under 21 years,,r,,,1321.0
2023,number,non-sexual harassment,18 to under 21 years,,r,,,1421.0
2024,number,non-sexual harassment,18 to under 21 years,,,,,1593.0
2010,number,non-sexual harassment,18 to under 21 years,female,,,,2185.0
2011,number,non-sexual harassment,18 to under 21 years,female,,,,1946.0
2012,number,non-sexual harassment,18 to under 21 years,female,,,,1804.0
2013,number,non-sexual harassment,18 to under 21 years,female,,,,1586.0
2014,number,non-sexual harassment,18 to under 21 years,female,,,,1477.0
2015,number,non-sexual harassment,18 to under 21 years,female,,,,1265.0
2016,number,non-sexual harassment,18 to under 21 years,female,,,,1136.0
2017,number,non-sexual harassment,18 to under 21 years,female,r,,,1214.0
2018,number,non-sexual harassment,18 to under 21 years,female,r,,,1298.0
2019,number,non-sexual harassment,18 to under 21 years,female,r,,,1149.0
2020,number,non-sexual harassment,18 to under 21 years,female,r,,,1252.0
2021,number,non-sexual harassment,18 to under 21 years,female,r,,,1226.0
2022,number,non-sexual harassment,18 to under 21 years,female,r,,,1174.0
2023,number,non-sexual harassment,18 to under 21 years,female,r,,,1223.0
2024,number,non-sexual harassment,18 to under 21 years,female,,,,1388.0
2010,number,non-sexual harassment,18 to under 21 years,male,,,,282.0
2011,number,non-sexual harassment,18 to under 21 years,male,,,,256.0
2012,number,non-sexual harassment,18 to under 21 years,male,,,,232.0
2013,number,non-sexual harassment,18 to under 21 years,male,,,,183.0
2014,number,non-sexual harassment,18 to under 21 years,male,,,,177.0
2015,number,non-sexual harassment,18 to under 21 years,male,,,,137.0
2016,number,non-sexual harassment,18 to under 21 years,male,,,,117.0
2017,number,non-sexual harassment,18 to under 21 years,male,r,,,126.0
2018,number,non-sexual harassment,18 to under 21 years,male,r,,,164.0
2019,number,non-sexual harassment,18 to under 21 years,male,r,,,130.0
2020,number,non-sexual harassment,18 to under 21 years,male,r,,,133.0
2021,number,non-sexual harassment,18 to under 21 years,male,r,,,167.0
2022,number,non-sexual harassment,18 to under 21 years,male,r,,,147.0
2023,number,non-sexual harassment,18 to under 21 years,male,r,,,198.0
2024,number,non-sexual harassment,18 to under 21 years,male,,,,205.0
2010,number,non-sexual harassment,21 to under 60 years,,,,,23019.0
2011,number,non-sexual harassment,21 to under 60 years,,,,,21536.0
2012,number,non-sexual harassment,21 to under 60 years,,,,,21296.0
2013,number,non-sexual harassment,21 to under 60 years,,,,,20738.0
2014,number,non-sexual harassment,21 to under 60 years,,,,,18814.0
2015,number,non-sexual harassment,21 to under 60 years,,,,,17239.0
2016,number,non-sexual harassment,21 to under 60 years,,,,,16303.0
2017,number,non-sexual harassment,21 to under 60 years,,r,,,16060.0
2018,number,non-sexual harassment,21 to under 60 years,,r,,,16423.0
2019,number,non-sexual harassment,21 to under 60 years,,r,,,16440.0
2020,number,non-sexual harassment,21 to under 60 years,,r,,,17193.0
2021,number,non-sexual harassment,21 to under 60 years,,r,,,18068.0
2022,number,non-sexual harassment,21 to under 60 years,,r,,,18925.0
2023,number,non-sexual harassment,21 to under 60 years,,r,,,20453.0
2024,number,non-sexual harassment,21 to under 60 years,,,,,21639.0
2010,number,non-sexual harassment,21 to under 60 years,female,,,,18342.0
2011,number,non-sexual harassment,21 to under 60 years,female,,,,17238.0
2012,number,non-sexual harassment,21 to under 60 years,female,,,,17207.0
2013,number,non-sexual harassment,21 to under 60 years,female,,,,16679.0
2014,number,non-sexual harassment,21 to under 60 years,female,,,,15118.0
2015,number,non-sexual harassment,21 to under 60 years,female,,,,13916.0
2016,number,non-sexual harassment,21 to under 60 years,female,,,,13260.0
2017,number,non-sexual harassment,21 to under 60 years,female,r,,,13064.0
2018,number,non-sexual harassment,21 to under 60 years,female,r,,,13403.0
2019,number,non-sexual harassment,21 to under 60 years,female,r,,,13504.0
2020,number,non-sexual harassment,21 to under 60 years,female,r,,,14027.0
2021,number,non-sexual harassment,21 to under 60 years,female,r,,,14625.0
2022,number,non-sexual harassment,21 to under 60 years,female,r,,,15432.0
2023,number,non-sexual harassment,21 to under 60 years,female,r,,,16583.0
2024,number,non-sexual harassment,21 to under 60 years,female,,,,17639.0
