Year,type of violence,sex,age group,type of physical violence,type of psychological violence,type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2017,(b) psychological violence,female,,,threat of violence online,,.,,,
2018,(b) psychological violence,female,,,threat of violence online,,.,,,
2019,(b) psychological violence,female,,,threat of violence online,,.,,,
2020,(b) psychological violence,female,,,threat of violence online,,,,,1.5
2021,(b) psychological violence,female,,,threat of violence online,,.,,,
2022,(b) psychological violence,female,,,threat of violence online,,.,,,
2023,(b) psychological violence,female,,,threat of violence online,,.,,,
2024,(b) psychological violence,female,,,threat of violence online,,,,,2.2
2010,(b) psychological violence,male,,,threat of violence online,,.,,,
2011,(b) psychological violence,male,,,threat of violence online,,.,,,
2012,(b) psychological violence,male,,,threat of violence online,,.,,,
2013,(b) psychological violence,male,,,threat of violence online,,.,,,
2014,(b) psychological violence,male,,,threat of violence online,,.,,,
2015,(b) psychological violence,male,,,threat of violence online,,.,,,
2016,(b) psychological violence,male,,,threat of violence online,,.,,,
2017,(b) psychological violence,male,,,threat of violence online,,.,,,
2018,(b) psychological violence,male,,,threat of violence online,,.,,,
2019,(b) psychological violence,male,,,threat of violence online,,.,,,
2020,(b) psychological violence,male,,,threat of violence online,,,,,1.7
2021,(b) psychological violence,male,,,threat of violence online,,.,,,
2022,(b) psychological violence,male,,,threat of violence online,,.,,,
2023,(b) psychological violence,male,,,threat of violence online,,.,,,
2024,(b) psychological violence,male,,,threat of violence online,,,,,3.6
2010,(c) sexual violence,,,,,,.,,,
2011,(c) sexual violence,,,,,,.,,,
2012,(c) sexual violence,,,,,,.,,,
2013,(c) sexual violence,,,,,,.,,,
2014,(c) sexual violence,,,,,,.,,,
2015,(c) sexual violence,,,,,,.,,,
2016,(c) sexual violence,,,,,,.,,,
2017,(c) sexual violence,,,,,,.,,,
2018,(c) sexual violence,,,,,,.,,,
2019,(c) sexual violence,,,,,,.,,,
2020,(c) sexual violence,,,,,,,,,2.1
2021,(c) sexual violence,,,,,,…,,,
2022,(c) sexual violence,,,,,,…,,,
2023,(c) sexual violence,,,,,,…,,,
2024,(c) sexual violence,,,,,,…,,,
2010,(c) sexual violence,female,,,,,.,,,
2011,(c) sexual violence,female,,,,,.,,,
2012,(c) sexual violence,female,,,,,.,,,
2013,(c) sexual violence,female,,,,,.,,,
2014,(c) sexual violence,female,,,,,.,,,
2015,(c) sexual violence,female,,,,,.,,,
2016,(c) sexual violence,female,,,,,.,,,
2017,(c) sexual violence,female,,,,,.,,,
2018,(c) sexual violence,female,,,,,.,,,
2019,(c) sexual violence,female,,,,,.,,,
2020,(c) sexual violence,female,,,,,,,,3.6
2021,(c) sexual violence,female,,,,,…,,,
2022,(c) sexual violence,female,,,,,…,,,
2023,(c) sexual violence,female,,,,,…,,,
2024,(c) sexual violence,female,,,,,…,,,
2010,(c) sexual violence,male,,,,,.,,,
2011,(c) sexual violence,male,,,,,.,,,
2012,(c) sexual violence,male,,,,,.,,,
2013,(c) sexual violence,male,,,,,.,,,
2014,(c) sexual violence,male,,,,,.,,,
2015,(c) sexual violence,male,,,,,.,,,
2016,(c) sexual violence,male,,,,,.,,,
2017,(c) sexual violence,male,,,,,.,,,
2018,(c) sexual violence,male,,,,,.,,,
2019,(c) sexual violence,male,,,,,.,,,
2020,(c) sexual violence,male,,,,,,,,0.3
2021,(c) sexual violence,male,,,,,…,,,
2022,(c) sexual violence,male,,,,,…,,,
2023,(c) sexual violence,male,,,,,…,,,
2024,(c) sexual violence,male,,,,,…,,,
2010,(c) sexual violence,,16 to under 25 years,,,,.,,,
2011,(c) sexual violence,,16 to under 25 years,,,,.,,,
2012,(c) sexual violence,,16 to under 25 years,,,,.,,,
2013,(c) sexual violence,,16 to under 25 years,,,,.,,,
2014,(c) sexual violence,,16 to under 25 years,,,,.,,,
2015,(c) sexual violence,,16 to under 25 years,,,,.,,,
2016,(c) sexual violence,,16 to under 25 years,,,,.,,,
2017,(c) sexual violence,,16 to under 25 years,,,,.,,,
2018,(c) sexual violence,,16 to under 25 years,,,,.,,,
2019,(c) sexual violence,,16 to under 25 years,,,,.,,,
2020,(c) sexual violence,,16 to under 25 years,,,,,,,8.7
2021,(c) sexual violence,,16 to under 25 years,,,,…,,,
2022,(c) sexual violence,,16 to under 25 years,,,,…,,,
2023,(c) sexual violence,,16 to under 25 years,,,,…,,,
2024,(c) sexual violence,,16 to under 25 years,,,,…,,,
2010,(c) sexual violence,,25 to under 35 years,,,,.,,,
2011,(c) sexual violence,,25 to under 35 years,,,,.,,,
2012,(c) sexual violence,,25 to under 35 years,,,,.,,,
2013,(c) sexual violence,,25 to under 35 years,,,,.,,,
2014,(c) sexual violence,,25 to under 35 years,,,,.,,,
2015,(c) sexual violence,,25 to under 35 years,,,,.,,,
2016,(c) sexual violence,,25 to under 35 years,,,,.,,,
2017,(c) sexual violence,,25 to under 35 years,,,,.,,,
2018,(c) sexual violence,,25 to under 35 years,,,,.,,,
2019,(c) sexual violence,,25 to under 35 years,,,,.,,,
2020,(c) sexual violence,,25 to under 35 years,,,,,,,3.9
2021,(c) sexual violence,,25 to under 35 years,,,,…,,,
2022,(c) sexual violence,,25 to under 35 years,,,,…,,,
2023,(c) sexual violence,,25 to under 35 years,,,,…,,,
2024,(c) sexual violence,,25 to under 35 years,,,,…,,,
2010,(c) sexual violence,,35 to under 45 years,,,,.,,,
2011,(c) sexual violence,,35 to under 45 years,,,,.,,,
2012,(c) sexual violence,,35 to under 45 years,,,,.,,,
2013,(c) sexual violence,,35 to under 45 years,,,,.,,,
2014,(c) sexual violence,,35 to under 45 years,,,,.,,,
2015,(c) sexual violence,,35 to under 45 years,,,,.,,,
2016,(c) sexual violence,,35 to under 45 years,,,,.,,,
2017,(c) sexual violence,,35 to under 45 years,,,,.,,,
2018,(c) sexual violence,,35 to under 45 years,,,,.,,,
2019,(c) sexual violence,,35 to under 45 years,,,,.,,,
2020,(c) sexual violence,,35 to under 45 years,,,,,,,1.6
2021,(c) sexual violence,,35 to under 45 years,,,,…,,,
2022,(c) sexual violence,,35 to under 45 years,,,,…,,,
2023,(c) sexual violence,,35 to under 45 years,,,,…,,,
2024,(c) sexual violence,,35 to under 45 years,,,,…,,,
2010,(c) sexual violence,,45 to under 55 years,,,,.,,,
2011,(c) sexual violence,,45 to under 55 years,,,,.,,,
2012,(c) sexual violence,,45 to under 55 years,,,,.,,,
2013,(c) sexual violence,,45 to under 55 years,,,,.,,,
2014,(c) sexual violence,,45 to under 55 years,,,,.,,,
2015,(c) sexual violence,,45 to under 55 years,,,,.,,,
2016,(c) sexual violence,,45 to under 55 years,,,,.,,,
2017,(c) sexual violence,,45 to under 55 years,,,,.,,,
2018,(c) sexual violence,,45 to under 55 years,,,,.,,,
2019,(c) sexual violence,,45 to under 55 years,,,,.,,,
2020,(c) sexual violence,,45 to under 55 years,,,,,,,0.4
2021,(c) sexual violence,,45 to under 55 years,,,,…,,,
2022,(c) sexual violence,,45 to under 55 years,,,,…,,,
2023,(c) sexual violence,,45 to under 55 years,,,,…,,,
2024,(c) sexual violence,,45 to under 55 years,,,,…,,,
2010,(c) sexual violence,,55 to under 65 years,,,,.,,,
2011,(c) sexual violence,,55 to under 65 years,,,,.,,,
2012,(c) sexual violence,,55 to under 65 years,,,,.,,,
2013,(c) sexual violence,,55 to under 65 years,,,,.,,,
2014,(c) sexual violence,,55 to under 65 years,,,,.,,,
2015,(c) sexual violence,,55 to under 65 years,,,,.,,,
2016,(c) sexual violence,,55 to under 65 years,,,,.,,,
2017,(c) sexual violence,,55 to under 65 years,,,,.,,,
2018,(c) sexual violence,,55 to under 65 years,,,,.,,,
2019,(c) sexual violence,,55 to under 65 years,,,,.,,,
2020,(c) sexual violence,,55 to under 65 years,,,,,,,0.3
2021,(c) sexual violence,,55 to under 65 years,,,,…,,,
2022,(c) sexual violence,,55 to under 65 years,,,,…,,,
2023,(c) sexual violence,,55 to under 65 years,,,,…,,,
2024,(c) sexual violence,,55 to under 65 years,,,,…,,,
2010,(c) sexual violence,,65 to under 75 years,,,,.,,,
2011,(c) sexual violence,,65 to under 75 years,,,,.,,,
2012,(c) sexual violence,,65 to under 75 years,,,,.,,,
2013,(c) sexual violence,,65 to under 75 years,,,,.,,,
2014,(c) sexual violence,,65 to under 75 years,,,,.,,,
2015,(c) sexual violence,,65 to under 75 years,,,,.,,,
2016,(c) sexual violence,,65 to under 75 years,,,,.,,,
2017,(c) sexual violence,,65 to under 75 years,,,,.,,,
2018,(c) sexual violence,,65 to under 75 years,,,,.,,,
2019,(c) sexual violence,,65 to under 75 years,,,,.,,,
2020,(c) sexual violence,,65 to under 75 years,,,,0,,,
2021,(c) sexual violence,,65 to under 75 years,,,,…,,,
2022,(c) sexual violence,,65 to under 75 years,,,,…,,,
2023,(c) sexual violence,,65 to under 75 years,,,,…,,,
2024,(c) sexual violence,,65 to under 75 years,,,,…,,,
2010,(c) sexual violence,,75 years and older,,,,.,,,
2011,(c) sexual violence,,75 years and older,,,,.,,,
2012,(c) sexual violence,,75 years and older,,,,.,,,
2013,(c) sexual violence,,75 years and older,,,,.,,,
2014,(c) sexual violence,,75 years and older,,,,.,,,
2015,(c) sexual violence,,75 years and older,,,,.,,,
2016,(c) sexual violence,,75 years and older,,,,.,,,
2017,(c) sexual violence,,75 years and older,,,,.,,,
2018,(c) sexual violence,,75 years and older,,,,.,,,
2019,(c) sexual violence,,75 years and older,,,,.,,,
2020,(c) sexual violence,,75 years and older,,,,0,,,
2021,(c) sexual violence,,75 years and older,,,,…,,,
2022,(c) sexual violence,,75 years and older,,,,…,,,
2023,(c) sexual violence,,75 years and older,,,,…,,,
2024,(c) sexual violence,,75 years and older,,,,…,,,
2010,(c) sexual violence,,,,,exposure of genitals,.,,,
2011,(c) sexual violence,,,,,exposure of genitals,.,,,
2012,(c) sexual violence,,,,,exposure of genitals,.,,,
2013,(c) sexual violence,,,,,exposure of genitals,.,,,
2014,(c) sexual violence,,,,,exposure of genitals,.,,,
2015,(c) sexual violence,,,,,exposure of genitals,.,,,
2016,(c) sexual violence,,,,,exposure of genitals,.,,,
2017,(c) sexual violence,,,,,exposure of genitals,.,,,
2018,(c) sexual violence,,,,,exposure of genitals,.,,,
2019,(c) sexual violence,,,,,exposure of genitals,.,,,
2020,(c) sexual violence,,,,,exposure of genitals,,,,2.3
2021,(c) sexual violence,,,,,exposure of genitals,,,,
2022,(c) sexual violence,,,,,exposure of genitals,,,,
2023,(c) sexual violence,,,,,exposure of genitals,,,,
2024,(c) sexual violence,,,,,exposure of genitals,,,,
2010,(c) sexual violence,female,,,,exposure of genitals,.,,,
2011,(c) sexual violence,female,,,,exposure of genitals,.,,,
2012,(c) sexual violence,female,,,,exposure of genitals,.,,,
2013,(c) sexual violence,female,,,,exposure of genitals,.,,,
2014,(c) sexual violence,female,,,,exposure of genitals,.,,,
2015,(c) sexual violence,female,,,,exposure of genitals,.,,,
2016,(c) sexual violence,female,,,,exposure of genitals,.,,,
2017,(c) sexual violence,female,,,,exposure of genitals,.,,,
2018,(c) sexual violence,female,,,,exposure of genitals,.,,,
2019,(c) sexual violence,female,,,,exposure of genitals,.,,,
2020,(c) sexual violence,female,,,,exposure of genitals,,,,3.4
2021,(c) sexual violence,female,,,,exposure of genitals,,,,
2022,(c) sexual violence,female,,,,exposure of genitals,,,,
2023,(c) sexual violence,female,,,,exposure of genitals,,,,
2024,(c) sexual violence,female,,,,exposure of genitals,,,,
2010,(c) sexual violence,male,,,,exposure of genitals,.,,,
2011,(c) sexual violence,male,,,,exposure of genitals,.,,,
2012,(c) sexual violence,male,,,,exposure of genitals,.,,,
2013,(c) sexual violence,male,,,,exposure of genitals,.,,,
2014,(c) sexual violence,male,,,,exposure of genitals,.,,,
2015,(c) sexual violence,male,,,,exposure of genitals,.,,,
2016,(c) sexual violence,male,,,,exposure of genitals,.,,,
2017,(c) sexual violence,male,,,,exposure of genitals,.,,,
2018,(c) sexual violence,male,,,,exposure of genitals,.,,,
2019,(c) sexual violence,male,,,,exposure of genitals,.,,,
2020,(c) sexual violence,male,,,,exposure of genitals,,,,1.0
2021,(c) sexual violence,male,,,,exposure of genitals,,,,
2022,(c) sexual violence,male,,,,exposure of genitals,,,,
2023,(c) sexual violence,male,,,,exposure of genitals,,,,
2024,(c) sexual violence,male,,,,exposure of genitals,,,,
2010,(c) sexual violence,,,,,physical sexual assault,.,,,
2011,(c) sexual violence,,,,,physical sexual assault,.,,,
2012,(c) sexual violence,,,,,physical sexual assault,.,,,
2013,(c) sexual violence,,,,,physical sexual assault,.,,,
2014,(c) sexual violence,,,,,physical sexual assault,.,,,
2015,(c) sexual violence,,,,,physical sexual assault,.,,,
2016,(c) sexual violence,,,,,physical sexual assault,.,,,
2017,(c) sexual violence,,,,,physical sexual assault,.,,,
2018,(c) sexual violence,,,,,physical sexual assault,.,,,
2019,(c) sexual violence,,,,,physical sexual assault,.,,,
2020,(c) sexual violence,,,,,physical sexual assault,,,,2.0
2021,(c) sexual violence,,,,,physical sexual assault,.,,,
2022,(c) sexual violence,,,,,physical sexual assault,.,,,
2023,(c) sexual violence,,,,,physical sexual assault,.,,,
2024,(c) sexual violence,,,,,physical sexual assault,,,,3.0
2010,(c) sexual violence,female,,,,physical sexual assault,.,,,
2011,(c) sexual violence,female,,,,physical sexual assault,.,,,
2012,(c) sexual violence,female,,,,physical sexual assault,.,,,
2013,(c) sexual violence,female,,,,physical sexual assault,.,,,
2014,(c) sexual violence,female,,,,physical sexual assault,.,,,
2015,(c) sexual violence,female,,,,physical sexual assault,.,,,
2016,(c) sexual violence,female,,,,physical sexual assault,.,,,
2017,(c) sexual violence,female,,,,physical sexual assault,.,,,
2018,(c) sexual violence,female,,,,physical sexual assault,.,,,
2019,(c) sexual violence,female,,,,physical sexual assault,.,,,
2020,(c) sexual violence,female,,,,physical sexual assault,,,,3.6
2021,(c) sexual violence,female,,,,physical sexual assault,.,,,
2022,(c) sexual violence,female,,,,physical sexual assault,.,,,
2023,(c) sexual violence,female,,,,physical sexual assault,.,,,
2024,(c) sexual violence,female,,,,physical sexual assault,,,,4.8
2010,(c) sexual violence,male,,,,physical sexual assault,.,,,
2011,(c) sexual violence,male,,,,physical sexual assault,.,,,
2012,(c) sexual violence,male,,,,physical sexual assault,.,,,
2013,(c) sexual violence,male,,,,physical sexual assault,.,,,
2014,(c) sexual violence,male,,,,physical sexual assault,.,,,
2015,(c) sexual violence,male,,,,physical sexual assault,.,,,
2016,(c) sexual violence,male,,,,physical sexual assault,.,,,
2017,(c) sexual violence,male,,,,physical sexual assault,.,,,
2018,(c) sexual violence,male,,,,physical sexual assault,.,,,
2019,(c) sexual violence,male,,,,physical sexual assault,.,,,
2020,(c) sexual violence,male,,,,physical sexual assault,,,,0.3
2021,(c) sexual violence,male,,,,physical sexual assault,.,,,
2022,(c) sexual violence,male,,,,physical sexual assault,.,,,
2023,(c) sexual violence,male,,,,physical sexual assault,.,,,
2024,(c) sexual violence,male,,,,physical sexual assault,,,,1.2
2010,(c) sexual violence,,,,,sexual abuse or rape,.,,,
2011,(c) sexual violence,,,,,sexual abuse or rape,.,,,
2012,(c) sexual violence,,,,,sexual abuse or rape,.,,,
2013,(c) sexual violence,,,,,sexual abuse or rape,.,,,
2014,(c) sexual violence,,,,,sexual abuse or rape,.,,,
2015,(c) sexual violence,,,,,sexual abuse or rape,.,,,
2016,(c) sexual violence,,,,,sexual abuse or rape,.,,,
2017,(c) sexual violence,,,,,sexual abuse or rape,.,,,
2018,(c) sexual violence,,,,,sexual abuse or rape,.,,,
2019,(c) sexual violence,,,,,sexual abuse or rape,.,,,
2020,(c) sexual violence,,,,,sexual abuse or rape,,,,0.3
2021,(c) sexual violence,,,,,sexual abuse or rape,.,,,
2022,(c) sexual violence,,,,,sexual abuse or rape,.,,,
2023,(c) sexual violence,,,,,sexual abuse or rape,.,,,
2024,(c) sexual violence,,,,,sexual abuse or rape,,,,0.4
2010,(c) sexual violence,female,,,,sexual abuse or rape,.,,,
2011,(c) sexual violence,female,,,,sexual abuse or rape,.,,,
2012,(c) sexual violence,female,,,,sexual abuse or rape,.,,,
2013,(c) sexual violence,female,,,,sexual abuse or rape,.,,,
2014,(c) sexual violence,female,,,,sexual abuse or rape,.,,,
2015,(c) sexual violence,female,,,,sexual abuse or rape,.,,,
2016,(c) sexual violence,female,,,,sexual abuse or rape,.,,,
2017,(c) sexual violence,female,,,,sexual abuse or rape,.,,,
2018,(c) sexual violence,female,,,,sexual abuse or rape,.,,,
2019,(c) sexual violence,female,,,,sexual abuse or rape,.,,,
2020,(c) sexual violence,female,,,,sexual abuse or rape,,,,0.3
2021,(c) sexual violence,female,,,,sexual abuse or rape,.,,,
2022,(c) sexual violence,female,,,,sexual abuse or rape,.,,,
2023,(c) sexual violence,female,,,,sexual abuse or rape,.,,,
2024,(c) sexual violence,female,,,,sexual abuse or rape,,,,0.6
2010,(c) sexual violence,male,,,,sexual abuse or rape,.,,,
2011,(c) sexual violence,male,,,,sexual abuse or rape,.,,,
2012,(c) sexual violence,male,,,,sexual abuse or rape,.,,,
2013,(c) sexual violence,male,,,,sexual abuse or rape,.,,,
2014,(c) sexual violence,male,,,,sexual abuse or rape,.,,,
2015,(c) sexual violence,male,,,,sexual abuse or rape,.,,,
2016,(c) sexual violence,male,,,,sexual abuse or rape,.,,,
2017,(c) sexual violence,male,,,,sexual abuse or rape,.,,,
2018,(c) sexual violence,male,,,,sexual abuse or rape,.,,,
2019,(c) sexual violence,male,,,,sexual abuse or rape,.,,,
2020,(c) sexual violence,male,,,,sexual abuse or rape,,,,0.1
2021,(c) sexual violence,male,,,,sexual abuse or rape,.,,,
2022,(c) sexual violence,male,,,,sexual abuse or rape,.,,,
2023,(c) sexual violence,male,,,,sexual abuse or rape,.,,,
2024,(c) sexual violence,male,,,,sexual abuse or rape,,,,0.1
