Year,Units,'time series ',type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2014,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2015,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2016,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2017,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2018,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2019,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2020,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2021,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2022,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2023,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2024,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2025,cumulative number,[b] germany as provider,commercial company,,,,(5) standard material transfer agreements (smtas),1
2026,cumulative number,[b] germany as provider,commercial company,p,,,(5) standard material transfer agreements (smtas),4
2007,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),42
2008,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),591
2009,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),1295
2010,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),2132
2011,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),3566
2012,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),5022
2013,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),6314
2014,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),7675
2015,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),9241
2016,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),10560
2017,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),11126
2018,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),11685
2019,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),12256
2020,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),12761
2021,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),13364
2022,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),13850
2023,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),14100
2024,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),14100
2025,cumulative number,[b] germany as provider,gene bank,,,,(5) standard material transfer agreements (smtas),14100
2026,cumulative number,[b] germany as provider,gene bank,p,,,(5) standard material transfer agreements (smtas),14100
2007,cumulative number,[b] germany as provider,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2008,cumulative number,[b] germany as provider,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2009,cumulative number,[b] germany as provider,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2010,cumulative number,[b] germany as provider,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2011,cumulative number,[b] germany as provider,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2012,cumulative number,[b] germany as provider,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2013,cumulative number,[b] germany as provider,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2014,cumulative number,[b] germany as provider,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2015,cumulative number,[b] germany as provider,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2016,cumulative number,[b] germany as provider,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),3
2017,cumulative number,[b] germany as provider,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),3
2018,cumulative number,[b] germany as provider,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),18
2019,cumulative number,[b] germany as provider,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),34
2020,cumulative number,[b] germany as provider,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),44
2021,cumulative number,[b] germany as provider,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),44
2022,cumulative number,[b] germany as provider,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),44
2023,cumulative number,[b] germany as provider,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),44
2024,cumulative number,[b] germany as provider,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),44
2025,cumulative number,[b] germany as provider,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),44
2026,cumulative number,[b] germany as provider,national agricultural research centre,p,,,(5) standard material transfer agreements (smtas),44
2007,cumulative number,[b] germany as provider,other,-,,,(5) standard material transfer agreements (smtas),0
2008,cumulative number,[b] germany as provider,other,-,,,(5) standard material transfer agreements (smtas),0
2009,cumulative number,[b] germany as provider,other,-,,,(5) standard material transfer agreements (smtas),0
2010,cumulative number,[b] germany as provider,other,-,,,(5) standard material transfer agreements (smtas),0
2011,cumulative number,[b] germany as provider,other,-,,,(5) standard material transfer agreements (smtas),0
2012,cumulative number,[b] germany as provider,other,-,,,(5) standard material transfer agreements (smtas),0
2013,cumulative number,[b] germany as provider,other,-,,,(5) standard material transfer agreements (smtas),0
2014,cumulative number,[b] germany as provider,other,-,,,(5) standard material transfer agreements (smtas),0
2015,cumulative number,[b] germany as provider,other,-,,,(5) standard material transfer agreements (smtas),0
2016,cumulative number,[b] germany as provider,other,,,,(5) standard material transfer agreements (smtas),4
2017,cumulative number,[b] germany as provider,other,,,,(5) standard material transfer agreements (smtas),6
2018,cumulative number,[b] germany as provider,other,,,,(5) standard material transfer agreements (smtas),6
2019,cumulative number,[b] germany as provider,other,,,,(5) standard material transfer agreements (smtas),6
2020,cumulative number,[b] germany as provider,other,,,,(5) standard material transfer agreements (smtas),6
2021,cumulative number,[b] germany as provider,other,,,,(5) standard material transfer agreements (smtas),6
2022,cumulative number,[b] germany as provider,other,,,,(5) standard material transfer agreements (smtas),6
2023,cumulative number,[b] germany as provider,other,,,,(5) standard material transfer agreements (smtas),6
2024,cumulative number,[b] germany as provider,other,,,,(5) standard material transfer agreements (smtas),6
2025,cumulative number,[b] germany as provider,other,,,,(5) standard material transfer agreements (smtas),6
2026,cumulative number,[b] germany as provider,other,p,,,(5) standard material transfer agreements (smtas),6
2007,cumulative number,[b] germany as provider,regional organization,-,,,(5) standard material transfer agreements (smtas),0
2008,cumulative number,[b] germany as provider,regional organization,-,,,(5) standard material transfer agreements (smtas),0
2009,cumulative number,[b] germany as provider,regional organization,-,,,(5) standard material transfer agreements (smtas),0
2010,cumulative number,[b] germany as provider,regional organization,-,,,(5) standard material transfer agreements (smtas),0
2011,cumulative number,[b] germany as provider,regional organization,-,,,(5) standard material transfer agreements (smtas),0
2012,cumulative number,[b] germany as provider,regional organization,-,,,(5) standard material transfer agreements (smtas),0
2013,cumulative number,[b] germany as provider,regional organization,-,,,(5) standard material transfer agreements (smtas),0
2014,cumulative number,[b] germany as provider,regional organization,-,,,(5) standard material transfer agreements (smtas),0
2015,cumulative number,[b] germany as provider,regional organization,-,,,(5) standard material transfer agreements (smtas),0
2016,cumulative number,[b] germany as provider,regional organization,-,,,(5) standard material transfer agreements (smtas),0
2017,cumulative number,[b] germany as provider,regional organization,-,,,(5) standard material transfer agreements (smtas),0
2018,cumulative number,[b] germany as provider,regional organization,-,,,(5) standard material transfer agreements (smtas),0
2019,cumulative number,[b] germany as provider,regional organization,-,,,(5) standard material transfer agreements (smtas),0
2020,cumulative number,[b] germany as provider,regional organization,,,,(5) standard material transfer agreements (smtas),1
2021,cumulative number,[b] germany as provider,regional organization,,,,(5) standard material transfer agreements (smtas),1
2022,cumulative number,[b] germany as provider,regional organization,,,,(5) standard material transfer agreements (smtas),1
2023,cumulative number,[b] germany as provider,regional organization,,,,(5) standard material transfer agreements (smtas),1
2024,cumulative number,[b] germany as provider,regional organization,,,,(5) standard material transfer agreements (smtas),1
2025,cumulative number,[b] germany as provider,regional organization,,,,(5) standard material transfer agreements (smtas),1
2026,cumulative number,[b] germany as provider,regional organization,p,,,(5) standard material transfer agreements (smtas),1
2007,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),0
2008,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),0
2009,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),0
2010,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),0
2011,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),0
2012,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),0
2013,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),0
2014,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),0
2015,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),0
2016,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),0
2017,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),0
2018,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),0
2019,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),0
2020,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),0
2021,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),0
2022,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),7
2023,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),25
2024,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),181
2025,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),338
2026,cumulative number,[b] germany as provider,increase project,,,,(5) standard material transfer agreements (smtas),455
