Year,Units,Zeitreihe,Geschlecht,Altersklasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Männlich,,.,,,
2014,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Männlich,,.,,,
2015,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Männlich,,.,,,
2016,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Männlich,,.,,,
2017,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Männlich,,.,,,
2018,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Männlich,,.,,,
2019,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Männlich,,.,,,
2020,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Männlich,,,,,1.1
2021,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Männlich,,…,,,
2022,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Männlich,,…,,,
2023,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Männlich,,…,,,
2010,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2011,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2012,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2013,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2014,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2015,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2016,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2017,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2018,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2019,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2020,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,16 bis unter 25 Jahre,,,,14.6
2021,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,16 bis unter 25 Jahre,…,,,
2022,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,16 bis unter 25 Jahre,…,,,
2023,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,16 bis unter 25 Jahre,…,,,
2010,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2011,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2012,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2013,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2014,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2015,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2016,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2017,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2018,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2019,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2020,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,25 bis unter 35 Jahre,,,,6.8
2021,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,25 bis unter 35 Jahre,…,,,
2022,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,25 bis unter 35 Jahre,…,,,
2023,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,25 bis unter 35 Jahre,…,,,
2010,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2011,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2012,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2013,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2014,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2015,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2016,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2017,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2018,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2019,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2020,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,35 bis unter 45 Jahre,,,,2.8
2021,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,35 bis unter 45 Jahre,…,,,
2022,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,35 bis unter 45 Jahre,…,,,
2023,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,35 bis unter 45 Jahre,…,,,
2010,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2011,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2012,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2013,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2014,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2015,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2016,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2017,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2018,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2019,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2020,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,45 bis unter 55 Jahre,,,,1.5
2021,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,45 bis unter 55 Jahre,…,,,
2022,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,45 bis unter 55 Jahre,…,,,
2023,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,45 bis unter 55 Jahre,…,,,
2010,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2011,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2012,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2013,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2014,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2015,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2016,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2017,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2018,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2019,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2020,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,55 bis unter 65 Jahre,,,,0.5
2021,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,55 bis unter 65 Jahre,…,,,
2022,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,55 bis unter 65 Jahre,…,,,
2023,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,55 bis unter 65 Jahre,…,,,
2010,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2011,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2012,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2013,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2014,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2015,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2016,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2017,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2018,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2019,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2020,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,65 bis unter 75 Jahre,,,,1.0
2021,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,65 bis unter 75 Jahre,…,,,
2022,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,65 bis unter 75 Jahre,…,,,
2023,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,65 bis unter 75 Jahre,…,,,
2010,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2011,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2012,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2013,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2014,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2015,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2016,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2017,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2018,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2019,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2020,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,75 Jahre und älter,,,,0.1
2021,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,75 Jahre und älter,…,,,
2022,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,75 Jahre und älter,…,,,
2023,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,75 Jahre und älter,…,,,
