Year,Units,Zeitreihe,Aufgabenbereich,Gerichtsebene,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2021,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,0.79
2022,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,0.8
2023,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,0.8
2024,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,…,,,
2025,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,…,,,
2026,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,…,,,
2010,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,0.59
2011,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,0.61
2012,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,0.63
2013,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,0.64
2014,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,0.66
2015,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,0.69
2016,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,0.71
2017,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,0.74
2018,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,0.75
2019,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,0.77
2020,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,0.79
2021,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,0.81
2022,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,0.83
2023,Keine Einheit,Justiz,,Übergeordnete Gerichte,,,,0.86
2024,Keine Einheit,Justiz,,Übergeordnete Gerichte,…,,,
2025,Keine Einheit,Justiz,,Übergeordnete Gerichte,…,,,
2026,Keine Einheit,Justiz,,Übergeordnete Gerichte,…,,,
2010,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,0.82
2011,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,0.83
2012,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,0.85
2013,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,0.88
2014,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,0.88
2015,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,0.93
2016,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,0.94
2017,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,0.96
2018,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,0.97
2019,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,0.98
2020,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,1.0
2021,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,1.02
2022,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,1.03
2023,Keine Einheit,Justiz,,Untergeordnete Gerichte,,,,1.05
2024,Keine Einheit,Justiz,,Untergeordnete Gerichte,…,,,
2025,Keine Einheit,Justiz,,Untergeordnete Gerichte,…,,,
2026,Keine Einheit,Justiz,,Untergeordnete Gerichte,…,,,
