Year,Units,Geschlecht,Altersklasse,Form der Ausbeutung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,Anzahl,Unbekannt,,Arbeitsausbeutung,,,,1.0
2019,Anzahl,Unbekannt,,Arbeitsausbeutung,,,,0.0
2020,Anzahl,Unbekannt,,Arbeitsausbeutung,,,,0.0
2021,Anzahl,Unbekannt,,Arbeitsausbeutung,,,,1.0
2022,Anzahl,Unbekannt,,Arbeitsausbeutung,,,,6.0
2023,Anzahl,Unbekannt,,Arbeitsausbeutung,,,,1.0
2024,Anzahl,Unbekannt,,Arbeitsausbeutung,,,,1.0
2010,Anzahl,,,Sexuelle Ausbeutung,,,,610.0
2011,Anzahl,,,Sexuelle Ausbeutung,,,,639.0
2012,Anzahl,,,Sexuelle Ausbeutung,,,,612.0
2013,Anzahl,,,Sexuelle Ausbeutung,,,,542.0
2014,Anzahl,,,Sexuelle Ausbeutung,,,,557.0
2015,Anzahl,,,Sexuelle Ausbeutung,,,,416.0
2016,Anzahl,,,Sexuelle Ausbeutung,,,,488.0
2017,Anzahl,,,Sexuelle Ausbeutung,,,,489.0
2018,Anzahl,,,Sexuelle Ausbeutung,,,,430.0
2019,Anzahl,,,Sexuelle Ausbeutung,,,,427.0
2020,Anzahl,,,Sexuelle Ausbeutung,,,,406.0
2021,Anzahl,,,Sexuelle Ausbeutung,,,,417.0
2022,Anzahl,,,Sexuelle Ausbeutung,,,,476.0
2023,Anzahl,,,Sexuelle Ausbeutung,r,,,428.0
2024,Anzahl,,,Sexuelle Ausbeutung,,,,465.0
2010,Anzahl,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,13.0
2011,Anzahl,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,13.0
2012,Anzahl,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,12.0
2013,Anzahl,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,9.0
2014,Anzahl,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,5.0
2015,Anzahl,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,6.0
2016,Anzahl,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,12.0
2017,Anzahl,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,16.0
2018,Anzahl,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,4.0
2019,Anzahl,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,5.0
2020,Anzahl,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,13.0
2021,Anzahl,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,1.0
2022,Anzahl,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,7.0
2023,Anzahl,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,1.0
2024,Anzahl,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,4.0
2010,Anzahl,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,79.0
2011,Anzahl,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,77.0
2012,Anzahl,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,88.0
2013,Anzahl,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,61.0
2014,Anzahl,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,52.0
2015,Anzahl,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,71.0
2016,Anzahl,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,84.0
2017,Anzahl,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,46.0
2018,Anzahl,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,64.0
2019,Anzahl,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,56.0
2020,Anzahl,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,66.0
2021,Anzahl,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,53.0
2022,Anzahl,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,49.0
2023,Anzahl,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,r,,,65.0
2024,Anzahl,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,44.0
2010,Anzahl,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,254.0
2011,Anzahl,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,268.0
2012,Anzahl,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,223.0
2013,Anzahl,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,209.0
2014,Anzahl,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,209.0
2015,Anzahl,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,148.0
2016,Anzahl,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,118.0
2017,Anzahl,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,157.0
2018,Anzahl,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,130.0
2019,Anzahl,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,76.0
2020,Anzahl,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,88.0
2021,Anzahl,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,77.0
2022,Anzahl,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,96.0
2023,Anzahl,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,r,,,68.0
2024,Anzahl,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,78.0
2010,Anzahl,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,127.0
2011,Anzahl,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,135.0
2012,Anzahl,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,123.0
2013,Anzahl,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,111.0
2014,Anzahl,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,115.0
2015,Anzahl,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,68.0
2016,Anzahl,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,109.0
2017,Anzahl,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,110.0
2018,Anzahl,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,93.0
2019,Anzahl,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,79.0
2020,Anzahl,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,78.0
2021,Anzahl,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,83.0
2022,Anzahl,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,91.0
2023,Anzahl,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,78.0
2024,Anzahl,,21 bis unter 25 Jahre,Sexuelle Ausbeutung,,,,65.0
2010,Anzahl,,25 Jahre und älter,Sexuelle Ausbeutung,,,,129.0
2011,Anzahl,,25 Jahre und älter,Sexuelle Ausbeutung,,,,133.0
2012,Anzahl,,25 Jahre und älter,Sexuelle Ausbeutung,,,,156.0
2013,Anzahl,,25 Jahre und älter,Sexuelle Ausbeutung,,,,142.0
2014,Anzahl,,25 Jahre und älter,Sexuelle Ausbeutung,,,,164.0
2015,Anzahl,,25 Jahre und älter,Sexuelle Ausbeutung,,,,98.0
2016,Anzahl,,25 Jahre und älter,Sexuelle Ausbeutung,,,,142.0
2017,Anzahl,,25 Jahre und älter,Sexuelle Ausbeutung,,,,149.0
2018,Anzahl,,25 Jahre und älter,Sexuelle Ausbeutung,,,,126.0
2019,Anzahl,,25 Jahre und älter,Sexuelle Ausbeutung,,,,205.0
2020,Anzahl,,25 Jahre und älter,Sexuelle Ausbeutung,,,,146.0
2021,Anzahl,,25 Jahre und älter,Sexuelle Ausbeutung,,,,181.0
2022,Anzahl,,25 Jahre und älter,Sexuelle Ausbeutung,,,,223.0
2023,Anzahl,,25 Jahre und älter,Sexuelle Ausbeutung,r,,,196.0
2024,Anzahl,,25 Jahre und älter,Sexuelle Ausbeutung,,,,254.0
2010,Anzahl,,Alter unbekannt,Sexuelle Ausbeutung,,,,8.0
2011,Anzahl,,Alter unbekannt,Sexuelle Ausbeutung,,,,13.0
2012,Anzahl,,Alter unbekannt,Sexuelle Ausbeutung,,,,10.0
2013,Anzahl,,Alter unbekannt,Sexuelle Ausbeutung,,,,10.0
2014,Anzahl,,Alter unbekannt,Sexuelle Ausbeutung,,,,12.0
2015,Anzahl,,Alter unbekannt,Sexuelle Ausbeutung,,,,25.0
2016,Anzahl,,Alter unbekannt,Sexuelle Ausbeutung,,,,23.0
2017,Anzahl,,Alter unbekannt,Sexuelle Ausbeutung,,,,11.0
2018,Anzahl,,Alter unbekannt,Sexuelle Ausbeutung,,,,13.0
2019,Anzahl,,Alter unbekannt,Sexuelle Ausbeutung,,,,6.0
2020,Anzahl,,Alter unbekannt,Sexuelle Ausbeutung,,,,15.0
2021,Anzahl,,Alter unbekannt,Sexuelle Ausbeutung,,,,22.0
2022,Anzahl,,Alter unbekannt,Sexuelle Ausbeutung,,,,10.0
2023,Anzahl,,Alter unbekannt,Sexuelle Ausbeutung,,,,20.0
2024,Anzahl,,Alter unbekannt,Sexuelle Ausbeutung,,,,20.0
2010,Anzahl,Weiblich,,Sexuelle Ausbeutung,,,,588.0
2011,Anzahl,Weiblich,,Sexuelle Ausbeutung,,,,599.0
2012,Anzahl,Weiblich,,Sexuelle Ausbeutung,,,,590.0
2013,Anzahl,Weiblich,,Sexuelle Ausbeutung,,,,518.0
2014,Anzahl,Weiblich,,Sexuelle Ausbeutung,,,,531.0
2015,Anzahl,Weiblich,,Sexuelle Ausbeutung,,,,399.0
2016,Anzahl,Weiblich,,Sexuelle Ausbeutung,,,,466.0
2017,Anzahl,Weiblich,,Sexuelle Ausbeutung,,,,484.0
2018,Anzahl,Weiblich,,Sexuelle Ausbeutung,,,,413.0
2019,Anzahl,Weiblich,,Sexuelle Ausbeutung,,,,405.0
2020,Anzahl,Weiblich,,Sexuelle Ausbeutung,,,,381.0
2021,Anzahl,Weiblich,,Sexuelle Ausbeutung,,,,387.0
2022,Anzahl,Weiblich,,Sexuelle Ausbeutung,,,,453.0
2023,Anzahl,Weiblich,,Sexuelle Ausbeutung,r,,,407.0
2024,Anzahl,Weiblich,,Sexuelle Ausbeutung,,,,449.0
2010,Anzahl,Männlich,,Sexuelle Ausbeutung,,,,17.0
2011,Anzahl,Männlich,,Sexuelle Ausbeutung,,,,34.0
2012,Anzahl,Männlich,,Sexuelle Ausbeutung,,,,19.0
2013,Anzahl,Männlich,,Sexuelle Ausbeutung,,,,23.0
2014,Anzahl,Männlich,,Sexuelle Ausbeutung,,,,26.0
2015,Anzahl,Männlich,,Sexuelle Ausbeutung,,,,11.0
2016,Anzahl,Männlich,,Sexuelle Ausbeutung,,,,17.0
2017,Anzahl,Männlich,,Sexuelle Ausbeutung,,,,4.0
2018,Anzahl,Männlich,,Sexuelle Ausbeutung,,,,14.0
2019,Anzahl,Männlich,,Sexuelle Ausbeutung,,,,22.0
2020,Anzahl,Männlich,,Sexuelle Ausbeutung,,,,23.0
2021,Anzahl,Männlich,,Sexuelle Ausbeutung,,,,23.0
2022,Anzahl,Männlich,,Sexuelle Ausbeutung,,,,16.0
2023,Anzahl,Männlich,,Sexuelle Ausbeutung,,,,13.0
2024,Anzahl,Männlich,,Sexuelle Ausbeutung,,,,12.0
2010,Anzahl,Unbekannt,,Sexuelle Ausbeutung,,,,5.0
2011,Anzahl,Unbekannt,,Sexuelle Ausbeutung,,,,6.0
2012,Anzahl,Unbekannt,,Sexuelle Ausbeutung,,,,3.0
2013,Anzahl,Unbekannt,,Sexuelle Ausbeutung,,,,1.0
2014,Anzahl,Unbekannt,,Sexuelle Ausbeutung,,,,0.0
2015,Anzahl,Unbekannt,,Sexuelle Ausbeutung,,,,6.0
2016,Anzahl,Unbekannt,,Sexuelle Ausbeutung,,,,5.0
2017,Anzahl,Unbekannt,,Sexuelle Ausbeutung,,,,1.0
2018,Anzahl,Unbekannt,,Sexuelle Ausbeutung,,,,3.0
2019,Anzahl,Unbekannt,,Sexuelle Ausbeutung,,,,0.0
2020,Anzahl,Unbekannt,,Sexuelle Ausbeutung,,,,2.0
2021,Anzahl,Unbekannt,,Sexuelle Ausbeutung,,,,7.0
2022,Anzahl,Unbekannt,,Sexuelle Ausbeutung,,,,7.0
2023,Anzahl,Unbekannt,,Sexuelle Ausbeutung,,,,8.0
2024,Anzahl,Unbekannt,,Sexuelle Ausbeutung,,,,4.0
2010,Anzahl,Weiblich,,,,,,598.0
2011,Anzahl,Weiblich,,,,,,623.0
2012,Anzahl,Weiblich,,,,,,597.0
2013,Anzahl,Weiblich,,,,,,531.0
2014,Anzahl,Weiblich,,,,,,535.0
2015,Anzahl,Weiblich,,,,,,407.0
2016,Anzahl,Weiblich,,,,,,479.0
2017,Anzahl,Weiblich,,,,,,509.0
2018,Anzahl,Weiblich,,,,,,421.0
2019,Anzahl,Weiblich,,,,,,424.0
2020,Anzahl,Weiblich,,,,,,399.0
2021,Anzahl,Weiblich,,,,,,459.0
2022,Anzahl,Weiblich,,,,,,719.0
2023,Anzahl,Weiblich,,,,,,460.0
2024,Anzahl,Weiblich,,,,,,474.0
2010,Anzahl,Männlich,,,,,,48.0
2011,Anzahl,Männlich,,,,,,42.0
2012,Anzahl,Männlich,,,,,,24.0
2013,Anzahl,Männlich,,,,,,70.0
2014,Anzahl,Männlich,,,,,,48.0
2015,Anzahl,Männlich,,,,,,55.0
2016,Anzahl,Männlich,,,,,,51.0
2017,Anzahl,Männlich,,,,,,158.0
2018,Anzahl,Männlich,,,,,,68.0
2019,Anzahl,Männlich,,,,,,46.0
2020,Anzahl,Männlich,,,,,,78.0
2021,Anzahl,Männlich,,,,,,97.0
2022,Anzahl,Männlich,,,,,,763.0
2023,Anzahl,Männlich,,,,,,142.0
2024,Anzahl,Männlich,,,,,,157.0
