Year,Wirtschaftszweig,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2023,Kulturelle Dienstleistungen,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,56266.0
2021,Dienstleistungen des Sports und der Erholung,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,275068.0
2022,Dienstleistungen des Sports und der Erholung,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,286360.0
2023,Dienstleistungen des Sports und der Erholung,,,,<u>Zusätzliche Zeitreihe:</u> Beschäftigte,276102.0
2010,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2011,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2012,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2013,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2014,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2015,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2016,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2017,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2018,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2019,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2020,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,289724.0
2021,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,345255.0
2022,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,353567.0
2023,Beherbergung: Hotels und ähnliche Beherbergungsstätten,r,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,352522.0
2010,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2011,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2012,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2013,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2014,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2015,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2016,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2017,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2018,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2019,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2020,Beherbergung: Sonstige Beherbergungsstätten,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,270579.0
2021,Beherbergung: Sonstige Beherbergungsstätten,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,406427.0
2022,Beherbergung: Sonstige Beherbergungsstätten,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,377342.0
2023,Beherbergung: Sonstige Beherbergungsstätten,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,374218.0
2010,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2011,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2012,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2013,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2014,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2015,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2016,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2017,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2018,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2019,Gaststätten- und Getränkeausschank,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2020,Gaststätten- und Getränkeausschank,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,743998.0
2021,Gaststätten- und Getränkeausschank,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,1072961.0
2022,Gaststätten- und Getränkeausschank,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,925027.0
2023,Gaststätten- und Getränkeausschank,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,932114.0
2022,Personenbeförderung im Eisenbahnverkehr,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,23151.0
2023,Personenbeförderung im Eisenbahnverkehr,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,23326.0
2010,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2011,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2012,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2013,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2014,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2015,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2016,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2017,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2018,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2019,Personenbeförderung im Straßenverkehr,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2020,Personenbeförderung im Straßenverkehr,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,96528.0
2021,Personenbeförderung im Straßenverkehr,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,129574.0
2022,Personenbeförderung im Straßenverkehr,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,126403.0
2023,Personenbeförderung im Straßenverkehr,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,128524.0
2010,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2011,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2012,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2013,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2014,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2015,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2016,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2017,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2018,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2019,Personenbeförderung in der Schifffahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2020,Personenbeförderung in der Schifffahrt,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,6722.0
2021,Personenbeförderung in der Schifffahrt,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,7346.0
2022,Personenbeförderung in der Schifffahrt,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,7746.0
2023,Personenbeförderung in der Schifffahrt,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,7414.0
2010,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2011,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2012,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2013,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2014,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2015,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2016,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2017,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2018,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2019,Personenbeförderung in der Luftfahrt,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2020,Personenbeförderung in der Luftfahrt,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,45264.0
2021,Personenbeförderung in der Luftfahrt,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,45513.0
2022,Personenbeförderung in der Luftfahrt,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,44077.0
2023,Personenbeförderung in der Luftfahrt,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,47678.0
2010,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2011,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2012,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2013,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2014,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2015,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2016,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2017,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2018,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2019,Vermietung von Transportmitteln,.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2020,Vermietung von Transportmitteln,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,24773.0
2021,Vermietung von Transportmitteln,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,29873.0
2022,Vermietung von Transportmitteln,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,33751.0
2023,Vermietung von Transportmitteln,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,31106.0
2010,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2011,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2012,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2013,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2014,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2015,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2016,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2017,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2018,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2019,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,
2020,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,59091.0
2021,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,61658.0
2022,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,66304.0
2023,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,63200.0
2021,Kulturelle Dienstleistungen,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,40488.0
2022,Kulturelle Dienstleistungen,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,41359.0
2023,Kulturelle Dienstleistungen,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,43002.0
2021,Dienstleistungen des Sports und der Erholung,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,218932.0
2022,Dienstleistungen des Sports und der Erholung,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,193459.0
2023,Dienstleistungen des Sports und der Erholung,,,,<u>Zusätzliche Zeitreihe:</u> Vollzeitäquivalente,182289.0
