Year,Units,Art der Erkrankung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2017,DALYs,Schlaganfall,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",42271.0
2018,DALYs,Schlaganfall,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",47695.0
2019,DALYs,Schlaganfall,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",36242.0
2020,DALYs,Schlaganfall,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",31966.0
2021,DALYs,Schlaganfall,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",34077.0
2022,DALYs,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",31025.0
2023,DALYs,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",22952.0
2010,DALYs,Ischämische Herzerkrankungen,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",245246.0
2011,DALYs,Ischämische Herzerkrankungen,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",220119.0
2012,DALYs,Ischämische Herzerkrankungen,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",174295.0
2013,DALYs,Ischämische Herzerkrankungen,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",189410.0
2014,DALYs,Ischämische Herzerkrankungen,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",176540.0
2015,DALYs,Ischämische Herzerkrankungen,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",163375.0
2016,DALYs,Ischämische Herzerkrankungen,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",150936.0
2017,DALYs,Ischämische Herzerkrankungen,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",144459.0
2018,DALYs,Ischämische Herzerkrankungen,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",151706.0
2019,DALYs,Ischämische Herzerkrankungen,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",111394.0
2020,DALYs,Ischämische Herzerkrankungen,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",100090.0
2021,DALYs,Ischämische Herzerkrankungen,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",109710.0
2022,DALYs,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",97540.0
2023,DALYs,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",69579.0
2010,DALYs,Diabetes mellitus Typ 2,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",97239.0
2011,DALYs,Diabetes mellitus Typ 2,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",93768.0
2012,DALYs,Diabetes mellitus Typ 2,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",78938.0
2013,DALYs,Diabetes mellitus Typ 2,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",85888.0
2014,DALYs,Diabetes mellitus Typ 2,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",83176.0
2015,DALYs,Diabetes mellitus Typ 2,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",78038.0
2016,DALYs,Diabetes mellitus Typ 2,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",74198.0
2017,DALYs,Diabetes mellitus Typ 2,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",73386.0
2018,DALYs,Diabetes mellitus Typ 2,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",80493.0
2019,DALYs,Diabetes mellitus Typ 2,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",63085.0
2020,DALYs,Diabetes mellitus Typ 2,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",57967.0
2021,DALYs,Diabetes mellitus Typ 2,r,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",63823.0
2022,DALYs,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",54955.0
2023,DALYs,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",40689.0
2010,DALYs je 100 000 Einwohner/-innen,Chronisch obstruktive Lungenerkrankung (COPD),,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",107.9
2011,DALYs je 100 000 Einwohner/-innen,Chronisch obstruktive Lungenerkrankung (COPD),,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",104.2
2012,DALYs je 100 000 Einwohner/-innen,Chronisch obstruktive Lungenerkrankung (COPD),,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",78.8
2013,DALYs je 100 000 Einwohner/-innen,Chronisch obstruktive Lungenerkrankung (COPD),,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",92.1
2014,DALYs je 100 000 Einwohner/-innen,Chronisch obstruktive Lungenerkrankung (COPD),,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",86.5
2015,DALYs je 100 000 Einwohner/-innen,Chronisch obstruktive Lungenerkrankung (COPD),,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",82.3
2016,DALYs je 100 000 Einwohner/-innen,Chronisch obstruktive Lungenerkrankung (COPD),,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",77.1
2017,DALYs je 100 000 Einwohner/-innen,Chronisch obstruktive Lungenerkrankung (COPD),,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",77.0
2018,DALYs je 100 000 Einwohner/-innen,Chronisch obstruktive Lungenerkrankung (COPD),,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",82.1
2019,DALYs je 100 000 Einwohner/-innen,Chronisch obstruktive Lungenerkrankung (COPD),,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",61.0
2020,DALYs je 100 000 Einwohner/-innen,Chronisch obstruktive Lungenerkrankung (COPD),,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",50.9
2021,DALYs je 100 000 Einwohner/-innen,Chronisch obstruktive Lungenerkrankung (COPD),,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",55.8
2022,DALYs je 100 000 Einwohner/-innen,Chronisch obstruktive Lungenerkrankung (COPD),,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",52.9
2023,DALYs je 100 000 Einwohner/-innen,Chronisch obstruktive Lungenerkrankung (COPD),,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",39.3
2010,DALYs je 100 000 Einwohner/-innen,Lungenkrebs,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",152.9
2011,DALYs je 100 000 Einwohner/-innen,Lungenkrebs,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",151.0
2012,DALYs je 100 000 Einwohner/-innen,Lungenkrebs,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",116.9
2013,DALYs je 100 000 Einwohner/-innen,Lungenkrebs,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",128.9
2014,DALYs je 100 000 Einwohner/-innen,Lungenkrebs,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",125.6
2015,DALYs je 100 000 Einwohner/-innen,Lungenkrebs,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",110.2
2016,DALYs je 100 000 Einwohner/-innen,Lungenkrebs,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",106.0
2017,DALYs je 100 000 Einwohner/-innen,Lungenkrebs,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",98.2
2018,DALYs je 100 000 Einwohner/-innen,Lungenkrebs,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",101.6
2019,DALYs je 100 000 Einwohner/-innen,Lungenkrebs,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",68.5
2020,DALYs je 100 000 Einwohner/-innen,Lungenkrebs,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",59.7
2021,DALYs je 100 000 Einwohner/-innen,Lungenkrebs,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",65.6
2022,DALYs je 100 000 Einwohner/-innen,Lungenkrebs,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",57.4
2023,DALYs je 100 000 Einwohner/-innen,Lungenkrebs,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",41.1
2010,DALYs je 100 000 Einwohner/-innen,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",108.2
2011,DALYs je 100 000 Einwohner/-innen,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",103.1
2012,DALYs je 100 000 Einwohner/-innen,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",79.7
2013,DALYs je 100 000 Einwohner/-innen,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",86.5
2014,DALYs je 100 000 Einwohner/-innen,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",83.3
2015,DALYs je 100 000 Einwohner/-innen,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",74.8
2016,DALYs je 100 000 Einwohner/-innen,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",72.1
2017,DALYs je 100 000 Einwohner/-innen,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",67.3
2018,DALYs je 100 000 Einwohner/-innen,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",75.7
2019,DALYs je 100 000 Einwohner/-innen,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",57.4
2020,DALYs je 100 000 Einwohner/-innen,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",50.5
2021,DALYs je 100 000 Einwohner/-innen,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",53.9
2022,DALYs je 100 000 Einwohner/-innen,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",49.3
2023,DALYs je 100 000 Einwohner/-innen,Schlaganfall,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",36.2
2010,DALYs je 100 000 Einwohner/-innen,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",398.2
2011,DALYs je 100 000 Einwohner/-innen,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",363.5
2012,DALYs je 100 000 Einwohner/-innen,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",286.3
2013,DALYs je 100 000 Einwohner/-innen,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",309.3
2014,DALYs je 100 000 Einwohner/-innen,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",286.4
2015,DALYs je 100 000 Einwohner/-innen,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",262.7
2016,DALYs je 100 000 Einwohner/-innen,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",241.0
2017,DALYs je 100 000 Einwohner/-innen,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",229.9
2018,DALYs je 100 000 Einwohner/-innen,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",240.7
2019,DALYs je 100 000 Einwohner/-innen,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",176.3
2020,DALYs je 100 000 Einwohner/-innen,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",158.3
2021,DALYs je 100 000 Einwohner/-innen,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",173.4
2022,DALYs je 100 000 Einwohner/-innen,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",155.1
2023,DALYs je 100 000 Einwohner/-innen,Ischämische Herzerkrankungen,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",109.8
2010,DALYs je 100 000 Einwohner/-innen,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",157.9
2011,DALYs je 100 000 Einwohner/-innen,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",154.8
2012,DALYs je 100 000 Einwohner/-innen,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",129.7
2013,DALYs je 100 000 Einwohner/-innen,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",140.3
2014,DALYs je 100 000 Einwohner/-innen,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",134.9
2015,DALYs je 100 000 Einwohner/-innen,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",125.5
2016,DALYs je 100 000 Einwohner/-innen,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",118.5
2017,DALYs je 100 000 Einwohner/-innen,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",116.8
2018,DALYs je 100 000 Einwohner/-innen,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",127.7
2019,DALYs je 100 000 Einwohner/-innen,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",99.9
2020,DALYs je 100 000 Einwohner/-innen,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",91.7
2021,DALYs je 100 000 Einwohner/-innen,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",100.9
2022,DALYs je 100 000 Einwohner/-innen,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",87.4
2023,DALYs je 100 000 Einwohner/-innen,Diabetes mellitus Typ 2,,,,"DALYs infolge einer Langzeit-Exposition gegenüber Feinstaub (PM₂,₅) in der Bevölkerung ab 25 Jahren nach Art der Erkrankung",64.2
