Year,Units,Age group,Sex,Typ of victim-suspect relationship,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2017,Number,18 to under 21 years,Male,,,,,9.0
2018,Number,18 to under 21 years,Male,,,,,14.0
2019,Number,18 to under 21 years,Male,,,,,11.0
2020,Number,18 to under 21 years,Male,,,,,15.0
2021,Number,18 to under 21 years,Male,,,,,15.0
2022,Number,18 to under 21 years,Male,,,,,15.0
2023,Number,18 to under 21 years,Male,,,,,9.0
2024,Number,18 to under 21 years,Male,,,,,14.0
2010,Number,21 to under 60 years,Female,,,,,202.0
2011,Number,21 to under 60 years,Female,,,,,180.0
2012,Number,21 to under 60 years,Female,,,,,139.0
2013,Number,21 to under 60 years,Female,,,,,159.0
2014,Number,21 to under 60 years,Female,,,,,180.0
2015,Number,21 to under 60 years,Female,,,,,141.0
2016,Number,21 to under 60 years,Female,,,,,236.0
2017,Number,21 to under 60 years,Female,,,,,176.0
2018,Number,21 to under 60 years,Female,,,,,184.0
2019,Number,21 to under 60 years,Female,,,,,144.0
2020,Number,21 to under 60 years,Female,,,,,142.0
2021,Number,21 to under 60 years,Female,,,,,140.0
2022,Number,21 to under 60 years,Female,,,,,136.0
2023,Number,21 to under 60 years,Female,,,,,184.0
2024,Number,21 to under 60 years,Female,,,,,150.0
2010,Number,21 to under 60 years,Male,,,,,246.0
2011,Number,21 to under 60 years,Male,,,,,244.0
2012,Number,21 to under 60 years,Male,,,,,220.0
2013,Number,21 to under 60 years,Male,,,,,218.0
2014,Number,21 to under 60 years,Male,,,,,225.0
2015,Number,21 to under 60 years,Male,,,,,202.0
2016,Number,21 to under 60 years,Male,,,,,291.0
2017,Number,21 to under 60 years,Male,,,,,238.0
2018,Number,21 to under 60 years,Male,,,,,261.0
2019,Number,21 to under 60 years,Male,,,,,205.0
2020,Number,21 to under 60 years,Male,,,,,236.0
2021,Number,21 to under 60 years,Male,,,,,196.0
2022,Number,21 to under 60 years,Male,,,,,198.0
2023,Number,21 to under 60 years,Male,,,,,246.0
2024,Number,21 to under 60 years,Male,,,,,262.0
2010,Number,60 years and older,Female,,,,,121.0
2011,Number,60 years and older,Female,,,,,112.0
2012,Number,60 years and older,Female,,,,,108.0
2013,Number,60 years and older,Female,,,,,122.0
2014,Number,60 years and older,Female,,,,,121.0
2015,Number,60 years and older,Female,,,,,143.0
2016,Number,60 years and older,Female,,,,,163.0
2017,Number,60 years and older,Female,,,,,168.0
2018,Number,60 years and older,Female,,,,,133.0
2019,Number,60 years and older,Female,,,,,106.0
2020,Number,60 years and older,Female,,,,,162.0
2021,Number,60 years and older,Female,,,,,143.0
2022,Number,60 years and older,Female,,,,,166.0
2023,Number,60 years and older,Female,,,,,134.0
2024,Number,60 years and older,Female,,,,,148.0
2010,Number,60 years and older,Male,,,,,87.0
2011,Number,60 years and older,Male,,,,,73.0
2012,Number,60 years and older,Male,,,,,73.0
2013,Number,60 years and older,Male,,,,,90.0
2014,Number,60 years and older,Male,,,,,92.0
2015,Number,60 years and older,Male,,,,,102.0
2016,Number,60 years and older,Male,,,,,127.0
2017,Number,60 years and older,Male,,,,,144.0
2018,Number,60 years and older,Male,,,,,100.0
2019,Number,60 years and older,Male,,,,,95.0
2020,Number,60 years and older,Male,,,,,130.0
2021,Number,60 years and older,Male,,,,,100.0
2022,Number,60 years and older,Male,,,,,98.0
2023,Number,60 years and older,Male,,,,,99.0
2024,Number,60 years and older,Male,,,,,121.0
2010,Number,,,Intimate partner or family member,,,,343.0
2011,Number,,,Intimate partner or family member,,,,318.0
2012,Number,,,Intimate partner or family member,,,,287.0
2013,Number,,,Intimate partner or family member,,,,308.0
2014,Number,,,Intimate partner or family member,,,,340.0
2015,Number,,,Intimate partner or family member,,,,293.0
2016,Number,,,Intimate partner or family member,,,,325.0
2017,Number,,,Intimate partner or family member,,,,336.0
2018,Number,,,Intimate partner or family member,,,,310.0
2019,Number,,,Intimate partner or family member,,,,282.0
2020,Number,,,Intimate partner or family member,,,,332.0
2021,Number,,,Intimate partner or family member,,,,286.0
2022,Number,,,Intimate partner or family member,,,,271.0
2023,Number,,,Intimate partner or family member,,,,341.0
2024,Number,,,Intimate partner or family member,,,,304.0
2010,Number,,Female,Intimate partner or family member,,,,232.0
2011,Number,,Female,Intimate partner or family member,,,,228.0
2012,Number,,Female,Intimate partner or family member,,,,182.0
2013,Number,,Female,Intimate partner or family member,,,,224.0
2014,Number,,Female,Intimate partner or family member,,,,241.0
2015,Number,,Female,Intimate partner or family member,,,,210.0
2016,Number,,Female,Intimate partner or family member,,,,238.0
2017,Number,,Female,Intimate partner or family member,,,,231.0
2018,Number,,Female,Intimate partner or family member,,,,204.0
2019,Number,,Female,Intimate partner or family member,,,,187.0
2020,Number,,Female,Intimate partner or family member,,,,225.0
2021,Number,,Female,Intimate partner or family member,,,,207.0
2022,Number,,Female,Intimate partner or family member,,,,198.0
2023,Number,,Female,Intimate partner or family member,,,,253.0
2024,Number,,Female,Intimate partner or family member,,,,203.0
2010,Number,,Male,Intimate partner or family member,,,,111.0
2011,Number,,Male,Intimate partner or family member,,,,90.0
2012,Number,,Male,Intimate partner or family member,,,,105.0
2013,Number,,Male,Intimate partner or family member,,,,84.0
2014,Number,,Male,Intimate partner or family member,,,,99.0
2015,Number,,Male,Intimate partner or family member,,,,83.0
2016,Number,,Male,Intimate partner or family member,,,,87.0
2017,Number,,Male,Intimate partner or family member,,,,105.0
2018,Number,,Male,Intimate partner or family member,,,,106.0
2019,Number,,Male,Intimate partner or family member,,,,95.0
2020,Number,,Male,Intimate partner or family member,,,,107.0
2021,Number,,Male,Intimate partner or family member,,,,79.0
2022,Number,,Male,Intimate partner or family member,,,,73.0
2023,Number,,Male,Intimate partner or family member,,,,88.0
2024,Number,,Male,Intimate partner or family member,,,,101.0
2010,Number,,,Intimate partner,.,,,
2011,Number,,,Intimate partner,.,,,
2012,Number,,,Intimate partner,,,,133.0
2013,Number,,,Intimate partner,,,,175.0
2014,Number,,,Intimate partner,,,,197.0
2015,Number,,,Intimate partner,,,,163.0
2016,Number,,,Intimate partner,,,,181.0
2017,Number,,,Intimate partner,,,,189.0
2018,Number,,,Intimate partner,,,,155.0
2019,Number,,,Intimate partner,,,,156.0
2020,Number,,,Intimate partner,,,,177.0
2021,Number,,,Intimate partner,,,,135.0
2022,Number,,,Intimate partner,,,,158.0
2023,Number,,,Intimate partner,,,,183.0
2024,Number,,,Intimate partner,,,,164.0
2010,Number,,Female,Intimate partner,.,,,
2011,Number,,Female,Intimate partner,.,,,
2012,Number,,Female,Intimate partner,,,,113.0
2013,Number,,Female,Intimate partner,,,,146.0
2014,Number,,Female,Intimate partner,,,,167.0
2015,Number,,Female,Intimate partner,,,,139.0
2016,Number,,Female,Intimate partner,,,,164.0
2017,Number,,Female,Intimate partner,,,,153.0
2018,Number,,Female,Intimate partner,,,,127.0
2019,Number,,Female,Intimate partner,,,,123.0
2020,Number,,Female,Intimate partner,,,,146.0
2021,Number,,Female,Intimate partner,,,,121.0
2022,Number,,Female,Intimate partner,,,,137.0
2023,Number,,Female,Intimate partner,,,,159.0
2024,Number,,Female,Intimate partner,,,,138.0
2010,Number,,Male,Intimate partner,.,,,
2011,Number,,Male,Intimate partner,.,,,
2012,Number,,Male,Intimate partner,,,,20.0
2013,Number,,Male,Intimate partner,,,,29.0
2014,Number,,Male,Intimate partner,,,,30.0
2015,Number,,Male,Intimate partner,,,,24.0
2016,Number,,Male,Intimate partner,,,,17.0
2017,Number,,Male,Intimate partner,,,,36.0
2018,Number,,Male,Intimate partner,,,,28.0
2019,Number,,Male,Intimate partner,,,,33.0
2020,Number,,Male,Intimate partner,,,,31.0
2021,Number,,Male,Intimate partner,,,,14.0
2022,Number,,Male,Intimate partner,,,,21.0
2023,Number,,Male,Intimate partner,,,,24.0
2024,Number,,Male,Intimate partner,,,,26.0
2010,Number,,,Family member,.,,,
2011,Number,,,Family member,.,,,
2012,Number,,,Family member,,,,154.0
2013,Number,,,Family member,,,,133.0
2014,Number,,,Family member,,,,143.0
2015,Number,,,Family member,,,,130.0
2016,Number,,,Family member,,,,144.0
2017,Number,,,Family member,,,,147.0
2018,Number,,,Family member,,,,155.0
2019,Number,,,Family member,,,,126.0
2020,Number,,,Family member,,,,155.0
2021,Number,,,Family member,,,,151.0
2022,Number,,,Family member,,,,113.0
2023,Number,,,Family member,,,,158.0
2024,Number,,,Family member,,,,140.0
2010,Number,,Female,Family member,.,,,
2011,Number,,Female,Family member,.,,,
2012,Number,,Female,Family member,,,,69.0
2013,Number,,Female,Family member,,,,78.0
2014,Number,,Female,Family member,,,,74.0
2015,Number,,Female,Family member,,,,71.0
2016,Number,,Female,Family member,,,,74.0
2017,Number,,Female,Family member,,,,78.0
2018,Number,,Female,Family member,,,,77.0
2019,Number,,Female,Family member,,,,64.0
2020,Number,,Female,Family member,,,,79.0
2021,Number,,Female,Family member,,,,86.0
2022,Number,,Female,Family member,,,,61.0
2023,Number,,Female,Family member,,,,94.0
2024,Number,,Female,Family member,,,,65.0
2010,Number,,Male,Family member,.,,,
2011,Number,,Male,Family member,.,,,
2012,Number,,Male,Family member,,,,85.0
2013,Number,,Male,Family member,,,,55.0
2014,Number,,Male,Family member,,,,69.0
2015,Number,,Male,Family member,,,,59.0
2016,Number,,Male,Family member,,,,70.0
2017,Number,,Male,Family member,,,,69.0
2018,Number,,Male,Family member,,,,78.0
2019,Number,,Male,Family member,,,,62.0
2020,Number,,Male,Family member,,,,76.0
2021,Number,,Male,Family member,,,,65.0
2022,Number,,Male,Family member,,,,52.0
2023,Number,,Male,Family member,,,,64.0
2024,Number,,Male,Family member,,,,75.0
2010,Percentage,,,,0,,,0.00097
2011,Percentage,,,,0,,,0.00092
2012,Percentage,,,,0,,,0.00082
2013,Percentage,,,,0,,,0.00085
2014,Percentage,,,,0,,,0.00088
2015,Percentage,,,,0,,,0.00083
2016,Percentage,,,,0,,,0.00117
2017,Percentage,,,,0,,,0.00099
2018,Percentage,,,,0,,,0.00096
2019,Percentage,,,,0,,,0.00076
2020,Percentage,,,,0,,,0.00095
2021,Percentage,,,,0,,,0.00085
2022,Percentage,,,,0,,,0.00083
2023,Percentage,,,,0,,,0.00092
2024,Percentage,,,,0,,,0.00093
2010,Percentage,13 years and younger,,,0,,,0.00076
2011,Percentage,13 years and younger,,,0,,,0.0008
2012,Percentage,13 years and younger,,,0,,,0.00099
2013,Percentage,13 years and younger,,,0,,,0.00073
2014,Percentage,13 years and younger,,,0,,,0.00069
2015,Percentage,13 years and younger,,,0,,,0.00067
2016,Percentage,13 years and younger,,,0,,,0.00072
2017,Percentage,13 years and younger,,,0,,,0.0007
2018,Percentage,13 years and younger,,,0,,,0.00072
2019,Percentage,13 years and younger,,,0,,,0.00047
2020,Percentage,13 years and younger,,,0,,,0.00081
2021,Percentage,13 years and younger,,,0,,,0.00085
2022,Percentage,13 years and younger,,,0,,,0.00048
2023,Percentage,13 years and younger,,,0,,,0.00066
2024,Percentage,13 years and younger,,,0,,,0.00052
2010,Percentage,14 to under 18 years,,,0,,,0.00068
2011,Percentage,14 to under 18 years,,,0,,,0.00068
2012,Percentage,14 to under 18 years,,,0,,,0.00015
2013,Percentage,14 to under 18 years,,,0,,,0.0003
2014,Percentage,14 to under 18 years,,,0,,,0.00038
2015,Percentage,14 to under 18 years,,,0,,,0.00036
2016,Percentage,14 to under 18 years,,,0,,,0.0009
2017,Percentage,14 to under 18 years,,,0,,,0.00011
2018,Percentage,14 to under 18 years,,,0,,,0.00037
2019,Percentage,14 to under 18 years,,,0,,,0.0003
2020,Percentage,14 to under 18 years,,,0,,,0.00033
2021,Percentage,14 to under 18 years,,,0,,,0.00038
2022,Percentage,14 to under 18 years,,,0,,,0.00046
2023,Percentage,14 to under 18 years,,,0,,,0.00055
2024,Percentage,14 to under 18 years,,,0,,,0.00048
2010,Percentage,18 to under 21 years,,,0,,,0.00137
2011,Percentage,18 to under 21 years,,,0,,,0.00114
2012,Percentage,18 to under 21 years,,,0,,,0.00093
2013,Percentage,18 to under 21 years,,,0,,,0.00061
2014,Percentage,18 to under 21 years,,,0,,,0.00081
2015,Percentage,18 to under 21 years,,,0,,,0.0007
2016,Percentage,18 to under 21 years,,,0,,,0.00164
2017,Percentage,18 to under 21 years,,,0,,,0.00062
2018,Percentage,18 to under 21 years,,,0,,,0.00102
2019,Percentage,18 to under 21 years,,,0,,,0.00064
2020,Percentage,18 to under 21 years,,,0,,,0.00088
2021,Percentage,18 to under 21 years,,,0,,,0.00082
2022,Percentage,18 to under 21 years,,,0,,,0.00098
2023,Percentage,18 to under 21 years,,,0,,,0.00075
2024,Percentage,18 to under 21 years,,,0,,,0.00111
2010,Percentage,21 to under 60 years,,,0,,,0.00101
2011,Percentage,21 to under 60 years,,,0,,,0.00098
2012,Percentage,21 to under 60 years,,,0,,,0.00083
2013,Percentage,21 to under 60 years,,,0,,,0.00087
2014,Percentage,21 to under 60 years,,,0,,,0.00094
2015,Percentage,21 to under 60 years,,,0,,,0.00079
2016,Percentage,21 to under 60 years,,,0,,,0.00122
2017,Percentage,21 to under 60 years,,,0,,,0.00096
2018,Percentage,21 to under 60 years,,,0,,,0.00103
2019,Percentage,21 to under 60 years,,,0,,,0.00082
2020,Percentage,21 to under 60 years,,,0,,,0.00089
2021,Percentage,21 to under 60 years,,,0,,,0.0008
2022,Percentage,21 to under 60 years,,,0,,,0.00079
2023,Percentage,21 to under 60 years,,,0,,,0.00102
2024,Percentage,21 to under 60 years,,,0,,,0.00098
2010,Percentage,60 years and older,,,0,,,0.00097
2011,Percentage,60 years and older,,,0,,,0.00086
2012,Percentage,60 years and older,,,0,,,0.00083
2013,Percentage,60 years and older,,,0,,,0.00097
2014,Percentage,60 years and older,,,0,,,0.00096
2015,Percentage,60 years and older,,,0,,,0.00109
2016,Percentage,60 years and older,,,0,,,0.00128
2017,Percentage,60 years and older,,,0,,,0.00136
2018,Percentage,60 years and older,,,0,,,0.001
2019,Percentage,60 years and older,,,0,,,0.00085
2020,Percentage,60 years and older,,,0,,,0.00122
2021,Percentage,60 years and older,,,0,,,0.001
2022,Percentage,60 years and older,,,0,,,0.00108
2023,Percentage,60 years and older,,,0,,,0.00094
2024,Percentage,60 years and older,,,0,,,0.00106
2010,Percentage,,Female,,0,,,0.00094
2011,Percentage,,Female,,0,,,0.00082
2012,Percentage,,Female,,0,,,0.00072
2013,Percentage,,Female,,0,,,0.0008
2014,Percentage,,Female,,0,,,0.00082
2015,Percentage,,Female,,0,,,0.00079
2016,Percentage,,Female,,0,,,0.00113
2017,Percentage,,Female,,0,,,0.00091
2018,Percentage,,Female,,0,,,0.00088
2019,Percentage,,Female,,0,,,0.00066
2020,Percentage,,Female,,0,,,0.00086
2021,Percentage,,Female,,0,,,0.00081
2022,Percentage,,Female,,0,,,0.00083
2023,Percentage,,Female,,0,,,0.00089
2024,Percentage,,Female,,0,,,0.0008
2010,Percentage,,Male,,0,,,0.001
2011,Percentage,,Male,,0,,,0.00102
2012,Percentage,,Male,,0,,,0.00092
2013,Percentage,,Male,,0,,,0.0009
2014,Percentage,,Male,,0,,,0.00095
2015,Percentage,,Male,,0,,,0.00088
2016,Percentage,,Male,,0,,,0.00122
2017,Percentage,,Male,,0,,,0.00107
2018,Percentage,,Male,,0,,,0.00104
2019,Percentage,,Male,,0,,,0.00086
2020,Percentage,,Male,,0,,,0.00105
2021,Percentage,,Male,,0,,,0.00089
2022,Percentage,,Male,,0,,,0.00083
2023,Percentage,,Male,,0,,,0.00096
2024,Percentage,,Male,,0,,,0.00107
2010,Percentage,13 years and younger,Female,,0,,,0.00075
2011,Percentage,13 years and younger,Female,,0,,,0.00054
2012,Percentage,13 years and younger,Female,,0,,,0.00088
2013,Percentage,13 years and younger,Female,,0,,,0.00084
2014,Percentage,13 years and younger,Female,,0,,,0.00054
2015,Percentage,13 years and younger,Female,,0,,,0.00055
2016,Percentage,13 years and younger,Female,,0,,,0.00065
2017,Percentage,13 years and younger,Female,,0,,,0.0006
2018,Percentage,13 years and younger,Female,,0,,,0.00064
2019,Percentage,13 years and younger,Female,,0,,,0.00036
2020,Percentage,13 years and younger,Female,,0,,,0.0009
2021,Percentage,13 years and younger,Female,,0,,,0.0009
2022,Percentage,13 years and younger,Female,,0,,,0.00052
2023,Percentage,13 years and younger,Female,,0,,,0.00074
2024,Percentage,13 years and younger,Female,,0,,,0.00038
2010,Percentage,13 years and younger,Male,,0,,,0.00077
2011,Percentage,13 years and younger,Male,,0,,,0.00104
2012,Percentage,13 years and younger,Male,,0,,,0.00109
2013,Percentage,13 years and younger,Male,,0,,,0.00062
2014,Percentage,13 years and younger,Male,,0,,,0.00084
2015,Percentage,13 years and younger,Male,,0,,,0.00077
2016,Percentage,13 years and younger,Male,,0,,,0.00078
2017,Percentage,13 years and younger,Male,,0,,,0.00079
2018,Percentage,13 years and younger,Male,,0,,,0.00081
2019,Percentage,13 years and younger,Male,,0,,,0.00058
2020,Percentage,13 years and younger,Male,,0,,,0.00072
2021,Percentage,13 years and younger,Male,,0,,,0.0008
2022,Percentage,13 years and younger,Male,,0,,,0.00044
2023,Percentage,13 years and younger,Male,,0,,,0.00059
2024,Percentage,13 years and younger,Male,,0,,,0.00065
2010,Percentage,14 to under 18 years,Female,,0,,,0.00089
2011,Percentage,14 to under 18 years,Female,,0,,,0.00062
2012,Percentage,14 to under 18 years,Female,,‒,,,0.0
2013,Percentage,14 to under 18 years,Female,,0,,,0.00021
2014,Percentage,14 to under 18 years,Female,,0,,,0.00026
2015,Percentage,14 to under 18 years,Female,,0,,,0.00048
2016,Percentage,14 to under 18 years,Female,,0,,,0.00118
2017,Percentage,14 to under 18 years,Female,,0,,,0.0
2018,Percentage,14 to under 18 years,Female,,0,,,0.00044
2019,Percentage,14 to under 18 years,Female,,0,,,0.00022
2020,Percentage,14 to under 18 years,Female,,0,,,0.00022
2021,Percentage,14 to under 18 years,Female,,0,,,0.00039
2022,Percentage,14 to under 18 years,Female,,0,,,0.00082
2023,Percentage,14 to under 18 years,Female,,0,,,0.00054
2024,Percentage,14 to under 18 years,Female,,0,,,0.00047
2010,Percentage,14 to under 18 years,Male,,0,,,0.00048
2011,Percentage,14 to under 18 years,Male,,0,,,0.00074
2012,Percentage,14 to under 18 years,Male,,0,,,0.00029
2013,Percentage,14 to under 18 years,Male,,0,,,0.00039
2014,Percentage,14 to under 18 years,Male,,0,,,0.00049
2015,Percentage,14 to under 18 years,Male,,0,,,0.00025
2016,Percentage,14 to under 18 years,Male,,0,,,0.00065
2017,Percentage,14 to under 18 years,Male,,0,,,0.00015
2018,Percentage,14 to under 18 years,Male,,0,,,0.00031
2019,Percentage,14 to under 18 years,Male,,0,,,0.00037
2020,Percentage,14 to under 18 years,Male,,0,,,0.00042
2021,Percentage,14 to under 18 years,Male,,0,,,0.00037
2022,Percentage,14 to under 18 years,Male,,0,,,0.00013
2023,Percentage,14 to under 18 years,Male,,0,,,0.00056
2024,Percentage,14 to under 18 years,Male,,0,,,0.0005
2010,Percentage,18 to under 21 years,Female,,0,,,0.0014
2011,Percentage,18 to under 21 years,Female,,0,,,0.00081
2012,Percentage,18 to under 21 years,Female,,0,,,0.00083
2013,Percentage,18 to under 21 years,Female,,0,,,0.0005
2014,Percentage,18 to under 21 years,Female,,0,,,0.00075
2015,Percentage,18 to under 21 years,Female,,0,,,0.00073
2016,Percentage,18 to under 21 years,Female,,0,,,0.00145
2017,Percentage,18 to under 21 years,Female,,0,,,0.00057
2018,Percentage,18 to under 21 years,Female,,0,,,0.00099
2019,Percentage,18 to under 21 years,Female,,0,,,0.00042
2020,Percentage,18 to under 21 years,Female,,0,,,0.00052
2021,Percentage,18 to under 21 years,Female,,0,,,0.00036
2022,Percentage,18 to under 21 years,Female,,0,,,0.0007
2023,Percentage,18 to under 21 years,Female,,0,,,0.00078
2024,Percentage,18 to under 21 years,Female,,0,,,0.00111
2010,Percentage,18 to under 21 years,Male,,0,,,0.00133
2011,Percentage,18 to under 21 years,Male,,0,,,0.00146
2012,Percentage,18 to under 21 years,Male,,0,,,0.00102
2013,Percentage,18 to under 21 years,Male,,0,,,0.00072
2014,Percentage,18 to under 21 years,Male,,0,,,0.00087
2015,Percentage,18 to under 21 years,Male,,0,,,0.00066
2016,Percentage,18 to under 21 years,Male,,0,,,0.00182
2017,Percentage,18 to under 21 years,Male,,0,,,0.00066
2018,Percentage,18 to under 21 years,Male,,0,,,0.00105
2019,Percentage,18 to under 21 years,Male,,0,,,0.00085
2020,Percentage,18 to under 21 years,Male,,0,,,0.00121
2021,Percentage,18 to under 21 years,Male,,0,,,0.00125
2022,Percentage,18 to under 21 years,Male,,0,,,0.00124
2023,Percentage,18 to under 21 years,Male,,0,,,0.00072
2024,Percentage,18 to under 21 years,Male,,0,,,0.0011
2010,Percentage,21 to under 60 years,Female,,0,,,0.00093
2011,Percentage,21 to under 60 years,Female,,0,,,0.00084
2012,Percentage,21 to under 60 years,Female,,0,,,0.00065
2013,Percentage,21 to under 60 years,Female,,0,,,0.00074
2014,Percentage,21 to under 60 years,Female,,0,,,0.00084
2015,Percentage,21 to under 60 years,Female,,0,,,0.00066
2016,Percentage,21 to under 60 years,Female,,0,,,0.00111
2017,Percentage,21 to under 60 years,Female,,0,,,0.00083
2018,Percentage,21 to under 60 years,Female,,0,,,0.00087
2019,Percentage,21 to under 60 years,Female,,0,,,0.00069
2020,Percentage,21 to under 60 years,Female,,0,,,0.00068
2021,Percentage,21 to under 60 years,Female,,0,,,0.00068
2022,Percentage,21 to under 60 years,Female,,0,,,0.00066
2023,Percentage,21 to under 60 years,Female,,0,,,0.00089
2024,Percentage,21 to under 60 years,Female,,0,,,0.00073
2010,Percentage,21 to under 60 years,Male,,0,,,0.0011
2011,Percentage,21 to under 60 years,Male,,0,,,0.00112
2012,Percentage,21 to under 60 years,Male,,0,,,0.00101
2013,Percentage,21 to under 60 years,Male,,0,,,0.001
2014,Percentage,21 to under 60 years,Male,,0,,,0.00103
2015,Percentage,21 to under 60 years,Male,,0,,,0.00091
2016,Percentage,21 to under 60 years,Male,,0,,,0.00132
2017,Percentage,21 to under 60 years,Male,,0,,,0.00108
2018,Percentage,21 to under 60 years,Male,,0,,,0.00119
2019,Percentage,21 to under 60 years,Male,,0,,,0.00094
2020,Percentage,21 to under 60 years,Male,,0,,,0.0011
2021,Percentage,21 to under 60 years,Male,,0,,,0.00092
2022,Percentage,21 to under 60 years,Male,,0,,,0.00093
2023,Percentage,21 to under 60 years,Male,,0,,,0.00115
2024,Percentage,21 to under 60 years,Male,,0,,,0.00123
2010,Percentage,60 years and older,Female,,0,,,0.00101
2011,Percentage,60 years and older,Female,,0,,,0.00093
2012,Percentage,60 years and older,Female,,0,,,0.00089
2013,Percentage,60 years and older,Female,,0,,,0.001
2014,Percentage,60 years and older,Female,,0,,,0.00098
2015,Percentage,60 years and older,Female,,0,,,0.00115
2016,Percentage,60 years and older,Female,,0,,,0.0013
2017,Percentage,60 years and older,Female,,0,,,0.00133
2018,Percentage,60 years and older,Female,,0,,,0.00104
2019,Percentage,60 years and older,Female,,0,,,0.00082
2020,Percentage,60 years and older,Female,,0,,,0.00124
2021,Percentage,60 years and older,Female,,0,,,0.00108
2022,Percentage,60 years and older,Female,,0,,,0.00124
2023,Percentage,60 years and older,Female,,0,,,0.00099
2024,Percentage,60 years and older,Female,,0,,,0.00107
2010,Percentage,60 years and older,Male,,0,,,0.00093
2011,Percentage,60 years and older,Male,,0,,,0.00077
2012,Percentage,60 years and older,Male,,0,,,0.00076
2013,Percentage,60 years and older,Male,,0,,,0.00093
2014,Percentage,60 years and older,Male,,0,,,0.00093
2015,Percentage,60 years and older,Male,,0,,,0.00102
2016,Percentage,60 years and older,Male,,0,,,0.00125
2017,Percentage,60 years and older,Male,,0,,,0.0014
2018,Percentage,60 years and older,Male,,0,,,0.00096
2019,Percentage,60 years and older,Male,,0,,,0.00089
2020,Percentage,60 years and older,Male,,0,,,0.0012
2021,Percentage,60 years and older,Male,,0,,,0.00091
2022,Percentage,60 years and older,Male,,0,,,0.00089
2023,Percentage,60 years and older,Male,,0,,,0.00088
2024,Percentage,60 years and older,Male,,0,,,0.00105
