Year,Zeitreihe,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,,,,11.7
2024,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,,,,11.1
2025,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,5 Jahre und jünger,,,,,12.4
2010,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,.,,,
2011,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,.,,,
2012,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,.,,,
2013,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,.,,,
2014,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,.,,,
2015,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,,,,6.3
2016,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,,,,8.1
2017,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,,,,5.5
2018,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,,,,6.1
2019,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,,,,4.5
2020,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,|,,,9.2
2021,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,,,,10.6
2022,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,,,,10.7
2023,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,,,,10.8
2024,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,,,,10.6
2025,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,6 bis unter 12 Jahre,,,,,10.8
2010,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,.,,,
2011,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,.,,,
2012,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,.,,,
2013,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,.,,,
2014,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,.,,,
2015,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,,,,5.9
2016,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,,,,7.3
2017,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,,,,6.5
2018,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,,,,5.7
2019,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,,,,5.1
2020,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,|,,,9.0
2021,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,,,,9.2
2022,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,,,,10.0
2023,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,,,,9.9
2024,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,,,,10.0
2025,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,12 bis unter 18 Jahre,,,,,10.6
2010,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,.,,,
2011,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,.,,,
2012,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,.,,,
2013,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,.,,,
2014,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,.,,,
2015,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,,,,10.2
2016,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,,,,9.8
2017,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,,,,9.2
2018,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,,,,8.6
2019,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,,,,8.3
2020,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,|,,,8.0
2021,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,,,,9.1
2022,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,,,,9.5
2023,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,,,,9.7
2024,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,,,,9.8
2025,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,18 bis unter 65 Jahre,,,,,10.1
2010,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2011,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2012,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2013,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2014,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2015,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2016,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2017,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2018,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2019,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2020,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2021,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2022,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2023,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2024,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2025,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,65 Jahre und älter,,.,,,
2010,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,.,,,
2011,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,.,,,
2012,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,.,,,
2013,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,.,,,
2014,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,.,,,
2015,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,,,,9.7
2016,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,,,,10.0
2017,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,,,,8.9
2018,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,,,,8.4
2019,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,,,,8.0
2020,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,|,,,8.5
2021,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,,,,9.8
2022,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,,,,10.0
2023,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,,,,10.0
2024,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,,,,10.1
2025,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Weiblich,,,,10.6
2010,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,.,,,
2011,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,.,,,
2012,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,.,,,
2013,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,.,,,
2014,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,.,,,
2015,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,,,,9.2
2016,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,,,,8.9
2017,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,,,,8.4
2018,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,,,,7.6
2019,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,,,,7.1
2020,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,|,,,8.1
2021,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,,,,9.2
2022,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,,,,9.6
2023,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,,,,9.9
2024,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,,,,9.8
2025,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen,,Männlich,,,,10.1
2010,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,.,,,
2011,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,.,,,
2012,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,.,,,
2013,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,.,,,
2014,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,.,,,
2015,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,,5.7
2016,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,,4.7
2017,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,,3.7
2018,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,,3.4
2019,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,,3.0
2020,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,|,,,4.4
2021,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,,4.3
2022,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,,6.2
2023,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,,6.9
2024,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,,6.2
2025,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,,,,,5.6
2010,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,.,,,
2011,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,.,,,
2012,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,.,,,
2013,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,.,,,
2014,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,.,,,
2015,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,,,,8.1
2016,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,,,,6.2
2017,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,,,,3.9
2018,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,,,,3.8
2019,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,,,,3.2
2020,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,|,,,6.2
2021,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,,,,6.3
2022,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,,,,9.4
2023,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,,,,10.1
2024,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,,,,7.5
2025,Unter erheblicher materieller und sozialer Deprivation leidende Personen,5 Jahre und jünger,,,,,7.0
2010,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,.,,,
2011,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,.,,,
2012,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,.,,,
2013,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,.,,,
2014,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,.,,,
2015,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,,,,7.6
2016,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,,,,7.7
2017,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,,,,4.8
2018,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,,,,4.5
2019,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,,,,2.9
2020,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,|,,,6.4
2021,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,,,,5.6
2022,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,,,,8.6
2023,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,,,,9.0
2024,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,,,,7.0
2025,Unter erheblicher materieller und sozialer Deprivation leidende Personen,6 bis unter 12 Jahre,,,,,7.3
2010,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,.,,,
2011,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,.,,,
2012,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,.,,,
2013,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,.,,,
2014,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,.,,,
2015,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,,,,4.7
2016,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,,,,4.7
2017,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,,,,4.3
2018,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,,,,3.3
2019,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,,,,3.7
2020,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,|,,,5.0
2021,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,,,,4.5
2022,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,,,,7.6
2023,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,,,,7.8
2024,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,,,,7.6
2025,Unter erheblicher materieller und sozialer Deprivation leidende Personen,12 bis unter 18 Jahre,,,,,6.8
2010,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,.,,,
2011,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,.,,,
2012,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,.,,,
2013,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,.,,,
2014,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,.,,,
2015,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,,,,6.1
2016,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,,,,4.7
2017,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,,,,3.8
2018,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,,,,3.4
2019,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,,,,2.9
2020,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,|,,,4.6
2021,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,,,,4.6
2022,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,,,,6.4
2023,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,,,,7.2
2024,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,,,,6.5
2025,Unter erheblicher materieller und sozialer Deprivation leidende Personen,18 bis unter 65 Jahre,,,,,5.8
2010,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,.,,,
2011,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,.,,,
2012,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,.,,,
2013,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,.,,,
2014,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,.,,,
2015,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,,,,3.5
2016,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,,,,3.6
2017,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,,,,3.0
2018,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,,,,3.1
2019,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,,,,2.8
2020,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,|,,,2.5
2021,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,,,,2.7
2022,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,,,,3.6
2023,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,,,,4.4
2024,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,,,,4.3
2025,Unter erheblicher materieller und sozialer Deprivation leidende Personen,65 Jahre und älter,,,,,3.7
2010,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,.,,,
2011,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,.,,,
2012,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,.,,,
2013,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,.,,,
2014,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,.,,,
2015,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,,,,6.3
2016,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,,,,5.1
2017,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,,,,4.0
2018,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,,,,3.6
2019,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,,,,3.3
2020,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,|,,,4.4
2021,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,,,,4.3
2022,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,,,,6.1
2023,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,,,,6.8
2024,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,,,,6.1
2025,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Weiblich,,,,5.5
2010,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,.,,,
2011,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,.,,,
2012,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,.,,,
2013,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,.,,,
2014,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,.,,,
2015,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,,,,5.0
2016,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,,,,4.3
2017,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,,,,3.5
2018,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,,,,3.2
2019,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,,,,2.6
2020,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,|,,,4.3
2021,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,,,,4.4
2022,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,,,,6.3
2023,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,,,,7.0
2024,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,,,,6.3
2025,Unter erheblicher materieller und sozialer Deprivation leidende Personen,,Männlich,,,,5.6
