Year,Units,Altersklasse,Geschlecht,Art der Opfer-Tatverdächtigen-Beziehung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2014,Anzahl,60 Jahre und älter,,,,,,213.0
2015,Anzahl,60 Jahre und älter,,,,,,245.0
2016,Anzahl,60 Jahre und älter,,,,,,290.0
2017,Anzahl,60 Jahre und älter,,,,,,312.0
2018,Anzahl,60 Jahre und älter,,,,,,233.0
2019,Anzahl,60 Jahre und älter,,,,,,201.0
2020,Anzahl,60 Jahre und älter,,,,,,292.0
2021,Anzahl,60 Jahre und älter,,,,,,243.0
2022,Anzahl,60 Jahre und älter,,,,,,264.0
2023,Anzahl,60 Jahre und älter,,,,,,233.0
2024,Anzahl,60 Jahre und älter,,,,,,269.0
2010,Anzahl,,Weiblich,,,,,393.0
2011,Anzahl,,Weiblich,,,,,338.0
2012,Anzahl,,Weiblich,,,,,296.0
2013,Anzahl,,Weiblich,,,,,328.0
2014,Anzahl,,Weiblich,,,,,339.0
2015,Anzahl,,Weiblich,,,,,327.0
2016,Anzahl,,Weiblich,,,,,469.0
2017,Anzahl,,Weiblich,,,,,380.0
2018,Anzahl,,Weiblich,,,,,367.0
2019,Anzahl,,Weiblich,,,,,276.0
2020,Anzahl,,Weiblich,,,,,357.0
2021,Anzahl,,Weiblich,,,,,337.0
2022,Anzahl,,Weiblich,,,,,349.0
2023,Anzahl,,Weiblich,,,,,374.0
2024,Anzahl,,Weiblich,,,,,338.0
2010,Anzahl,,Männlich,,,,,400.0
2011,Anzahl,,Männlich,,,,,400.0
2012,Anzahl,,Männlich,,,,,363.0
2013,Anzahl,,Männlich,,,,,354.0
2014,Anzahl,,Männlich,,,,,377.0
2015,Anzahl,,Männlich,,,,,355.0
2016,Anzahl,,Männlich,,,,,494.0
2017,Anzahl,,Männlich,,,,,433.0
2018,Anzahl,,Männlich,,,,,421.0
2019,Anzahl,,Männlich,,,,,347.0
2020,Anzahl,,Männlich,,,,,425.0
2021,Anzahl,,Männlich,,,,,358.0
2022,Anzahl,,Männlich,,,,,337.0
2023,Anzahl,,Männlich,,,,,396.0
2024,Anzahl,,Männlich,,,,,441.0
2010,Anzahl,13 Jahre und jünger,Weiblich,,,,,37.0
2011,Anzahl,13 Jahre und jünger,Weiblich,,,,,24.0
2012,Anzahl,13 Jahre und jünger,Weiblich,,,,,39.0
2013,Anzahl,13 Jahre und jünger,Weiblich,,,,,37.0
2014,Anzahl,13 Jahre und jünger,Weiblich,,,,,24.0
2015,Anzahl,13 Jahre und jünger,Weiblich,,,,,25.0
2016,Anzahl,13 Jahre und jünger,Weiblich,,,,,30.0
2017,Anzahl,13 Jahre und jünger,Weiblich,,,,,28.0
2018,Anzahl,13 Jahre und jünger,Weiblich,,,,,30.0
2019,Anzahl,13 Jahre und jünger,Weiblich,,,,,17.0
2020,Anzahl,13 Jahre und jünger,Weiblich,,,,,43.0
2021,Anzahl,13 Jahre und jünger,Weiblich,,,,,43.0
2022,Anzahl,13 Jahre und jünger,Weiblich,,,,,27.0
2023,Anzahl,13 Jahre und jünger,Weiblich,,,,,39.0
2024,Anzahl,13 Jahre und jünger,Weiblich,,,,,20.0
2010,Anzahl,13 Jahre und jünger,Männlich,,,,,40.0
2011,Anzahl,13 Jahre und jünger,Männlich,,,,,49.0
2012,Anzahl,13 Jahre und jünger,Männlich,,,,,51.0
2013,Anzahl,13 Jahre und jünger,Männlich,,,,,29.0
2014,Anzahl,13 Jahre und jünger,Männlich,,,,,39.0
2015,Anzahl,13 Jahre und jünger,Männlich,,,,,37.0
2016,Anzahl,13 Jahre und jünger,Männlich,,,,,38.0
2017,Anzahl,13 Jahre und jünger,Männlich,,,,,39.0
2018,Anzahl,13 Jahre und jünger,Männlich,,,,,40.0
2019,Anzahl,13 Jahre und jünger,Männlich,,,,,29.0
2020,Anzahl,13 Jahre und jünger,Männlich,,,,,36.0
2021,Anzahl,13 Jahre und jünger,Männlich,,,,,40.0
2022,Anzahl,13 Jahre und jünger,Männlich,,,,,24.0
2023,Anzahl,13 Jahre und jünger,Männlich,,,,,33.0
2024,Anzahl,13 Jahre und jünger,Männlich,,,,,36.0
2010,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,14.0
2011,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,12.0
2012,Anzahl,14 bis unter 18 Jahre,Weiblich,,‒,,,0.0
2013,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,4.0
2014,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,5.0
2015,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,9.0
2016,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,22.0
2017,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,1.0
2018,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,8.0
2019,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,4.0
2020,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,4.0
2021,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,7.0
2022,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,12.0
2023,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,8.0
2024,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,7.0
2010,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,8.0
2011,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,15.0
2012,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,6.0
2013,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,8.0
2014,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,10.0
2015,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,5.0
2016,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,13.0
2017,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,3.0
2018,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,6.0
2019,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,7.0
2020,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,8.0
2021,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,7.0
2022,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,2.0
2023,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,9.0
2024,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,8.0
2010,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,19.0
2011,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,10.0
2012,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,10.0
2013,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,6.0
2014,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,9.0
2015,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,9.0
2016,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,18.0
2017,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,7.0
2018,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,12.0
2019,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,5.0
2020,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,6.0
2021,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,4.0
2022,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,8.0
2023,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,9.0
2024,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,13.0
2010,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,19.0
2011,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,19.0
2012,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,13.0
2013,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,9.0
2014,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,11.0
2015,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,9.0
2016,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,25.0
2017,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,9.0
2018,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,14.0
2019,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,11.0
2020,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,15.0
2021,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,15.0
2022,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,15.0
2023,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,9.0
2024,Anzahl,18 bis unter 21 Jahre,Männlich,,,,,14.0
2010,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,202.0
2011,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,180.0
2012,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,139.0
2013,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,159.0
2014,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,180.0
2015,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,141.0
2016,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,236.0
2017,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,176.0
2018,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,184.0
2019,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,144.0
2020,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,142.0
2021,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,140.0
2022,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,136.0
2023,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,184.0
2024,Anzahl,21 bis unter 60 Jahre,Weiblich,,,,,150.0
2010,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,246.0
2011,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,244.0
2012,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,220.0
2013,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,218.0
2014,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,225.0
2015,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,202.0
2016,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,291.0
2017,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,238.0
2018,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,261.0
2019,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,205.0
2020,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,236.0
2021,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,196.0
2022,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,198.0
2023,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,246.0
2024,Anzahl,21 bis unter 60 Jahre,Männlich,,,,,262.0
2010,Anzahl,60 Jahre und älter,Weiblich,,,,,121.0
2011,Anzahl,60 Jahre und älter,Weiblich,,,,,112.0
2012,Anzahl,60 Jahre und älter,Weiblich,,,,,108.0
2013,Anzahl,60 Jahre und älter,Weiblich,,,,,122.0
2014,Anzahl,60 Jahre und älter,Weiblich,,,,,121.0
2015,Anzahl,60 Jahre und älter,Weiblich,,,,,143.0
2016,Anzahl,60 Jahre und älter,Weiblich,,,,,163.0
2017,Anzahl,60 Jahre und älter,Weiblich,,,,,168.0
2018,Anzahl,60 Jahre und älter,Weiblich,,,,,133.0
2019,Anzahl,60 Jahre und älter,Weiblich,,,,,106.0
2020,Anzahl,60 Jahre und älter,Weiblich,,,,,162.0
2021,Anzahl,60 Jahre und älter,Weiblich,,,,,143.0
2022,Anzahl,60 Jahre und älter,Weiblich,,,,,166.0
2023,Anzahl,60 Jahre und älter,Weiblich,,,,,134.0
2024,Anzahl,60 Jahre und älter,Weiblich,,,,,148.0
2010,Anzahl,60 Jahre und älter,Männlich,,,,,87.0
2011,Anzahl,60 Jahre und älter,Männlich,,,,,73.0
2012,Anzahl,60 Jahre und älter,Männlich,,,,,73.0
2013,Anzahl,60 Jahre und älter,Männlich,,,,,90.0
2014,Anzahl,60 Jahre und älter,Männlich,,,,,92.0
2015,Anzahl,60 Jahre und älter,Männlich,,,,,102.0
2016,Anzahl,60 Jahre und älter,Männlich,,,,,127.0
2017,Anzahl,60 Jahre und älter,Männlich,,,,,144.0
2018,Anzahl,60 Jahre und älter,Männlich,,,,,100.0
2019,Anzahl,60 Jahre und älter,Männlich,,,,,95.0
2020,Anzahl,60 Jahre und älter,Männlich,,,,,130.0
2021,Anzahl,60 Jahre und älter,Männlich,,,,,100.0
2022,Anzahl,60 Jahre und älter,Männlich,,,,,98.0
2023,Anzahl,60 Jahre und älter,Männlich,,,,,99.0
2024,Anzahl,60 Jahre und älter,Männlich,,,,,121.0
2010,Anzahl,,,Intimpartner oder Familienmitglied,,,,343.0
2011,Anzahl,,,Intimpartner oder Familienmitglied,,,,318.0
2012,Anzahl,,,Intimpartner oder Familienmitglied,,,,287.0
2013,Anzahl,,,Intimpartner oder Familienmitglied,,,,308.0
2014,Anzahl,,,Intimpartner oder Familienmitglied,,,,340.0
2015,Anzahl,,,Intimpartner oder Familienmitglied,,,,293.0
2016,Anzahl,,,Intimpartner oder Familienmitglied,,,,325.0
2017,Anzahl,,,Intimpartner oder Familienmitglied,,,,336.0
2018,Anzahl,,,Intimpartner oder Familienmitglied,,,,310.0
2019,Anzahl,,,Intimpartner oder Familienmitglied,,,,282.0
2020,Anzahl,,,Intimpartner oder Familienmitglied,,,,332.0
2021,Anzahl,,,Intimpartner oder Familienmitglied,,,,286.0
2022,Anzahl,,,Intimpartner oder Familienmitglied,,,,271.0
2023,Anzahl,,,Intimpartner oder Familienmitglied,,,,341.0
2024,Anzahl,,,Intimpartner oder Familienmitglied,,,,304.0
2010,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,232.0
2011,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,228.0
2012,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,182.0
2013,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,224.0
2014,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,241.0
2015,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,210.0
2016,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,238.0
2017,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,231.0
2018,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,204.0
2019,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,187.0
2020,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,225.0
2021,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,207.0
2022,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,198.0
2023,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,253.0
2024,Anzahl,,Weiblich,Intimpartner oder Familienmitglied,,,,203.0
2010,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,111.0
2011,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,90.0
2012,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,105.0
2013,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,84.0
2014,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,99.0
2015,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,83.0
2016,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,87.0
2017,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,105.0
2018,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,106.0
2019,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,95.0
2020,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,107.0
2021,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,79.0
2022,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,73.0
2023,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,88.0
2024,Anzahl,,Männlich,Intimpartner oder Familienmitglied,,,,101.0
2010,Anzahl,,,Intimpartner,.,,,
2011,Anzahl,,,Intimpartner,.,,,
2012,Anzahl,,,Intimpartner,,,,133.0
2013,Anzahl,,,Intimpartner,,,,175.0
2014,Anzahl,,,Intimpartner,,,,197.0
2015,Anzahl,,,Intimpartner,,,,163.0
2016,Anzahl,,,Intimpartner,,,,181.0
2017,Anzahl,,,Intimpartner,,,,189.0
2018,Anzahl,,,Intimpartner,,,,155.0
2019,Anzahl,,,Intimpartner,,,,156.0
2020,Anzahl,,,Intimpartner,,,,177.0
2021,Anzahl,,,Intimpartner,,,,135.0
2022,Anzahl,,,Intimpartner,,,,158.0
2023,Anzahl,,,Intimpartner,,,,183.0
2024,Anzahl,,,Intimpartner,,,,164.0
2010,Anzahl,,Weiblich,Intimpartner,.,,,
2011,Anzahl,,Weiblich,Intimpartner,.,,,
2012,Anzahl,,Weiblich,Intimpartner,,,,113.0
2013,Anzahl,,Weiblich,Intimpartner,,,,146.0
2014,Anzahl,,Weiblich,Intimpartner,,,,167.0
2015,Anzahl,,Weiblich,Intimpartner,,,,139.0
2016,Anzahl,,Weiblich,Intimpartner,,,,164.0
2017,Anzahl,,Weiblich,Intimpartner,,,,153.0
2018,Anzahl,,Weiblich,Intimpartner,,,,127.0
2019,Anzahl,,Weiblich,Intimpartner,,,,123.0
2020,Anzahl,,Weiblich,Intimpartner,,,,146.0
2021,Anzahl,,Weiblich,Intimpartner,,,,121.0
2022,Anzahl,,Weiblich,Intimpartner,,,,137.0
2023,Anzahl,,Weiblich,Intimpartner,,,,159.0
2024,Anzahl,,Weiblich,Intimpartner,,,,138.0
2010,Anzahl,,Männlich,Intimpartner,.,,,
2011,Anzahl,,Männlich,Intimpartner,.,,,
2012,Anzahl,,Männlich,Intimpartner,,,,20.0
2013,Anzahl,,Männlich,Intimpartner,,,,29.0
2014,Anzahl,,Männlich,Intimpartner,,,,30.0
2015,Anzahl,,Männlich,Intimpartner,,,,24.0
2016,Anzahl,,Männlich,Intimpartner,,,,17.0
2017,Anzahl,,Männlich,Intimpartner,,,,36.0
2018,Anzahl,,Männlich,Intimpartner,,,,28.0
2019,Anzahl,,Männlich,Intimpartner,,,,33.0
2020,Anzahl,,Männlich,Intimpartner,,,,31.0
2021,Anzahl,,Männlich,Intimpartner,,,,14.0
2022,Anzahl,,Männlich,Intimpartner,,,,21.0
2023,Anzahl,,Männlich,Intimpartner,,,,24.0
2024,Anzahl,,Männlich,Intimpartner,,,,26.0
2010,Anzahl,,,Familienmitglied,.,,,
2011,Anzahl,,,Familienmitglied,.,,,
2012,Anzahl,,,Familienmitglied,,,,154.0
2013,Anzahl,,,Familienmitglied,,,,133.0
2014,Anzahl,,,Familienmitglied,,,,143.0
2015,Anzahl,,,Familienmitglied,,,,130.0
2016,Anzahl,,,Familienmitglied,,,,144.0
2017,Anzahl,,,Familienmitglied,,,,147.0
2018,Anzahl,,,Familienmitglied,,,,155.0
2019,Anzahl,,,Familienmitglied,,,,126.0
2020,Anzahl,,,Familienmitglied,,,,155.0
2021,Anzahl,,,Familienmitglied,,,,151.0
2022,Anzahl,,,Familienmitglied,,,,113.0
2023,Anzahl,,,Familienmitglied,,,,158.0
2024,Anzahl,,,Familienmitglied,,,,140.0
2010,Anzahl,,Weiblich,Familienmitglied,.,,,
2011,Anzahl,,Weiblich,Familienmitglied,.,,,
2012,Anzahl,,Weiblich,Familienmitglied,,,,69.0
2013,Anzahl,,Weiblich,Familienmitglied,,,,78.0
2014,Anzahl,,Weiblich,Familienmitglied,,,,74.0
2015,Anzahl,,Weiblich,Familienmitglied,,,,71.0
2016,Anzahl,,Weiblich,Familienmitglied,,,,74.0
2017,Anzahl,,Weiblich,Familienmitglied,,,,78.0
2018,Anzahl,,Weiblich,Familienmitglied,,,,77.0
2019,Anzahl,,Weiblich,Familienmitglied,,,,64.0
2020,Anzahl,,Weiblich,Familienmitglied,,,,79.0
2021,Anzahl,,Weiblich,Familienmitglied,,,,86.0
2022,Anzahl,,Weiblich,Familienmitglied,,,,61.0
2023,Anzahl,,Weiblich,Familienmitglied,,,,94.0
2024,Anzahl,,Weiblich,Familienmitglied,,,,65.0
2010,Anzahl,,Männlich,Familienmitglied,.,,,
2011,Anzahl,,Männlich,Familienmitglied,.,,,
2012,Anzahl,,Männlich,Familienmitglied,,,,85.0
2013,Anzahl,,Männlich,Familienmitglied,,,,55.0
2014,Anzahl,,Männlich,Familienmitglied,,,,69.0
2015,Anzahl,,Männlich,Familienmitglied,,,,59.0
2016,Anzahl,,Männlich,Familienmitglied,,,,70.0
2017,Anzahl,,Männlich,Familienmitglied,,,,69.0
2018,Anzahl,,Männlich,Familienmitglied,,,,78.0
2019,Anzahl,,Männlich,Familienmitglied,,,,62.0
2020,Anzahl,,Männlich,Familienmitglied,,,,76.0
2021,Anzahl,,Männlich,Familienmitglied,,,,65.0
2022,Anzahl,,Männlich,Familienmitglied,,,,52.0
2023,Anzahl,,Männlich,Familienmitglied,,,,64.0
2024,Anzahl,,Männlich,Familienmitglied,,,,75.0
2010,Prozent,,,,0,,,0.00097
2011,Prozent,,,,0,,,0.00092
2012,Prozent,,,,0,,,0.00082
2013,Prozent,,,,0,,,0.00085
2014,Prozent,,,,0,,,0.00088
2015,Prozent,,,,0,,,0.00083
2016,Prozent,,,,0,,,0.00117
2017,Prozent,,,,0,,,0.00099
2018,Prozent,,,,0,,,0.00096
2019,Prozent,,,,0,,,0.00076
2020,Prozent,,,,0,,,0.00095
2021,Prozent,,,,0,,,0.00085
2022,Prozent,,,,0,,,0.00083
2023,Prozent,,,,0,,,0.00092
2024,Prozent,,,,0,,,0.00093
2010,Prozent,13 Jahre und jünger,,,0,,,0.00076
2011,Prozent,13 Jahre und jünger,,,0,,,0.0008
2012,Prozent,13 Jahre und jünger,,,0,,,0.00099
2013,Prozent,13 Jahre und jünger,,,0,,,0.00073
2014,Prozent,13 Jahre und jünger,,,0,,,0.00069
2015,Prozent,13 Jahre und jünger,,,0,,,0.00067
2016,Prozent,13 Jahre und jünger,,,0,,,0.00072
2017,Prozent,13 Jahre und jünger,,,0,,,0.0007
2018,Prozent,13 Jahre und jünger,,,0,,,0.00072
2019,Prozent,13 Jahre und jünger,,,0,,,0.00047
2020,Prozent,13 Jahre und jünger,,,0,,,0.00081
2021,Prozent,13 Jahre und jünger,,,0,,,0.00085
2022,Prozent,13 Jahre und jünger,,,0,,,0.00048
2023,Prozent,13 Jahre und jünger,,,0,,,0.00066
2024,Prozent,13 Jahre und jünger,,,0,,,0.00052
2010,Prozent,14 bis unter 18 Jahre,,,0,,,0.00068
2011,Prozent,14 bis unter 18 Jahre,,,0,,,0.00068
2012,Prozent,14 bis unter 18 Jahre,,,0,,,0.00015
2013,Prozent,14 bis unter 18 Jahre,,,0,,,0.0003
2014,Prozent,14 bis unter 18 Jahre,,,0,,,0.00038
2015,Prozent,14 bis unter 18 Jahre,,,0,,,0.00036
2016,Prozent,14 bis unter 18 Jahre,,,0,,,0.0009
2017,Prozent,14 bis unter 18 Jahre,,,0,,,0.00011
2018,Prozent,14 bis unter 18 Jahre,,,0,,,0.00037
2019,Prozent,14 bis unter 18 Jahre,,,0,,,0.0003
2020,Prozent,14 bis unter 18 Jahre,,,0,,,0.00033
2021,Prozent,14 bis unter 18 Jahre,,,0,,,0.00038
2022,Prozent,14 bis unter 18 Jahre,,,0,,,0.00046
2023,Prozent,14 bis unter 18 Jahre,,,0,,,0.00055
2024,Prozent,14 bis unter 18 Jahre,,,0,,,0.00048
2010,Prozent,18 bis unter 21 Jahre,,,0,,,0.00137
2011,Prozent,18 bis unter 21 Jahre,,,0,,,0.00114
2012,Prozent,18 bis unter 21 Jahre,,,0,,,0.00093
2013,Prozent,18 bis unter 21 Jahre,,,0,,,0.00061
2014,Prozent,18 bis unter 21 Jahre,,,0,,,0.00081
2015,Prozent,18 bis unter 21 Jahre,,,0,,,0.0007
2016,Prozent,18 bis unter 21 Jahre,,,0,,,0.00164
2017,Prozent,18 bis unter 21 Jahre,,,0,,,0.00062
2018,Prozent,18 bis unter 21 Jahre,,,0,,,0.00102
2019,Prozent,18 bis unter 21 Jahre,,,0,,,0.00064
2020,Prozent,18 bis unter 21 Jahre,,,0,,,0.00088
2021,Prozent,18 bis unter 21 Jahre,,,0,,,0.00082
2022,Prozent,18 bis unter 21 Jahre,,,0,,,0.00098
2023,Prozent,18 bis unter 21 Jahre,,,0,,,0.00075
2024,Prozent,18 bis unter 21 Jahre,,,0,,,0.00111
2010,Prozent,21 bis unter 60 Jahre,,,0,,,0.00101
2011,Prozent,21 bis unter 60 Jahre,,,0,,,0.00098
2012,Prozent,21 bis unter 60 Jahre,,,0,,,0.00083
2013,Prozent,21 bis unter 60 Jahre,,,0,,,0.00087
2014,Prozent,21 bis unter 60 Jahre,,,0,,,0.00094
2015,Prozent,21 bis unter 60 Jahre,,,0,,,0.00079
2016,Prozent,21 bis unter 60 Jahre,,,0,,,0.00122
2017,Prozent,21 bis unter 60 Jahre,,,0,,,0.00096
2018,Prozent,21 bis unter 60 Jahre,,,0,,,0.00103
2019,Prozent,21 bis unter 60 Jahre,,,0,,,0.00082
2020,Prozent,21 bis unter 60 Jahre,,,0,,,0.00089
2021,Prozent,21 bis unter 60 Jahre,,,0,,,0.0008
2022,Prozent,21 bis unter 60 Jahre,,,0,,,0.00079
2023,Prozent,21 bis unter 60 Jahre,,,0,,,0.00102
2024,Prozent,21 bis unter 60 Jahre,,,0,,,0.00098
2010,Prozent,60 Jahre und älter,,,0,,,0.00097
2011,Prozent,60 Jahre und älter,,,0,,,0.00086
2012,Prozent,60 Jahre und älter,,,0,,,0.00083
2013,Prozent,60 Jahre und älter,,,0,,,0.00097
2014,Prozent,60 Jahre und älter,,,0,,,0.00096
2015,Prozent,60 Jahre und älter,,,0,,,0.00109
2016,Prozent,60 Jahre und älter,,,0,,,0.00128
2017,Prozent,60 Jahre und älter,,,0,,,0.00136
2018,Prozent,60 Jahre und älter,,,0,,,0.001
2019,Prozent,60 Jahre und älter,,,0,,,0.00085
2020,Prozent,60 Jahre und älter,,,0,,,0.00122
2021,Prozent,60 Jahre und älter,,,0,,,0.001
2022,Prozent,60 Jahre und älter,,,0,,,0.00108
2023,Prozent,60 Jahre und älter,,,0,,,0.00094
2024,Prozent,60 Jahre und älter,,,0,,,0.00106
2010,Prozent,,Weiblich,,0,,,0.00094
2011,Prozent,,Weiblich,,0,,,0.00082
2012,Prozent,,Weiblich,,0,,,0.00072
2013,Prozent,,Weiblich,,0,,,0.0008
2014,Prozent,,Weiblich,,0,,,0.00082
2015,Prozent,,Weiblich,,0,,,0.00079
2016,Prozent,,Weiblich,,0,,,0.00113
2017,Prozent,,Weiblich,,0,,,0.00091
2018,Prozent,,Weiblich,,0,,,0.00088
2019,Prozent,,Weiblich,,0,,,0.00066
2020,Prozent,,Weiblich,,0,,,0.00086
2021,Prozent,,Weiblich,,0,,,0.00081
2022,Prozent,,Weiblich,,0,,,0.00083
2023,Prozent,,Weiblich,,0,,,0.00089
2024,Prozent,,Weiblich,,0,,,0.0008
2010,Prozent,,Männlich,,0,,,0.001
2011,Prozent,,Männlich,,0,,,0.00102
2012,Prozent,,Männlich,,0,,,0.00092
2013,Prozent,,Männlich,,0,,,0.0009
2014,Prozent,,Männlich,,0,,,0.00095
2015,Prozent,,Männlich,,0,,,0.00088
2016,Prozent,,Männlich,,0,,,0.00122
2017,Prozent,,Männlich,,0,,,0.00107
2018,Prozent,,Männlich,,0,,,0.00104
2019,Prozent,,Männlich,,0,,,0.00086
2020,Prozent,,Männlich,,0,,,0.00105
2021,Prozent,,Männlich,,0,,,0.00089
2022,Prozent,,Männlich,,0,,,0.00083
2023,Prozent,,Männlich,,0,,,0.00096
2024,Prozent,,Männlich,,0,,,0.00107
