Year,Units,Type of disease,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,"DALYs per 100,000 inhabitants",Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,152.9
2011,"DALYs per 100,000 inhabitants",Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,151.0
2012,"DALYs per 100,000 inhabitants",Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,116.9
2013,"DALYs per 100,000 inhabitants",Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,128.9
2014,"DALYs per 100,000 inhabitants",Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,125.6
2015,"DALYs per 100,000 inhabitants",Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,110.2
2016,"DALYs per 100,000 inhabitants",Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,106.0
2017,"DALYs per 100,000 inhabitants",Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,98.2
2018,"DALYs per 100,000 inhabitants",Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,101.6
2019,"DALYs per 100,000 inhabitants",Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,68.5
2020,"DALYs per 100,000 inhabitants",Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,59.7
2021,"DALYs per 100,000 inhabitants",Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,65.6
2022,"DALYs per 100,000 inhabitants",Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,57.4
2023,"DALYs per 100,000 inhabitants",Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,41.1
2010,"DALYs per 100,000 inhabitants",Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,108.2
2011,"DALYs per 100,000 inhabitants",Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,103.1
2012,"DALYs per 100,000 inhabitants",Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,79.7
2013,"DALYs per 100,000 inhabitants",Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,86.5
2014,"DALYs per 100,000 inhabitants",Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,83.3
2015,"DALYs per 100,000 inhabitants",Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,74.8
2016,"DALYs per 100,000 inhabitants",Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,72.1
2017,"DALYs per 100,000 inhabitants",Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,67.3
2018,"DALYs per 100,000 inhabitants",Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,75.7
2019,"DALYs per 100,000 inhabitants",Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,57.4
2020,"DALYs per 100,000 inhabitants",Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,50.5
2021,"DALYs per 100,000 inhabitants",Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,53.9
2022,"DALYs per 100,000 inhabitants",Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,49.3
2023,"DALYs per 100,000 inhabitants",Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,36.2
2010,"DALYs per 100,000 inhabitants",Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,398.2
2011,"DALYs per 100,000 inhabitants",Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,363.5
2012,"DALYs per 100,000 inhabitants",Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,286.3
2013,"DALYs per 100,000 inhabitants",Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,309.3
2014,"DALYs per 100,000 inhabitants",Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,286.4
2015,"DALYs per 100,000 inhabitants",Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,262.7
2016,"DALYs per 100,000 inhabitants",Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,241.0
2017,"DALYs per 100,000 inhabitants",Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,229.9
2018,"DALYs per 100,000 inhabitants",Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,240.7
2019,"DALYs per 100,000 inhabitants",Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,176.3
2020,"DALYs per 100,000 inhabitants",Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,158.3
2021,"DALYs per 100,000 inhabitants",Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,173.4
2022,"DALYs per 100,000 inhabitants",Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,155.1
2023,"DALYs per 100,000 inhabitants",Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,109.8
2010,"DALYs per 100,000 inhabitants",Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,157.9
2011,"DALYs per 100,000 inhabitants",Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,154.8
2012,"DALYs per 100,000 inhabitants",Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,129.7
2013,"DALYs per 100,000 inhabitants",Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,140.3
2014,"DALYs per 100,000 inhabitants",Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,134.9
2015,"DALYs per 100,000 inhabitants",Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,125.5
2016,"DALYs per 100,000 inhabitants",Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,118.5
2017,"DALYs per 100,000 inhabitants",Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,116.8
2018,"DALYs per 100,000 inhabitants",Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,127.7
2019,"DALYs per 100,000 inhabitants",Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,99.9
2020,"DALYs per 100,000 inhabitants",Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,91.7
2021,"DALYs per 100,000 inhabitants",Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,100.9
2022,"DALYs per 100,000 inhabitants",Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,87.4
2023,"DALYs per 100,000 inhabitants",Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,64.2
