Year,Time series,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,Severely materially and socially deprived persons,18 to under 65 years,,|,,,4.6
2021,Severely materially and socially deprived persons,18 to under 65 years,,,,,4.6
2022,Severely materially and socially deprived persons,18 to under 65 years,,,,,6.4
2023,Severely materially and socially deprived persons,18 to under 65 years,,,,,7.2
2024,Severely materially and socially deprived persons,18 to under 65 years,,,,,6.5
2025,Severely materially and socially deprived persons,18 to under 65 years,,,,,5.8
2010,Severely materially and socially deprived persons,65 years and older,,.,,,
2011,Severely materially and socially deprived persons,65 years and older,,.,,,
2012,Severely materially and socially deprived persons,65 years and older,,.,,,
2013,Severely materially and socially deprived persons,65 years and older,,.,,,
2014,Severely materially and socially deprived persons,65 years and older,,.,,,
2015,Severely materially and socially deprived persons,65 years and older,,,,,3.5
2016,Severely materially and socially deprived persons,65 years and older,,,,,3.6
2017,Severely materially and socially deprived persons,65 years and older,,,,,3.0
2018,Severely materially and socially deprived persons,65 years and older,,,,,3.1
2019,Severely materially and socially deprived persons,65 years and older,,,,,2.8
2020,Severely materially and socially deprived persons,65 years and older,,|,,,2.5
2021,Severely materially and socially deprived persons,65 years and older,,,,,2.7
2022,Severely materially and socially deprived persons,65 years and older,,,,,3.6
2023,Severely materially and socially deprived persons,65 years and older,,,,,4.4
2024,Severely materially and socially deprived persons,65 years and older,,,,,4.3
2025,Severely materially and socially deprived persons,65 years and older,,,,,3.7
2010,Severely materially and socially deprived persons,,Female,.,,,
2011,Severely materially and socially deprived persons,,Female,.,,,
2012,Severely materially and socially deprived persons,,Female,.,,,
2013,Severely materially and socially deprived persons,,Female,.,,,
2014,Severely materially and socially deprived persons,,Female,.,,,
2015,Severely materially and socially deprived persons,,Female,,,,6.3
2016,Severely materially and socially deprived persons,,Female,,,,5.1
2017,Severely materially and socially deprived persons,,Female,,,,4.0
2018,Severely materially and socially deprived persons,,Female,,,,3.6
2019,Severely materially and socially deprived persons,,Female,,,,3.3
2020,Severely materially and socially deprived persons,,Female,|,,,4.4
2021,Severely materially and socially deprived persons,,Female,,,,4.3
2022,Severely materially and socially deprived persons,,Female,,,,6.1
2023,Severely materially and socially deprived persons,,Female,,,,6.8
2024,Severely materially and socially deprived persons,,Female,,,,6.1
2025,Severely materially and socially deprived persons,,Female,,,,5.5
2010,Severely materially and socially deprived persons,,Male,.,,,
2011,Severely materially and socially deprived persons,,Male,.,,,
2012,Severely materially and socially deprived persons,,Male,.,,,
2013,Severely materially and socially deprived persons,,Male,.,,,
2014,Severely materially and socially deprived persons,,Male,.,,,
2015,Severely materially and socially deprived persons,,Male,,,,5.0
2016,Severely materially and socially deprived persons,,Male,,,,4.3
2017,Severely materially and socially deprived persons,,Male,,,,3.5
2018,Severely materially and socially deprived persons,,Male,,,,3.2
2019,Severely materially and socially deprived persons,,Male,,,,2.6
2020,Severely materially and socially deprived persons,,Male,|,,,4.3
2021,Severely materially and socially deprived persons,,Male,,,,4.4
2022,Severely materially and socially deprived persons,,Male,,,,6.3
2023,Severely materially and socially deprived persons,,Male,,,,7.0
2024,Severely materially and socially deprived persons,,Male,,,,6.3
2025,Severely materially and socially deprived persons,,Male,,,,5.6
