Year,Units,Type of harassment,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,,|,,,1.3
2010,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Female,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Female,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Female,‒,,,0.0
2013,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Female,‒,|,,0.0
2014,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Female,‒,,,0.0
2015,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Female,‒,,,0.0
2016,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Female,‒,,,0.0
2017,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Female,‒,,,0.0
2018,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Female,‒,,,0.0
2019,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Female,‒,,,0.0
2020,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Female,‒,,,0.0
2021,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Female,|,,,0.6
2022,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Female,,,,2.2
2023,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Female,,,,2.0
2024,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Female,|,,,1.7
2010,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Male,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Male,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Male,‒,,,0.0
2013,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Male,‒,|,,0.0
2014,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Male,‒,,,0.0
2015,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Male,‒,,,0.0
2016,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Male,‒,,,0.0
2017,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Male,‒,,,0.0
2018,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Male,‒,,,0.0
2019,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Male,‒,,,0.0
2020,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Male,‒,,,0.0
2021,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Male,|,,,0.3
2022,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Male,,,,0.5
2023,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Male,,,,0.4
2024,"Per 100,000 inhabitants",Sexual harassment,13 years and younger,Male,|,,,0.9
2010,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,,,,,42.3
2013,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,,|,,,43.2
2014,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,,,,,42.5
2015,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,,,,,38.8
2016,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,,,,,35.8
2017,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,,,,,34.8
2018,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,,,,,35.6
2019,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,,,,,30.4
2020,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,,,,,35.2
2021,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,,|,,,35.7
2022,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,,,,,41.3
2023,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,,,,,38.9
2024,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,,|,,,44.1
2010,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Female,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Female,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Female,,,,59.3
2013,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Female,|,,,79.2
2014,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Female,,,,78.4
2015,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Female,,,,73.8
2016,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Female,,,,66.3
2017,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Female,,,,62.7
2018,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Female,,,,63.8
2019,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Female,,,,54.8
2020,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Female,,,,63.2
2021,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Female,|,,,64.3
2022,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Female,,,,73.8
2023,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Female,,,,68.0
2024,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Female,|,,,77.1
2010,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Male,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Male,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Male,,,,6.2
2013,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Male,|,,,9.1
2014,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Male,,,,8.5
2015,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Male,,,,5.7
2016,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Male,,,,7.5
2017,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Male,,,,9.0
2018,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Male,,,,9.4
2019,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Male,,,,7.6
2020,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Male,,,,8.9
2021,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Male,|,,,8.7
2022,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Male,,,,10.8
2023,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Male,,,,11.6
2024,"Per 100,000 inhabitants",Sexual harassment,14 to under 18 years,Male,|,,,13.4
2010,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,,,,,31.1
2013,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,,|,,,30.5
2014,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,,,,,33.3
2015,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,,,,,32.4
2016,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,,,,,29.7
2017,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,,,,,35.2
2018,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,,,,,33.4
2019,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,,,,,28.0
2020,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,,,,,38.3
2021,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,,|,,,35.9
2022,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,,,,,38.5
2023,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,,,,,38.2
2024,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,,|,,,42.9
2010,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Female,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Female,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Female,,,,59.4
2013,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Female,|,,,57.7
2014,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Female,,,,63.9
2015,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Female,,,,61.6
2016,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Female,,,,56.7
2017,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Female,,,,68.5
2018,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Female,,,,62.9
2019,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Female,,,,52.0
2020,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Female,,,,72.5
2021,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Female,|,,,66.8
2022,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Female,,,,71.3
2023,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Female,,,,69.9
2024,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Female,|,,,77.5
2010,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Male,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Male,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Male,,,,4.2
2013,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Male,|,,,4.6
2014,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Male,,,,4.4
2015,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Male,,,,4.9
2016,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Male,,,,5.4
2017,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Male,,,,5.2
2018,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Male,,,,6.8
2019,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Male,,,,6.3
2020,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Male,,,,7.0
2021,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Male,|,,,7.4
2022,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Male,,,,8.0
2023,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Male,,,,8.6
2024,"Per 100,000 inhabitants",Sexual harassment,18 to under 21 years,Male,|,,,11.0
2010,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,,,,,12.3
2013,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,,|,,,12.2
2014,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,,,,,12.6
2015,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,,,,,11.9
2016,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,,,,,13.5
2017,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,,,,,12.8
2018,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,,,,,13.8
2019,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,,,,,13.0
2020,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,,,,,15.0
2021,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,,|,,,14.6
2022,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,,,,,15.4
2023,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,,,,,16.3
2024,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,,|,,,17.4
2010,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Female,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Female,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Female,,,,22.0
2013,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Female,|,,,21.7
2014,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Female,,,,22.2
2015,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Female,,,,20.9
2016,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Female,,,,23.7
2017,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Female,,,,22.4
2018,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Female,,,,24.3
2019,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Female,,,,22.1
2020,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Female,,,,25.8
2021,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Female,|,,,24.8
2022,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Female,,,,26.1
2023,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Female,,,,27.3
2024,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Female,|,,,28.8
2010,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Male,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Male,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Male,,,,2.8
2013,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Male,|,,,2.8
2014,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Male,,,,3.2
2015,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Male,,,,3.1
2016,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Male,,,,3.6
2017,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Male,,,,3.4
2018,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Male,,,,3.7
2019,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Male,,,,4.1
2020,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Male,,,,4.5
2021,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Male,|,,,4.7
2022,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Male,,,,5.0
2023,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Male,,,,5.7
2024,"Per 100,000 inhabitants",Sexual harassment,21 to under 60 years,Male,|,,,6.4
2010,"Per 100,000 inhabitants",Sexual harassment,60 years and older,,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,60 years and older,,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,60 years and older,,,,,3.2
2013,"Per 100,000 inhabitants",Sexual harassment,60 years and older,,|,,,3.4
2014,"Per 100,000 inhabitants",Sexual harassment,60 years and older,,,,,3.3
2015,"Per 100,000 inhabitants",Sexual harassment,60 years and older,,,,,3.5
2016,"Per 100,000 inhabitants",Sexual harassment,60 years and older,,,,,3.5
2017,"Per 100,000 inhabitants",Sexual harassment,60 years and older,,,,,3.3
2018,"Per 100,000 inhabitants",Sexual harassment,60 years and older,,,,,3.5
2019,"Per 100,000 inhabitants",Sexual harassment,60 years and older,,,,,3.2
2020,"Per 100,000 inhabitants",Sexual harassment,60 years and older,,,,,3.4
2021,"Per 100,000 inhabitants",Sexual harassment,60 years and older,,|,,,3.3
2022,"Per 100,000 inhabitants",Sexual harassment,60 years and older,,,,,3.2
2023,"Per 100,000 inhabitants",Sexual harassment,60 years and older,,,,,3.7
2024,"Per 100,000 inhabitants",Sexual harassment,60 years and older,,|,,,3.7
2010,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Female,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Female,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Female,,,,5.2
2013,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Female,|,,,5.5
2014,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Female,,,,5.2
2015,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Female,,,,5.4
2016,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Female,,,,5.6
2017,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Female,,,,5.2
2018,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Female,,,,5.4
2019,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Female,,,,5.1
2020,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Female,,,,5.2
2021,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Female,|,,,5.2
2022,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Female,,,,5.0
2023,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Female,,,,5.5
2024,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Female,|,,,5.5
2010,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Male,.,,,
2011,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Male,.,,,
2012,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Male,,,,0.8
2013,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Male,|,,,0.7
2014,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Male,,,,0.8
2015,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Male,,,,1.0
2016,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Male,,,,0.8
2017,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Male,,,,0.9
2018,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Male,,,,1.2
2019,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Male,,,,0.7
2020,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Male,,,,1.1
2021,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Male,|,,,0.9
2022,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Male,,,,1.0
2023,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Male,,,,1.5
2024,"Per 100,000 inhabitants",Sexual harassment,60 years and older,Male,|,,,1.5
2010,Number,Non-sexual harassment,,,,,,28870.0
2011,Number,Non-sexual harassment,,,,,,26876.0
2012,Number,Non-sexual harassment,,,,,,26360.0
2013,Number,Non-sexual harassment,,,,,,25517.0
2014,Number,Non-sexual harassment,,,,,,23303.0
2015,Number,Non-sexual harassment,,,,,,21070.0
2016,Number,Non-sexual harassment,,,,,,19949.0
2017,Number,Non-sexual harassment,,,r,,,19750.0
2018,Number,Non-sexual harassment,,,r,,,20280.0
2019,Number,Non-sexual harassment,,,r,,,20204.0
2020,Number,Non-sexual harassment,,,r,,,20997.0
2021,Number,Non-sexual harassment,,,r,,,22091.0
2022,Number,Non-sexual harassment,,,r,,,23082.0
2023,Number,Non-sexual harassment,,,r,,,25138.0
2024,Number,Non-sexual harassment,,,,,,26703.0
2010,Number,Non-sexual harassment,,Female,,,,22909.0
2011,Number,Non-sexual harassment,,Female,,,,21414.0
2012,Number,Non-sexual harassment,,Female,,,,21217.0
2013,Number,Non-sexual harassment,,Female,,,,20455.0
2014,Number,Non-sexual harassment,,Female,,,,18682.0
2015,Number,Non-sexual harassment,,Female,,,,16941.0
2016,Number,Non-sexual harassment,,Female,,,,16115.0
2017,Number,Non-sexual harassment,,Female,r,,,15999.0
2018,Number,Non-sexual harassment,,Female,r,,,16456.0
2019,Number,Non-sexual harassment,,Female,r,,,16432.0
2020,Number,Non-sexual harassment,,Female,r,,,16974.0
2021,Number,Non-sexual harassment,,Female,r,,,17693.0
2022,Number,Non-sexual harassment,,Female,r,,,18628.0
2023,Number,Non-sexual harassment,,Female,r,,,20089.0
2024,Number,Non-sexual harassment,,Female,,,,21382.0
2010,Number,Non-sexual harassment,,Male,,,,5961.0
2011,Number,Non-sexual harassment,,Male,,,,5462.0
2012,Number,Non-sexual harassment,,Male,,,,5143.0
2013,Number,Non-sexual harassment,,Male,,,,5062.0
2014,Number,Non-sexual harassment,,Male,,,,4621.0
2015,Number,Non-sexual harassment,,Male,,,,4129.0
2016,Number,Non-sexual harassment,,Male,,,,3834.0
2017,Number,Non-sexual harassment,,Male,r,,,3751.0
2018,Number,Non-sexual harassment,,Male,r,,,3824.0
2019,Number,Non-sexual harassment,,Male,r,,,3772.0
2020,Number,Non-sexual harassment,,Male,r,,,4023.0
2021,Number,Non-sexual harassment,,Male,r,,,4398.0
2022,Number,Non-sexual harassment,,Male,r,,,4454.0
2023,Number,Non-sexual harassment,,Male,r,,,5049.0
2024,Number,Non-sexual harassment,,Male,,,,5321.0
2010,Number,Non-sexual harassment,13 years and younger,,,,,443.0
2011,Number,Non-sexual harassment,13 years and younger,,,,,416.0
2012,Number,Non-sexual harassment,13 years and younger,,,,,432.0
2013,Number,Non-sexual harassment,13 years and younger,,,,,427.0
2014,Number,Non-sexual harassment,13 years and younger,,,,,377.0
2015,Number,Non-sexual harassment,13 years and younger,,,,,343.0
2016,Number,Non-sexual harassment,13 years and younger,,,,,336.0
2017,Number,Non-sexual harassment,13 years and younger,,r,,,338.0
2018,Number,Non-sexual harassment,13 years and younger,,r,,,346.0
2019,Number,Non-sexual harassment,13 years and younger,,r,,,398.0
2020,Number,Non-sexual harassment,13 years and younger,,r,,,380.0
2021,Number,Non-sexual harassment,13 years and younger,,r,,,404.0
2022,Number,Non-sexual harassment,13 years and younger,,r,,,460.0
2023,Number,Non-sexual harassment,13 years and younger,,r,,,579.0
2024,Number,Non-sexual harassment,13 years and younger,,,,,681.0
2010,Number,Non-sexual harassment,13 years and younger,Female,,,,272.0
2011,Number,Non-sexual harassment,13 years and younger,Female,,,,263.0
2012,Number,Non-sexual harassment,13 years and younger,Female,,,,310.0
2013,Number,Non-sexual harassment,13 years and younger,Female,,,,273.0
2014,Number,Non-sexual harassment,13 years and younger,Female,,,,260.0
2015,Number,Non-sexual harassment,13 years and younger,Female,,,,221.0
2016,Number,Non-sexual harassment,13 years and younger,Female,,,,221.0
2017,Number,Non-sexual harassment,13 years and younger,Female,r,,,212.0
2018,Number,Non-sexual harassment,13 years and younger,Female,r,,,239.0
2019,Number,Non-sexual harassment,13 years and younger,Female,r,,,241.0
2020,Number,Non-sexual harassment,13 years and younger,Female,r,,,226.0
2021,Number,Non-sexual harassment,13 years and younger,Female,r,,,264.0
2022,Number,Non-sexual harassment,13 years and younger,Female,r,,,313.0
2023,Number,Non-sexual harassment,13 years and younger,Female,r,,,353.0
2024,Number,Non-sexual harassment,13 years and younger,Female,,,,404.0
2010,Number,Non-sexual harassment,13 years and younger,Male,,,,171.0
2011,Number,Non-sexual harassment,13 years and younger,Male,,,,153.0
2012,Number,Non-sexual harassment,13 years and younger,Male,,,,122.0
2013,Number,Non-sexual harassment,13 years and younger,Male,,,,154.0
2014,Number,Non-sexual harassment,13 years and younger,Male,,,,117.0
2015,Number,Non-sexual harassment,13 years and younger,Male,,,,122.0
2016,Number,Non-sexual harassment,13 years and younger,Male,,,,115.0
2017,Number,Non-sexual harassment,13 years and younger,Male,r,,,126.0
2018,Number,Non-sexual harassment,13 years and younger,Male,r,,,107.0
2019,Number,Non-sexual harassment,13 years and younger,Male,r,,,157.0
2020,Number,Non-sexual harassment,13 years and younger,Male,r,,,154.0
2021,Number,Non-sexual harassment,13 years and younger,Male,r,,,140.0
2022,Number,Non-sexual harassment,13 years and younger,Male,r,,,147.0
2023,Number,Non-sexual harassment,13 years and younger,Male,r,,,226.0
2024,Number,Non-sexual harassment,13 years and younger,Male,,,,277.0
2010,Number,Non-sexual harassment,14 to under 18 years,,,,,1289.0
2011,Number,Non-sexual harassment,14 to under 18 years,,,,,1227.0
2012,Number,Non-sexual harassment,14 to under 18 years,,,,,1101.0
2013,Number,Non-sexual harassment,14 to under 18 years,,,,,1143.0
2014,Number,Non-sexual harassment,14 to under 18 years,,,,,1063.0
2015,Number,Non-sexual harassment,14 to under 18 years,,,,,817.0
2016,Number,Non-sexual harassment,14 to under 18 years,,,,,806.0
2017,Number,Non-sexual harassment,14 to under 18 years,,r,,,829.0
2018,Number,Non-sexual harassment,14 to under 18 years,,r,,,798.0
2019,Number,Non-sexual harassment,14 to under 18 years,,r,,,821.0
2020,Number,Non-sexual harassment,14 to under 18 years,,r,,,751.0
2021,Number,Non-sexual harassment,14 to under 18 years,,r,,,803.0
2022,Number,Non-sexual harassment,14 to under 18 years,,r,,,822.0
2023,Number,Non-sexual harassment,14 to under 18 years,,r,,,928.0
2024,Number,Non-sexual harassment,14 to under 18 years,,,,,1019.0
2010,Number,Non-sexual harassment,14 to under 18 years,Female,,,,1132.0
2011,Number,Non-sexual harassment,14 to under 18 years,Female,,,,1087.0
2012,Number,Non-sexual harassment,14 to under 18 years,Female,,,,991.0
2013,Number,Non-sexual harassment,14 to under 18 years,Female,,,,1015.0
2014,Number,Non-sexual harassment,14 to under 18 years,Female,,,,943.0
2015,Number,Non-sexual harassment,14 to under 18 years,Female,,,,716.0
2016,Number,Non-sexual harassment,14 to under 18 years,Female,,,,710.0
2017,Number,Non-sexual harassment,14 to under 18 years,Female,r,,,718.0
2018,Number,Non-sexual harassment,14 to under 18 years,Female,r,,,724.0
2019,Number,Non-sexual harassment,14 to under 18 years,Female,r,,,704.0
2020,Number,Non-sexual harassment,14 to under 18 years,Female,r,,,624.0
2021,Number,Non-sexual harassment,14 to under 18 years,Female,r,,,672.0
2022,Number,Non-sexual harassment,14 to under 18 years,Female,r,,,686.0
2023,Number,Non-sexual harassment,14 to under 18 years,Female,r,,,786.0
2024,Number,Non-sexual harassment,14 to under 18 years,Female,,,,820.0
2010,Number,Non-sexual harassment,14 to under 18 years,Male,,,,157.0
2011,Number,Non-sexual harassment,14 to under 18 years,Male,,,,140.0
2012,Number,Non-sexual harassment,14 to under 18 years,Male,,,,110.0
2013,Number,Non-sexual harassment,14 to under 18 years,Male,,,,128.0
2014,Number,Non-sexual harassment,14 to under 18 years,Male,,,,120.0
2015,Number,Non-sexual harassment,14 to under 18 years,Male,,,,101.0
2016,Number,Non-sexual harassment,14 to under 18 years,Male,,,,96.0
2017,Number,Non-sexual harassment,14 to under 18 years,Male,r,,,111.0
2018,Number,Non-sexual harassment,14 to under 18 years,Male,r,,,74.0
2019,Number,Non-sexual harassment,14 to under 18 years,Male,r,,,117.0
2020,Number,Non-sexual harassment,14 to under 18 years,Male,r,,,127.0
2021,Number,Non-sexual harassment,14 to under 18 years,Male,r,,,131.0
2022,Number,Non-sexual harassment,14 to under 18 years,Male,r,,,136.0
2023,Number,Non-sexual harassment,14 to under 18 years,Male,r,,,142.0
2024,Number,Non-sexual harassment,14 to under 18 years,Male,,,,199.0
2010,Number,Non-sexual harassment,18 to under 21 years,,,,,2467.0
2011,Number,Non-sexual harassment,18 to under 21 years,,,,,2202.0
2012,Number,Non-sexual harassment,18 to under 21 years,,,,,2036.0
2013,Number,Non-sexual harassment,18 to under 21 years,,,,,1769.0
2014,Number,Non-sexual harassment,18 to under 21 years,,,,,1654.0
2015,Number,Non-sexual harassment,18 to under 21 years,,,,,1402.0
2016,Number,Non-sexual harassment,18 to under 21 years,,,,,1253.0
2017,Number,Non-sexual harassment,18 to under 21 years,,r,,,1340.0
2018,Number,Non-sexual harassment,18 to under 21 years,,r,,,1462.0
2019,Number,Non-sexual harassment,18 to under 21 years,,r,,,1279.0
2020,Number,Non-sexual harassment,18 to under 21 years,,r,,,1385.0
2021,Number,Non-sexual harassment,18 to under 21 years,,r,,,1393.0
2022,Number,Non-sexual harassment,18 to under 21 years,,r,,,1321.0
2023,Number,Non-sexual harassment,18 to under 21 years,,r,,,1421.0
2024,Number,Non-sexual harassment,18 to under 21 years,,,,,1593.0
2010,Number,Non-sexual harassment,18 to under 21 years,Female,,,,2185.0
2011,Number,Non-sexual harassment,18 to under 21 years,Female,,,,1946.0
2012,Number,Non-sexual harassment,18 to under 21 years,Female,,,,1804.0
