Year,Units,Time series,Type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2009,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),851
2010,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),1411
2011,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),2305
2012,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),2617
2013,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),2927
2014,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),3244
2015,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),3703
2016,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),4140
2017,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),4408
2018,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),4681
2019,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),4900
2020,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),5169
2021,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),5480
2022,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),5757
2023,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),5884
2024,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),5901
2025,Cumulative number,[a] Germany as receiver,Unknown,,,,(5) Standard Material Transfer Agreements (SMTAs),5901
2026,Cumulative number,[a] Germany as receiver,Unknown,p,,,(5) Standard Material Transfer Agreements (SMTAs),5901
2007,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),42
2008,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),591
2009,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),1295
2010,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),2132
2011,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),3566
2012,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),5022
2013,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),6314
2014,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),7675
2015,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),9241
2016,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),10567
2017,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),11135
2018,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),11709
2019,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),12296
2020,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),12812
2021,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),13415
2022,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),13908
2023,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),14176
2024,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),14332
2025,Cumulative number,[b] Germany as provider,,,,,(5) Standard Material Transfer Agreements (SMTAs),14490
2026,Cumulative number,[b] Germany as provider,,p,,,(5) Standard Material Transfer Agreements (SMTAs),14610
2007,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2008,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2009,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2010,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2011,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2012,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2013,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2014,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2015,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2016,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2017,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2018,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2019,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2020,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2021,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2022,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2023,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2024,Cumulative number,[b] Germany as provider,Commercial company,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2025,Cumulative number,[b] Germany as provider,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2026,Cumulative number,[b] Germany as provider,Commercial company,p,,,(5) Standard Material Transfer Agreements (SMTAs),4
2007,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),42
2008,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),591
2009,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),1295
2010,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),2132
2011,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),3566
2012,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),5022
2013,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),6314
2014,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),7675
2015,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),9241
2016,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),10560
2017,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),11126
2018,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),11685
2019,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),12256
2020,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),12761
2021,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),13364
2022,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),13850
2023,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),14100
2024,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),14100
2025,Cumulative number,[b] Germany as provider,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),14100
2026,Cumulative number,[b] Germany as provider,Gene bank,p,,,(5) Standard Material Transfer Agreements (SMTAs),14100
2007,Cumulative number,[b] Germany as provider,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2008,Cumulative number,[b] Germany as provider,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2009,Cumulative number,[b] Germany as provider,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2010,Cumulative number,[b] Germany as provider,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2011,Cumulative number,[b] Germany as provider,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2012,Cumulative number,[b] Germany as provider,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2013,Cumulative number,[b] Germany as provider,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2014,Cumulative number,[b] Germany as provider,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2015,Cumulative number,[b] Germany as provider,National agricultural research centre,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2016,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),3
2017,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),3
2018,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),18
2019,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),34
2020,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),44
2021,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),44
2022,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),44
2023,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),44
2024,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),44
2025,Cumulative number,[b] Germany as provider,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),44
2026,Cumulative number,[b] Germany as provider,National agricultural research centre,p,,,(5) Standard Material Transfer Agreements (SMTAs),44
2007,Cumulative number,[b] Germany as provider,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2008,Cumulative number,[b] Germany as provider,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2009,Cumulative number,[b] Germany as provider,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2010,Cumulative number,[b] Germany as provider,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2011,Cumulative number,[b] Germany as provider,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2012,Cumulative number,[b] Germany as provider,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2013,Cumulative number,[b] Germany as provider,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2014,Cumulative number,[b] Germany as provider,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2015,Cumulative number,[b] Germany as provider,Other,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2016,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),4
2017,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6
2018,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6
2019,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6
2020,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6
2021,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6
2022,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6
2023,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6
2024,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6
2025,Cumulative number,[b] Germany as provider,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),6
2026,Cumulative number,[b] Germany as provider,Other,p,,,(5) Standard Material Transfer Agreements (SMTAs),6
2007,Cumulative number,[b] Germany as provider,Regional organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2008,Cumulative number,[b] Germany as provider,Regional organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2009,Cumulative number,[b] Germany as provider,Regional organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2010,Cumulative number,[b] Germany as provider,Regional organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2011,Cumulative number,[b] Germany as provider,Regional organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2012,Cumulative number,[b] Germany as provider,Regional organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2013,Cumulative number,[b] Germany as provider,Regional organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2014,Cumulative number,[b] Germany as provider,Regional organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2015,Cumulative number,[b] Germany as provider,Regional organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2016,Cumulative number,[b] Germany as provider,Regional organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2017,Cumulative number,[b] Germany as provider,Regional organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2018,Cumulative number,[b] Germany as provider,Regional organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2019,Cumulative number,[b] Germany as provider,Regional organization,-,,,(5) Standard Material Transfer Agreements (SMTAs),0
2020,Cumulative number,[b] Germany as provider,Regional organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2021,Cumulative number,[b] Germany as provider,Regional organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2022,Cumulative number,[b] Germany as provider,Regional organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2023,Cumulative number,[b] Germany as provider,Regional organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2024,Cumulative number,[b] Germany as provider,Regional organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2025,Cumulative number,[b] Germany as provider,Regional organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1
2026,Cumulative number,[b] Germany as provider,Regional organization,p,,,(5) Standard Material Transfer Agreements (SMTAs),1
2007,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0
2008,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0
2009,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0
2010,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0
2011,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0
2012,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0
2013,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0
2014,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0
2015,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0
2016,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0
2017,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0
2018,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0
2019,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0
2020,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0
2021,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0
2022,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),7
2023,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),25
2024,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),181
2025,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),338
2026,Cumulative number,[b] Germany as provider,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),455
